"","log2FC","p","condition","metab"
"(3'-5')-adenylyladenosine*",-1.13203946940727,0.491,"5_0.1-0","(3'-5')-adenylyladenosine*"
"(3'-5')-adenylyluridine",0.520653504571569,0.886,"5_0.1-0","(3'-5')-adenylyluridine"
"(3'-5')-cytidylyladenosine",-3.51018979469306,0.136,"5_0.1-0","(3'-5')-cytidylyladenosine"
"1-carboxyethylisoleucine",-0.269063943115203,0.00044,"5_0.1-0","1-carboxyethylisoleucine"
"1-carboxyethylleucine",0.780040577180811,0.000172,"5_0.1-0","1-carboxyethylleucine"
"1-carboxyethylphenylalanine",-3.46292576844423,0.000232,"5_0.1-0","1-carboxyethylphenylalanine"
"1-carboxyethylvaline",-0.0439374626898967,1.63e-05,"5_0.1-0","1-carboxyethylvaline"
"1-methyl-beta-carboline-3-carboxylic acid",0.276530520784137,0.995,"5_0.1-0","1-methyl-beta-carboline-3-carboxylic acid"
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",-2.70534676400506,0.087,"5_0.1-0","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"
"10-undecenoate (11:1n1)",2.61858320149867,0.026,"5_0.1-0","10-undecenoate (11:1n1)"
"2'-deoxyadenosine 5'-monophosphate",0.140001816146624,6.99e-07,"5_0.1-0","2'-deoxyadenosine 5'-monophosphate"
"2'-deoxycytidine",-0.0538631430427442,0.992,"5_0.1-0","2'-deoxycytidine"
"2'-deoxycytidine 5'-monophosphate",0.951643072115237,0.005,"5_0.1-0","2'-deoxycytidine 5'-monophosphate"
"2'-deoxyuridine",-0.334740270030525,0.904,"5_0.1-0","2'-deoxyuridine"
"2'-O-methyluridine",-1.34802019830333,0.443,"5_0.1-0","2'-O-methyluridine"
"2-aminoadipate",0.028688689307894,0.037,"5_0.1-0","2-aminoadipate"
"2-heptyl-1H-quinolin-4-one (HHQ)",-2.29662679311888,0.031,"5_0.1-0","2-heptyl-1H-quinolin-4-one (HHQ)"
"2-hydroxy-3-methylvalerate",1.75545519267001,0.002,"5_0.1-0","2-hydroxy-3-methylvalerate"
"2-hydroxyglutarate",1.41223716943246,0.000583,"5_0.1-0","2-hydroxyglutarate"
"2-isopropylmalate",-1.46211450161062,0.276,"5_0.1-0","2-isopropylmalate"
"2-keto-3-deoxy-gluconate",1.94454410253268,0.000244,"5_0.1-0","2-keto-3-deoxy-gluconate"
"2-ketogluconate",1.89622113401577,0.004,"5_0.1-0","2-ketogluconate"
"2-methylserine",-3.83501921064857,0.05,"5_0.1-0","2-methylserine"
"2-oxoarginine*",-1.33401814877689,0.002,"5_0.1-0","2-oxoarginine*"
"2-piperidinone",1.0541820867358,0.208,"5_0.1-0","2-piperidinone"
"2,4-diaminobutyrate",-1.08397878808833,3.33e-05,"5_0.1-0","2,4-diaminobutyrate"
"3-(4-hydroxyphenyl)lactate",0.136852938950453,4.92e-07,"5_0.1-0","3-(4-hydroxyphenyl)lactate"
"3-ethylphenylsulfate",1.52934008668875,0.033,"5_0.1-0","3-ethylphenylsulfate"
"3-hydroxy-2-ethylpropionate",0.510611492352284,0.000432,"5_0.1-0","3-hydroxy-2-ethylpropionate"
"3-hydroxy-3-methylglutarate",0.839535768306386,0.958,"5_0.1-0","3-hydroxy-3-methylglutarate"
"3-hydroxydecanoate",0.935645099844839,8.8e-09,"5_0.1-0","3-hydroxydecanoate"
"3-hydroxyhexanoate",2.59815189216681,5.52e-05,"5_0.1-0","3-hydroxyhexanoate"
"3-hydroxylaurate",0.796217388827008,1.17e-06,"5_0.1-0","3-hydroxylaurate"
"3-methyl-2-oxobutyrate",0.671267868310686,2.14e-05,"5_0.1-0","3-methyl-2-oxobutyrate"
"3-methyl-2-oxovalerate",1.29344967657092,2.63e-07,"5_0.1-0","3-methyl-2-oxovalerate"
"3-methylglutaconate",-1.10957028514885,0.000843,"5_0.1-0","3-methylglutaconate"
"3-methylhistidine",-0.309091123537115,0.968,"5_0.1-0","3-methylhistidine"
"3-phosphoglycerate",2.09375017173089,1.69e-05,"5_0.1-0","3-phosphoglycerate"
"3-phosphoserine",1.28862957467111,0.233,"5_0.1-0","3-phosphoserine"
"4-guanidinobutanoate",2.61749049263879,0.003,"5_0.1-0","4-guanidinobutanoate"
"4-hydroxycinnamate",2.52588675384844,0.898,"5_0.1-0","4-hydroxycinnamate"
"4-hydroxyphenylacetate",1.09846181815417,9.62e-05,"5_0.1-0","4-hydroxyphenylacetate"
"4-hydroxyphenylpyruvate",3.80902473947159,0.027,"5_0.1-0","4-hydroxyphenylpyruvate"
"4-imidazoleacetate",-3.16482834407823,0.01,"5_0.1-0","4-imidazoleacetate"
"4-methyl-2-oxopentanoate",0.901949931806662,7.37e-10,"5_0.1-0","4-methyl-2-oxopentanoate"
"5-(2-Hydroxyethyl)-4-methylthiazole",-1.18596071727941,0.353,"5_0.1-0","5-(2-Hydroxyethyl)-4-methylthiazole"
"5-aminovalerate",-1.953815822175,0.035,"5_0.1-0","5-aminovalerate"
"5-methylthioadenosine (MTA)",4.5232887787024,0.262,"5_0.1-0","5-methylthioadenosine (MTA)"
"5-oxoproline",5.53736490990437,0.009,"5_0.1-0","5-oxoproline"
"5,6-dihydrouridine",0.384615359307177,0.000467,"5_0.1-0","5,6-dihydrouridine"
"6-oxopiperidine-2-carboxylate",0.338066350158007,0.879,"5_0.1-0","6-oxopiperidine-2-carboxylate"
"7-methylguanine",-0.881412763702956,0.417,"5_0.1-0","7-methylguanine"
"8-hydroxyguanine",0.75985759925409,0.009,"5_0.1-0","8-hydroxyguanine"
"aconitate [cis or trans]",4.59842560717551,0.033,"5_0.1-0","aconitate [cis or trans]"
"adenosine 5'-monophosphate (AMP)",0.514995712867871,1.4e-09,"5_0.1-0","adenosine 5'-monophosphate (AMP)"
"alanine",-0.969851900600503,1.11e-06,"5_0.1-0","alanine"
"alanyl-glutamyl-meso-diaminopimelate",-0.324024896849931,0.001,"5_0.1-0","alanyl-glutamyl-meso-diaminopimelate"
"alanylleucine",-0.621624952018156,0,"5_0.1-0","alanylleucine"
"allantoin",-3.25346563821533,0.265,"5_0.1-0","allantoin"
"allo-threonine",-1.49208011583297,0.174,"5_0.1-0","allo-threonine"
"alpha-ketoglutarate",-0.776818250445552,2.74e-12,"5_0.1-0","alpha-ketoglutarate"
"arabonate/xylonate",0.127331090693017,0.996,"5_0.1-0","arabonate/xylonate"
"arginine",0.489137647191076,1.4e-07,"5_0.1-0","arginine"
"asparagine",-6.96146607201471,1.39e-05,"5_0.1-0","asparagine"
"aspartate",-0.649988631524272,4.7e-06,"5_0.1-0","aspartate"
"azelate (C9-DC)",-3.73570768585232,0.131,"5_0.1-0","azelate (C9-DC)"
"benzoate",-2.36438914479972,0.036,"5_0.1-0","benzoate"
"beta-citrylglutamate",-2.62936281273152,0.531,"5_0.1-0","beta-citrylglutamate"
"beta-guanidinopropanoate",0.659777952029812,0.216,"5_0.1-0","beta-guanidinopropanoate"
"cadaverine",0.757703957788321,7.41e-07,"5_0.1-0","cadaverine"
"carnitine",0.119749466711588,0.836,"5_0.1-0","carnitine"
"chiro-inositol",1.40456548870895,0.699,"5_0.1-0","chiro-inositol"
"choline",-0.684606684543633,1.5e-05,"5_0.1-0","choline"
"choline phosphate",3.03910080852662,0.032,"5_0.1-0","choline phosphate"
"cis-urocanate",1.51152664764067,3.87e-07,"5_0.1-0","cis-urocanate"
"citrate",-2.2340226205965,0.028,"5_0.1-0","citrate"
"cyano-alanine",-1.35624484851737,9.89e-05,"5_0.1-0","cyano-alanine"
"cysteine s-sulfate",-2.53090080411889,0.000128,"5_0.1-0","cysteine s-sulfate"
"cysteinylglycine disulfide*",0.835697778979811,0.001,"5_0.1-0","cysteinylglycine disulfide*"
"cytidine 2' or 3'-monophosphate (2' or 3'-CMP)",2.63326286168459,0.116,"5_0.1-0","cytidine 2' or 3'-monophosphate (2' or 3'-CMP)"
"cytidine 5'-monophosphate (5'-CMP)",-0.387346101898077,0.000516,"5_0.1-0","cytidine 5'-monophosphate (5'-CMP)"
"dihydroorotate",1.33044282131735,0.018,"5_0.1-0","dihydroorotate"
"ectoine",-0.0311700889570981,0.978,"5_0.1-0","ectoine"
"erucate (22:1n9)",-0.603048086096042,0.897,"5_0.1-0","erucate (22:1n9)"
"erythronate*",-0.0177525176772352,0.997,"5_0.1-0","erythronate*"
"fumarate",6.69373583473791,0.001,"5_0.1-0","fumarate"
"gamma-glutamylglutamate",-1.27877612591477,0.000914,"5_0.1-0","gamma-glutamylglutamate"
"gamma-glutamylglutamine",-2.35223921805374,0.033,"5_0.1-0","gamma-glutamylglutamine"
"gamma-glutamylisoleucine*",1.20500753295637,0.006,"5_0.1-0","gamma-glutamylisoleucine*"
"gamma-glutamylleucine",0.355639673244984,0.000199,"5_0.1-0","gamma-glutamylleucine"
"gamma-glutamylmethionine",5.3186860809055,2.78e-05,"5_0.1-0","gamma-glutamylmethionine"
"gamma-glutamylphenylalanine",0.354117640921057,2.6e-05,"5_0.1-0","gamma-glutamylphenylalanine"
"gamma-glutamyltryptophan",1.25627948746598,4.96e-06,"5_0.1-0","gamma-glutamyltryptophan"
"gamma-glutamyltyrosine",0.442736099558553,1.55e-07,"5_0.1-0","gamma-glutamyltyrosine"
"gluconate",2.18707422597067,0.00031,"5_0.1-0","gluconate"
"glucose",0.507868850129068,0.331,"5_0.1-0","glucose"
"glutamate",-0.516141046982893,5.41e-05,"5_0.1-0","glutamate"
"glutamine",-2.48564401145176,1.83e-06,"5_0.1-0","glutamine"
"glutaminylleucine",0.338421153920245,2.31e-06,"5_0.1-0","glutaminylleucine"
"glutarate (C5-DC)",5.35787020876572,0.043,"5_0.1-0","glutarate (C5-DC)"
"glycerate",-0.641416165174068,0.337,"5_0.1-0","glycerate"
"glycerol",-4.45948651392902,0.802,"5_0.1-0","glycerol"
"glycerol 3-phosphate",0.579440502256426,1.12e-08,"5_0.1-0","glycerol 3-phosphate"
"glycerophosphoethanolamine",-0.700871447197827,0.001,"5_0.1-0","glycerophosphoethanolamine"
"glycerophosphoglycerol",-0.345523020569802,0.093,"5_0.1-0","glycerophosphoglycerol"
"glycerophosphorylcholine (GPC)",-1.10471710455763,1.74e-05,"5_0.1-0","glycerophosphorylcholine (GPC)"
"glycine",1.94428226338845,6.16e-07,"5_0.1-0","glycine"
"glycylisoleucine",-0.546515928138711,3.13e-07,"5_0.1-0","glycylisoleucine"
"glycylleucine",-0.660679735381131,7.11e-05,"5_0.1-0","glycylleucine"
"glycylvaline",-0.432980989399414,6.62e-08,"5_0.1-0","glycylvaline"
"guanosine 2'-monophosphate (2'-GMP)*",0.876380816933494,0.995,"5_0.1-0","guanosine 2'-monophosphate (2'-GMP)*"
"guanosine 3'-monophosphate (3'-GMP)",3.61918343944492,0.188,"5_0.1-0","guanosine 3'-monophosphate (3'-GMP)"
"gulonate*",-0.401716686803654,0.789,"5_0.1-0","gulonate*"
"harmane",-1.12094041694596,0.723,"5_0.1-0","harmane"
"hippurate",-0.91428449328562,0.45,"5_0.1-0","hippurate"
"histamine",0.0017857492365854,1,"5_0.1-0","histamine"
"histidine",0.512222151431236,0.046,"5_0.1-0","histidine"
"histidylalanine",-0.653198883397745,4.51e-08,"5_0.1-0","histidylalanine"
"isobutyrylglycine",0.660047140151723,0.769,"5_0.1-0","isobutyrylglycine"
"isocitric lactone",-3.70389869175781,0.005,"5_0.1-0","isocitric lactone"
"isoleucine",2.97619617455336,0.001,"5_0.1-0","isoleucine"
"isoleucylglycine",-0.255917335016011,5.1e-06,"5_0.1-0","isoleucylglycine"
"isovalerate (i5:0)",4.35992890942486,0.013,"5_0.1-0","isovalerate (i5:0)"
"isovalerylglycine",0.54378193310752,0.886,"5_0.1-0","isovalerylglycine"
"kynurenate",-0.667776857634152,0.867,"5_0.1-0","kynurenate"
"lactate",-0.829270114403229,0.689,"5_0.1-0","lactate"
"leucine",3.14634927227085,0.00034,"5_0.1-0","leucine"
"leucylglutamine*",0.636693559859166,0.000327,"5_0.1-0","leucylglutamine*"
"leucylglycine",-0.182455984142168,1.87e-07,"5_0.1-0","leucylglycine"
"lysylleucine",-1.11965434037894,8.99e-09,"5_0.1-0","lysylleucine"
"maleate",0.26517319619577,0.989,"5_0.1-0","maleate"
"malonate",-3.33607468792298,8.02e-05,"5_0.1-0","malonate"
"mannitol/sorbitol",-1.24015105789468,0.263,"5_0.1-0","mannitol/sorbitol"
"mannose",-1.64290292153021,0.124,"5_0.1-0","mannose"
"methionine",0.0388776588836389,0.028,"5_0.1-0","methionine"
"methionine sulfoxide",-0.0403415368396941,0.75,"5_0.1-0","methionine sulfoxide"
"methylmalonate (MMA)",3.13033539372102,0.012,"5_0.1-0","methylmalonate (MMA)"
"methylsuccinate",-2.32945063705576,0.019,"5_0.1-0","methylsuccinate"
"mevalonolactone",1.14134872456065,0.499,"5_0.1-0","mevalonolactone"
"N-acetyl-glucosamine 1-phosphate",-0.493824028580524,0.845,"5_0.1-0","N-acetyl-glucosamine 1-phosphate"
"N-acetylarginine",0.0634206202647125,0.971,"5_0.1-0","N-acetylarginine"
"N-acetylaspartate (NAA)",0.344755774432905,0.002,"5_0.1-0","N-acetylaspartate (NAA)"
"N-acetylcitrulline",-0.418501800344075,0.844,"5_0.1-0","N-acetylcitrulline"
"N-acetylcysteine",-0.504051424071608,1.86e-07,"5_0.1-0","N-acetylcysteine"
"N-acetylglutamine",0.444034593921794,4.25e-06,"5_0.1-0","N-acetylglutamine"
"N-acetylglycine",-0.923835402219112,0.804,"5_0.1-0","N-acetylglycine"
"N-acetylhistidine",-0.909683216679542,0.002,"5_0.1-0","N-acetylhistidine"
"N-acetylisoleucine",0.127350069335047,0.002,"5_0.1-0","N-acetylisoleucine"
"N-acetylleucine",2.44621241071061,0.005,"5_0.1-0","N-acetylleucine"
"N-acetylmethionine",1.64781466047616,0.03,"5_0.1-0","N-acetylmethionine"
"N-acetylmethionine sulfoxide",-2.27189492260747,0.224,"5_0.1-0","N-acetylmethionine sulfoxide"
"N-acetylneuraminate",1.29035193282502,0.432,"5_0.1-0","N-acetylneuraminate"
"N-acetylphenylalanine",2.85727386109758,0.001,"5_0.1-0","N-acetylphenylalanine"
"N-acetylproline",0.0045541913879296,1,"5_0.1-0","N-acetylproline"
"N-acetylputrescine",2.85461134558832,0.506,"5_0.1-0","N-acetylputrescine"
"N-acetylthreonine",0.486759352923595,0.000162,"5_0.1-0","N-acetylthreonine"
"N-acetyltryptophan",3.601356329667,0.019,"5_0.1-0","N-acetyltryptophan"
"N-acetylvaline",0.550818577740082,9.26e-05,"5_0.1-0","N-acetylvaline"
"N-alpha-acetylornithine",0.221844845512934,0.837,"5_0.1-0","N-alpha-acetylornithine"
"N-carbamoylalanine",0.939072618262526,0.844,"5_0.1-0","N-carbamoylalanine"
"N-carbamoylaspartate",0.12656668133528,1.61e-07,"5_0.1-0","N-carbamoylaspartate"
"N-carbamoylserine",-1.82700985258962,0.000488,"5_0.1-0","N-carbamoylserine"
"N-formylanthranilic acid",0.215137440950013,0.991,"5_0.1-0","N-formylanthranilic acid"
"N-formylmethionine",-1.34308586939284,0.247,"5_0.1-0","N-formylmethionine"
"N-formylphenylalanine",-0.832567835058585,0.272,"5_0.1-0","N-formylphenylalanine"
"N,N,N-trimethyl-5-aminovalerate",0.581183792236108,0.789,"5_0.1-0","N,N,N-trimethyl-5-aminovalerate"
"N2-acetyllysine",0.511649927170898,0.018,"5_0.1-0","N2-acetyllysine"
"N6-acetyllysine",0.670567349458544,0.649,"5_0.1-0","N6-acetyllysine"
"N6-carboxymethyllysine",1.35161731541039,0.727,"5_0.1-0","N6-carboxymethyllysine"
"N6-succinyladenosine",0.965003697819309,0.84,"5_0.1-0","N6-succinyladenosine"
"nicotinamide adenine dinucleotide (NAD+)",0.184596523688701,0.000114,"5_0.1-0","nicotinamide adenine dinucleotide (NAD+)"
"nicotinamide ribonucleotide (NMN)",1.55760836528241,1.19e-07,"5_0.1-0","nicotinamide ribonucleotide (NMN)"
"nicotinate ribonucleoside",-0.652766682969184,0.018,"5_0.1-0","nicotinate ribonucleoside"
"O-acetylhomoserine",-1.27591157202116,0.03,"5_0.1-0","O-acetylhomoserine"
"o-Tyrosine",-1.16665929917989,0.949,"5_0.1-0","o-Tyrosine"
"ophthalmate",-0.0680313548783193,3.94e-05,"5_0.1-0","ophthalmate"
"ornithine",0.106824323380354,0.69,"5_0.1-0","ornithine"
