"","log2FC","p","condition","metab"
"(3'-5')-adenylyluridine",7.52298641904875,0.014,"dead_24-0","(3'-5')-adenylyluridine"
"(3'-5')-guanylylcytidine",-0.712621221993961,0.05,"dead_24-0","(3'-5')-guanylylcytidine"
"1-carboxyethylisoleucine",1.99061769328399,0.032,"dead_24-0","1-carboxyethylisoleucine"
"1-carboxyethylphenylalanine",3.25656997848083,7.54e-09,"dead_24-0","1-carboxyethylphenylalanine"
"1-carboxyethyltyrosine",0.731057981499297,0.091,"dead_24-0","1-carboxyethyltyrosine"
"1-methyl-beta-carboline-3-carboxylic acid",1.40578226086934,0.004,"dead_24-0","1-methyl-beta-carboline-3-carboxylic acid"
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",0.982978933869793,1.78e-07,"dead_24-0","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"
"2'-deoxyadenosine 5'-monophosphate",-0.0463981951778216,4.42e-06,"dead_24-0","2'-deoxyadenosine 5'-monophosphate"
"2'-deoxycytidine",1.42416650893951,0.000322,"dead_24-0","2'-deoxycytidine"
"2'-deoxyguanosine",-0.617370399501546,0.024,"dead_24-0","2'-deoxyguanosine"
"2'-deoxyuridine",2.41101132902897,0.003,"dead_24-0","2'-deoxyuridine"
"2'-O-methyluridine",1.62637687775897,0.000781,"dead_24-0","2'-O-methyluridine"
"2-heptyl-1H-quinolin-4-one (HHQ)",5.87495344739915,0.005,"dead_24-0","2-heptyl-1H-quinolin-4-one (HHQ)"
"2-hydroxy-3-methylvalerate",1.58114878690418,0.406,"dead_24-0","2-hydroxy-3-methylvalerate"
"2-hydroxyadipate",-1.8565555817117,0.018,"dead_24-0","2-hydroxyadipate"
"2-hydroxyglutarate",-1.47212677408141,1.73e-06,"dead_24-0","2-hydroxyglutarate"
"2-isopropylmalate",2.24041292471933,0.142,"dead_24-0","2-isopropylmalate"
"2-methylserine",-1.95036778595045,0.005,"dead_24-0","2-methylserine"
"2-piperidinone",0.683392514419809,0.007,"dead_24-0","2-piperidinone"
"2,4-diaminobutyrate",1.18769213065617,4.55e-06,"dead_24-0","2,4-diaminobutyrate"
"3-(4-hydroxyphenyl)lactate",2.20404502635027,0.027,"dead_24-0","3-(4-hydroxyphenyl)lactate"
"3-ethylphenylsulfate",0.785503796547039,0.004,"dead_24-0","3-ethylphenylsulfate"
"3-hydroxy-3-methylglutarate",1.80566603512499,9.83e-05,"dead_24-0","3-hydroxy-3-methylglutarate"
"3-hydroxydecanoate",-0.189601150374852,3.2e-05,"dead_24-0","3-hydroxydecanoate"
"3-hydroxylaurate",-0.578561340502772,0.001,"dead_24-0","3-hydroxylaurate"
"3-methyl-2-oxovalerate",4.69241739772838,0.26,"dead_24-0","3-methyl-2-oxovalerate"
"3-methylglutaconate",2.79873702717635,0.008,"dead_24-0","3-methylglutaconate"
"3-methylhistidine",1.53833877355583,0.000329,"dead_24-0","3-methylhistidine"
"3-phosphoglycerate",-0.525852806667541,0.297,"dead_24-0","3-phosphoglycerate"
"3-sulfo-L-alanine",1.96689772827883,0.137,"dead_24-0","3-sulfo-L-alanine"
"4-guanidinobutanoate",1.61361476521834,0.000252,"dead_24-0","4-guanidinobutanoate"
"4-hydroxybenzoate",-4.43007270608484,0.373,"dead_24-0","4-hydroxybenzoate"
"4-hydroxycinnamate",0.609523515276101,0.002,"dead_24-0","4-hydroxycinnamate"
"4-hydroxyphenylacetate",2.60099365425574,0.186,"dead_24-0","4-hydroxyphenylacetate"
"4-imidazoleacetate",1.27488138221593,2.51e-08,"dead_24-0","4-imidazoleacetate"
"4-methyl-2-oxopentanoate",1.43094990169945,0.001,"dead_24-0","4-methyl-2-oxopentanoate"
"4-methylcatechol sulfate",0.339301191494817,6.8e-05,"dead_24-0","4-methylcatechol sulfate"
"5-(2-Hydroxyethyl)-4-methylthiazole",0.713040649738548,0.000161,"dead_24-0","5-(2-Hydroxyethyl)-4-methylthiazole"
"5-aminovalerate",-1.1944611332505,0.4,"dead_24-0","5-aminovalerate"
"5-methylthioadenosine (MTA)",3.03456682561798,1.11e-07,"dead_24-0","5-methylthioadenosine (MTA)"
"5-oxoproline",-1.4164694435634,9.72e-08,"dead_24-0","5-oxoproline"
"5,6-dihydrouridine",-1.60060097730333,0.004,"dead_24-0","5,6-dihydrouridine"
"7-methylguanine",0.974203885177953,8.8e-07,"dead_24-0","7-methylguanine"
"8-hydroxyguanine",-2.90860386119837,1.05e-05,"dead_24-0","8-hydroxyguanine"
"aconitate [cis or trans]",1.40631714866041,0.347,"dead_24-0","aconitate [cis or trans]"
"adenosine-2',3'-cyclic monophosphate",0.30656956329474,0.001,"dead_24-0","adenosine-2',3'-cyclic monophosphate"
"adenosine 2'-monophosphate (2'-AMP)",0.110497926310578,0.03,"dead_24-0","adenosine 2'-monophosphate (2'-AMP)"
"adenosine 5'-monophosphate (AMP)",-0.759026323149856,1.07e-10,"dead_24-0","adenosine 5'-monophosphate (AMP)"
"alanine",5.37256312757001,0.605,"dead_24-0","alanine"
"alanylleucine",1.50046212584802,0.000108,"dead_24-0","alanylleucine"
"allantoin",-7.00635363942702,0.000805,"dead_24-0","allantoin"
"alpha-hydroxyisocaproate",0.427991967339437,0.193,"dead_24-0","alpha-hydroxyisocaproate"
"alpha-hydroxyisovalerate",2.99793946440967,0.316,"dead_24-0","alpha-hydroxyisovalerate"
"alpha-ketoglutarate",0.206948690094051,0.018,"dead_24-0","alpha-ketoglutarate"
"arginine",0.2919228440271,2.92e-05,"dead_24-0","arginine"
"asparagine",3.67715967505325,0.000118,"dead_24-0","asparagine"
"aspartate",1.69606522949569,0.77,"dead_24-0","aspartate"
"azelate (C9-DC)",1.13030968098507,0.018,"dead_24-0","azelate (C9-DC)"
"benzoate",1.454637710003,3.02e-06,"dead_24-0","benzoate"
"beta-guanidinopropanoate",0.706719787869798,1.37e-08,"dead_24-0","beta-guanidinopropanoate"
"betaine",-0.349399794601456,0.048,"dead_24-0","betaine"
"butyrylglutamine/isobutyrylglutamine",-0.662145797733206,0.019,"dead_24-0","butyrylglutamine/isobutyrylglutamine"
"cadaverine",1.39401226950226,0.008,"dead_24-0","cadaverine"
"carnitine",1.09151249980644,0.002,"dead_24-0","carnitine"
"catechol sulfate",0.486881507314209,0.001,"dead_24-0","catechol sulfate"
"choline phosphate",1.24401154559562,3.89e-05,"dead_24-0","choline phosphate"
"citrate",-1.06608538822073,0.633,"dead_24-0","citrate"
"citrulline",0.110965500690779,0.245,"dead_24-0","citrulline"
"cyclic(AMP-GMP)",-0.114500395590833,0.003,"dead_24-0","cyclic(AMP-GMP)"
"cysteine-glutathione disulfide",-0.00255209045890651,0.000629,"dead_24-0","cysteine-glutathione disulfide"
"cysteinylglycine disulfide*",0.197423377452509,0.448,"dead_24-0","cysteinylglycine disulfide*"
"cytidine 2' or 3'-monophosphate (2' or 3'-CMP)",1.18632404738803,7.19e-10,"dead_24-0","cytidine 2' or 3'-monophosphate (2' or 3'-CMP)"
"cytidine 2',3'-cyclic monophosphate",0.5834945974562,0.015,"dead_24-0","cytidine 2',3'-cyclic monophosphate"
"cytidine 5'-monophosphate (5'-CMP)",-0.695287250375297,0.003,"dead_24-0","cytidine 5'-monophosphate (5'-CMP)"
"dihydroorotate",0.947308119271655,0.002,"dead_24-0","dihydroorotate"
"dimethylarginine (SDMA + ADMA)",-0.978874119667077,0.016,"dead_24-0","dimethylarginine (SDMA + ADMA)"
"ectoine",1.34271690844129,2.2e-05,"dead_24-0","ectoine"
"erucate (22:1n9)",1.42041024596314,0.005,"dead_24-0","erucate (22:1n9)"
"erythronate*",2.09028860854535,0.005,"dead_24-0","erythronate*"
"fructose",2.14803896397659,0.995,"dead_24-0","fructose"
"gamma-glutamylglutamate",0.36003663714979,7.31e-07,"dead_24-0","gamma-glutamylglutamate"
"gamma-glutamylmethionine",1.67322094620641,0.000227,"dead_24-0","gamma-glutamylmethionine"
"gamma-glutamylphenylalanine",2.80053927289024,0.000216,"dead_24-0","gamma-glutamylphenylalanine"
"gamma-glutamyltyrosine",1.38869623798041,0.002,"dead_24-0","gamma-glutamyltyrosine"
"glucose",-2.85213379078605,0.002,"dead_24-0","glucose"
"glutamate",1.24690161812265,0.679,"dead_24-0","glutamate"
"glutamine",5.51586514675184,4.94e-08,"dead_24-0","glutamine"
"glycerate",1.73515885848432,5.07e-08,"dead_24-0","glycerate"
"glycerol 3-phosphate",-0.260381667721878,5.88e-06,"dead_24-0","glycerol 3-phosphate"
"glycerophosphoethanolamine",0.923223855357971,7.32e-05,"dead_24-0","glycerophosphoethanolamine"
"glycerophosphoglycerol",2.56562677382307,2.99e-10,"dead_24-0","glycerophosphoglycerol"
"glycerophosphorylcholine (GPC)",0.57581421193822,6.7e-08,"dead_24-0","glycerophosphorylcholine (GPC)"
"glycylleucine",2.24134702605357,0.008,"dead_24-0","glycylleucine"
"glycylvaline",1.28863004584066,9e-04,"dead_24-0","glycylvaline"
"guanine",1.07193588451031,0.076,"dead_24-0","guanine"
"guanosine-2',3'-cyclic monophosphate",0.326784698835938,0.016,"dead_24-0","guanosine-2',3'-cyclic monophosphate"
"guanosine 2'-monophosphate (2'-GMP)*",2.26393252631799,0.000352,"dead_24-0","guanosine 2'-monophosphate (2'-GMP)*"
"guanosine 3'-monophosphate (3'-GMP)",1.58403095804495,3.76e-06,"dead_24-0","guanosine 3'-monophosphate (3'-GMP)"
"gulonate*",3.6237597805202,2.7e-06,"dead_24-0","gulonate*"
"harmane",4.9093398646473,0.045,"dead_24-0","harmane"
"hippurate",-1.29492333747765,1,"dead_24-0","hippurate"
"histamine",1.09478673981205,0.000704,"dead_24-0","histamine"
"histidine",-1.20726281376301,9.21e-05,"dead_24-0","histidine"
"histidinol",-2.30431073084192,8.69e-05,"dead_24-0","histidinol"
"histidylalanine",5.62140694076739,0.000359,"dead_24-0","histidylalanine"
"hydantoin-5-propionic acid",0.0266431120824362,0.012,"dead_24-0","hydantoin-5-propionic acid"
"isocitric lactone",1.59274574895819,0.004,"dead_24-0","isocitric lactone"
"isoleucine",-1.23990430596833,0.005,"dead_24-0","isoleucine"
"isoleucylglycine",1.30581038240965,0.106,"dead_24-0","isoleucylglycine"
"isovalerate (i5:0)",1.34873862097976,0.013,"dead_24-0","isovalerate (i5:0)"
"kynurenate",2.2859354032173,1.2e-06,"dead_24-0","kynurenate"
"lactate",1.30323177707927,2.15e-05,"dead_24-0","lactate"
"leucine",-1.31596515671539,0.000439,"dead_24-0","leucine"
"leucylglycine",1.06222381808446,7.93e-07,"dead_24-0","leucylglycine"
"maleate",0.696532559636712,7.33e-05,"dead_24-0","maleate"
"malonate",3.08091913290779,1.7e-05,"dead_24-0","malonate"
"mannitol/sorbitol",0.0598815652678178,0.018,"dead_24-0","mannitol/sorbitol"
"mannose",1.0838516753527,2.94e-07,"dead_24-0","mannose"
"methionine",0.227472916934174,0.003,"dead_24-0","methionine"
"methionine sulfoxide",-0.156332292136246,5.33e-07,"dead_24-0","methionine sulfoxide"
"methylsuccinate",0.391221750662559,2.5e-05,"dead_24-0","methylsuccinate"
"mevalonate",-0.771755623302971,0.008,"dead_24-0","mevalonate"
"mevalonolactone",1.11624289553121,0.000514,"dead_24-0","mevalonolactone"
"N-acetyl-glucosamine 1-phosphate",1.89139668678634,0.003,"dead_24-0","N-acetyl-glucosamine 1-phosphate"
"N-acetylarginine",-0.443611211609234,8.21e-05,"dead_24-0","N-acetylarginine"
"N-acetylcitrulline",0.0814020574705231,1.11e-07,"dead_24-0","N-acetylcitrulline"
"N-acetylcysteine",0.374960994201888,1.89e-06,"dead_24-0","N-acetylcysteine"
"N-acetylglutamate",-4.08139056669285,0.092,"dead_24-0","N-acetylglutamate"
"N-acetylglutamine",-2.40498485366869,0.048,"dead_24-0","N-acetylglutamine"
"N-acetylhistidine",1.64167844882421,8.87e-11,"dead_24-0","N-acetylhistidine"
"N-acetylisoleucine",0.648886709552122,0.846,"dead_24-0","N-acetylisoleucine"
"N-acetylmethionine sulfoxide",1.23804716837702,3.87e-08,"dead_24-0","N-acetylmethionine sulfoxide"
"N-acetylneuraminate",0.189543579264553,1.12e-07,"dead_24-0","N-acetylneuraminate"
"N-acetylproline",0.998403878564593,0.000384,"dead_24-0","N-acetylproline"
"N-acetylputrescine",-4.46774714514106,0.00023,"dead_24-0","N-acetylputrescine"
"N-acetylthreonine",1.00528829793138,0.483,"dead_24-0","N-acetylthreonine"
"N-alpha-acetylornithine",1.55316531606777,6.49e-10,"dead_24-0","N-alpha-acetylornithine"
"N-carbamoylalanine",0.619862440732921,7.67e-05,"dead_24-0","N-carbamoylalanine"
"N-carbamoylaspartate",-0.211535694479021,0.518,"dead_24-0","N-carbamoylaspartate"
"N-carbamoylserine",2.2915815843036,0.008,"dead_24-0","N-carbamoylserine"
"N-formylanthranilic acid",3.11322929317906,0.000479,"dead_24-0","N-formylanthranilic acid"
"N-formylmethionine",1.21401224550105,0.000101,"dead_24-0","N-formylmethionine"
"N-formylphenylalanine",3.03488317091828,0.007,"dead_24-0","N-formylphenylalanine"
"N,N,N-trimethyl-5-aminovalerate",1.99592131426008,0.005,"dead_24-0","N,N,N-trimethyl-5-aminovalerate"
"N6-acetyllysine",1.49014479991837,0.055,"dead_24-0","N6-acetyllysine"
"N6-carboxymethyllysine",0.192384496608235,6.09e-06,"dead_24-0","N6-carboxymethyllysine"
"N6-succinyladenosine",0.773056639763462,2.58e-05,"dead_24-0","N6-succinyladenosine"
"nicotinamide adenine dinucleotide (NAD+)",0.526183957296837,2.21e-08,"dead_24-0","nicotinamide adenine dinucleotide (NAD+)"
"nicotinamide ribonucleotide (NMN)",-5.05076694939095,0.004,"dead_24-0","nicotinamide ribonucleotide (NMN)"
"O-acetylhomoserine",1.82711208384875,0.044,"dead_24-0","O-acetylhomoserine"
"o-Tyrosine",1.82050743953792,0.000215,"dead_24-0","o-Tyrosine"
"ophthalmate",2.02434786018758,9.01e-09,"dead_24-0","ophthalmate"
"ornithine",-1.44365834530065,7.88e-07,"dead_24-0","ornithine"
"oxalate (ethanedioate)",-0.0237791425318197,0.000214,"dead_24-0","oxalate (ethanedioate)"
"p-cresol sulfate",1.13030183674009,0.025,"dead_24-0","p-cresol sulfate"
"pantothenate",-0.907757120674743,0.574,"dead_24-0","pantothenate"
"phenethylamine",1.61004682920613,1.28e-05,"dead_24-0","phenethylamine"
"phenol sulfate",1.32247651678159,0.003,"dead_24-0","phenol sulfate"
"phenylacetate",1.44992689426057,0.167,"dead_24-0","phenylacetate"
"phenylalanylalanine",2.19049795808191,7.04e-09,"dead_24-0","phenylalanylalanine"
"phenylalanylglycine",3.53093547342951,0.01,"dead_24-0","phenylalanylglycine"
"phenylpyruvate",1.8714096091329,0.107,"dead_24-0","phenylpyruvate"
"phosphate",1.44063264540184,0.034,"dead_24-0","phosphate"
"phosphoenolpyruvate (PEP)",0.647663628742444,0.642,"dead_24-0","phosphoenolpyruvate (PEP)"
"phosphoethanolamine",0.881323849593194,0.002,"dead_24-0","phosphoethanolamine"
"pipecolate",1.50287872099087,8.89e-07,"dead_24-0","pipecolate"
"proline",0.190796182450874,2.15e-08,"dead_24-0","proline"
"putrescine",0.697365992963521,9.78e-10,"dead_24-0","putrescine"
"pyridoxamine",-1.04216393526784,0.000145,"dead_24-0","pyridoxamine"
"pyridoxate",3.65962820797078,0.171,"dead_24-0","pyridoxate"
"pyroglutamine*",1.32690656901389,5.49e-08,"dead_24-0","pyroglutamine*"
"pyrraline",1.34763405779418,0.007,"dead_24-0","pyrraline"
"pyruvate",0.915767702182792,0.212,"dead_24-0","pyruvate"
"quinate",-0.260777942270723,0.089,"dead_24-0","quinate"
"riboflavin (Vitamin B2)",-0.322654667039844,0.006,"dead_24-0","riboflavin (Vitamin B2)"
"ribonate",2.49472337227661,0.003,"dead_24-0","ribonate"
"ribose",-1.71629425369835,3.25e-05,"dead_24-0","ribose"
"ribulose/xylulose",1.68234949934302,3.45e-05,"dead_24-0","ribulose/xylulose"
"S-adenosylhomocysteine (SAH)",-0.940345420696385,0.013,"dead_24-0","S-adenosylhomocysteine (SAH)"
"saccharopine",0.72061359195173,5.89e-06,"dead_24-0","saccharopine"
"sedoheptulose",1.00238143957719,0.007,"dead_24-0","sedoheptulose"
"sedoheptulose-7-phosphate",-0.827206666654395,0.000476,"dead_24-0","sedoheptulose-7-phosphate"
"succinimide",1.42501382682407,0.818,"dead_24-0","succinimide"
"sulfate*",-2.80411077163204,0.03,"dead_24-0","sulfate*"
"thioproline",2.03738416233204,8.87e-13,"dead_24-0","thioproline"
"thymidine",6.36761349683924,0.346,"dead_24-0","thymidine"
"thymidine 5'-monophosphate",0.684403079323991,0.004,"dead_24-0","thymidine 5'-monophosphate"
