"","log2FC","p","condition","metab"
"(3'-5')-adenylyladenosine*",-1.22803532712006,0.016,"persister_24-0","(3'-5')-adenylyladenosine*"
"(3'-5')-cytidylyladenosine",0.513160516886018,0.49,"persister_24-0","(3'-5')-cytidylyladenosine"
"(3'-5')-cytidylyluridine*",0.872139210353144,0.758,"persister_24-0","(3'-5')-cytidylyluridine*"
"(3'-5')-guanylylcytidine",-0.300580913862992,0.071,"persister_24-0","(3'-5')-guanylylcytidine"
"(3'-5')-uridylyladenosine",-0.0985952522500789,0.219,"persister_24-0","(3'-5')-uridylyladenosine"
"1-carboxyethylleucine",8.12847985286257,0.023,"persister_24-0","1-carboxyethylleucine"
"1-carboxyethylvaline",2.00735824831475,0.08,"persister_24-0","1-carboxyethylvaline"
"1-oleoylglycerol (18:1)",1.49449810236425,0.029,"persister_24-0","1-oleoylglycerol (18:1)"
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",-2.1955860683535,0.029,"persister_24-0","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"
"10-undecenoate (11:1n1)",3.67754855278817,0.101,"persister_24-0","10-undecenoate (11:1n1)"
"2'-deoxyadenosine 5'-monophosphate",0.0382127791663579,9.62e-06,"persister_24-0","2'-deoxyadenosine 5'-monophosphate"
"2'-deoxycytidine",-1.75180624672803,0.295,"persister_24-0","2'-deoxycytidine"
"2'-deoxyuridine",3.83472552823595,0.09,"persister_24-0","2'-deoxyuridine"
"2-hydroxy-3-methylvalerate",0.833500165034654,0.000602,"persister_24-0","2-hydroxy-3-methylvalerate"
"2-hydroxyadipate",-3.67800794787017,0.001,"persister_24-0","2-hydroxyadipate"
"2-hydroxyglutarate",-4.46806034169767,0.003,"persister_24-0","2-hydroxyglutarate"
"2-keto-3-deoxy-gluconate",0.722395921306165,0.082,"persister_24-0","2-keto-3-deoxy-gluconate"
"2-ketogluconate",1.95193425986365,0.004,"persister_24-0","2-ketogluconate"
"2-methylserine",-2.14574421243935,0.002,"persister_24-0","2-methylserine"
"2-oxoarginine*",3.47695289534051,0.149,"persister_24-0","2-oxoarginine*"
"2,4-diaminobutyrate",0.621600411679398,0.004,"persister_24-0","2,4-diaminobutyrate"
"3-(4-hydroxyphenyl)lactate",1.93231926245499,0.014,"persister_24-0","3-(4-hydroxyphenyl)lactate"
"3-ethylphenylsulfate",-3.12463707335867,0.387,"persister_24-0","3-ethylphenylsulfate"
"3-hydroxyadipate*",0.12373155409995,0.514,"persister_24-0","3-hydroxyadipate*"
"3-hydroxydecanoate",0.941085079518202,6.92e-08,"persister_24-0","3-hydroxydecanoate"
"3-hydroxyhexanoate",2.46313871679591,0.012,"persister_24-0","3-hydroxyhexanoate"
"3-hydroxyisobutyrate",-0.540490260886394,0.201,"persister_24-0","3-hydroxyisobutyrate"
"3-hydroxylaurate",1.11075143267565,4.91e-06,"persister_24-0","3-hydroxylaurate"
"3-indoxyl sulfate",-2.56932136764942,0.002,"persister_24-0","3-indoxyl sulfate"
"3-methyl-2-oxobutyrate",1.40051067718942,3.15e-05,"persister_24-0","3-methyl-2-oxobutyrate"
"3-methyl-2-oxovalerate",4.18908876372003,0.000333,"persister_24-0","3-methyl-2-oxovalerate"
"3-phosphoglycerate",-0.220959901306816,1.9e-05,"persister_24-0","3-phosphoglycerate"
"3-phosphoserine",1.22635655421418,1.12e-07,"persister_24-0","3-phosphoserine"
"3,4-dihydroxy-1,5-cyclohexadiene-1-carboxylic acid",0.216966042301653,0.417,"persister_24-0","3,4-dihydroxy-1,5-cyclohexadiene-1-carboxylic acid"
"4-ethylphenylsulfate",-1.47258407202121,0.000405,"persister_24-0","4-ethylphenylsulfate"
"4-guanidinobutanoate",1.3839476955018,0.565,"persister_24-0","4-guanidinobutanoate"
"4-hydroxyphenylacetate",3.0442578279836,0.005,"persister_24-0","4-hydroxyphenylacetate"
"4-hydroxyphenylpyruvate",1.23230660904842,0.005,"persister_24-0","4-hydroxyphenylpyruvate"
"4-imidazoleacetate",-4.39779899888934,0.009,"persister_24-0","4-imidazoleacetate"
"4-methyl-2-oxopentanoate",3.05775975039283,7.13e-05,"persister_24-0","4-methyl-2-oxopentanoate"
"4-methylcatechol sulfate",-0.0717301442870906,0.002,"persister_24-0","4-methylcatechol sulfate"
"5-(2-Hydroxyethyl)-4-methylthiazole",-4.61393091593523,0.000574,"persister_24-0","5-(2-Hydroxyethyl)-4-methylthiazole"
"5-methylthioadenosine (MTA)",1.87422422345508,0.87,"persister_24-0","5-methylthioadenosine (MTA)"
"5-oxoproline",-1.10931529312563,0.000169,"persister_24-0","5-oxoproline"
"6-hydroxynicotinate",-0.52673437560216,0.274,"persister_24-0","6-hydroxynicotinate"
"6-oxopiperidine-2-carboxylate",0.0739822256609103,0.001,"persister_24-0","6-oxopiperidine-2-carboxylate"
"7-methylguanine",-4.22728942134061,0.031,"persister_24-0","7-methylguanine"
"8-hydroxyguanine",-0.315474961887334,0.045,"persister_24-0","8-hydroxyguanine"
"aconitate [cis or trans]",-0.326629027089096,0.003,"persister_24-0","aconitate [cis or trans]"
"adenosine-2',3'-cyclic monophosphate",-1.95547905874308,0.000775,"persister_24-0","adenosine-2',3'-cyclic monophosphate"
"adenosine 2'-monophosphate (2'-AMP)",-1.94401423094176,0.009,"persister_24-0","adenosine 2'-monophosphate (2'-AMP)"
"adenosine 3'-monophosphate (3'-AMP)",-0.183273107611664,0.028,"persister_24-0","adenosine 3'-monophosphate (3'-AMP)"
"adenosine 5'-monophosphate (AMP)",0.627395110631588,7.75e-10,"persister_24-0","adenosine 5'-monophosphate (AMP)"
"alanine",5.61782026757905,0.171,"persister_24-0","alanine"
"alanyl-glutamyl-meso-diaminopimelate",2.91833334845614,0.004,"persister_24-0","alanyl-glutamyl-meso-diaminopimelate"
"alanylleucine",2.53206510262963,1.3e-08,"persister_24-0","alanylleucine"
"alpha-hydroxyisocaproate",0.296431273773294,0.027,"persister_24-0","alpha-hydroxyisocaproate"
"alpha-ketoglutaramate*",2.33672148241961,0.317,"persister_24-0","alpha-ketoglutaramate*"
"alpha-ketoglutarate",2.36975744071067,0.000303,"persister_24-0","alpha-ketoglutarate"
"anthranilate",-2.38346520733423,0.001,"persister_24-0","anthranilate"
"arginine",1.19634392771801,2.67e-08,"persister_24-0","arginine"
"aspartate",4.53462919912279,0.13,"persister_24-0","aspartate"
