"","log2FC","p","condition","metab"
"(3'-5')-adenylyladenosine*",-0.913291645536974,0.018,"untreated_24-0","(3'-5')-adenylyladenosine*"
"1-carboxyethylisoleucine",4.15632401758257,0.009,"untreated_24-0","1-carboxyethylisoleucine"
"1-carboxyethylleucine",3.31885901765286,0.057,"untreated_24-0","1-carboxyethylleucine"
"1-carboxyethylphenylalanine",2.59796254481773,0.000686,"untreated_24-0","1-carboxyethylphenylalanine"
"1-carboxyethyltyrosine",-0.0945888580793266,0.023,"untreated_24-0","1-carboxyethyltyrosine"
"1-carboxyethylvaline",3.13851755449441,3.56e-05,"untreated_24-0","1-carboxyethylvaline"
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",-3.77755691765833,0.879,"untreated_24-0","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"
"1,5-anhydroglucitol (1,5-AG)",3.13676019138384,0.049,"untreated_24-0","1,5-anhydroglucitol (1,5-AG)"
"10-undecenoate (11:1n1)",6.42858655360765,0.933,"untreated_24-0","10-undecenoate (11:1n1)"
"2'-deoxyadenosine 5'-monophosphate",-2.52700754853335,0.788,"untreated_24-0","2'-deoxyadenosine 5'-monophosphate"
"2'-deoxyuridine",2.6359300631088,0.018,"untreated_24-0","2'-deoxyuridine"
"2'-O-methyluridine",1.98015331977072,0.999,"untreated_24-0","2'-O-methyluridine"
"2-aminoadipate",3.50651953108025,0.529,"untreated_24-0","2-aminoadipate"
"2-heptyl-1H-quinolin-4-one (HHQ)",3.42868038820602,0.007,"untreated_24-0","2-heptyl-1H-quinolin-4-one (HHQ)"
"2-hydroxyphenylacetate",0.652460770398851,0.028,"untreated_24-0","2-hydroxyphenylacetate"
"2-keto-3-deoxy-gluconate",3.0111586664696,0.009,"untreated_24-0","2-keto-3-deoxy-gluconate"
"2-methylcitrate/homocitrate",2.08621172898343,0.116,"untreated_24-0","2-methylcitrate/homocitrate"
"2-methylserine",2.03993230217669,0.993,"untreated_24-0","2-methylserine"
"2,4-diaminobutyrate",2.92863705039286,6.19e-05,"untreated_24-0","2,4-diaminobutyrate"
"3-(4-hydroxyphenyl)lactate",5.78948447640876,0.019,"untreated_24-0","3-(4-hydroxyphenyl)lactate"
"3-hydroxy-2-ethylpropionate",5.93585696474755,0.094,"untreated_24-0","3-hydroxy-2-ethylpropionate"
"3-hydroxyhexanoate",0.766417355187798,0.51,"untreated_24-0","3-hydroxyhexanoate"
"3-hydroxyisobutyrate",1.30857636935159,0.293,"untreated_24-0","3-hydroxyisobutyrate"
"3-methyl-2-oxovalerate",3.13528977356147,0.014,"untreated_24-0","3-methyl-2-oxovalerate"
"3-methylglutaconate",3.99148271230889,0.004,"untreated_24-0","3-methylglutaconate"
"3-phosphoglycerate",1.32259312723538,0.117,"untreated_24-0","3-phosphoglycerate"
"3-phosphoserine",3.29163429183792,0.365,"untreated_24-0","3-phosphoserine"
"3-ureidopropionate",5.18824071660701,0.856,"untreated_24-0","3-ureidopropionate"
