PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,KEGG,HMDB,8-10-17_BIT_0_0_A_1,8-10-17_BIT_0_0_B_1,8-10-17_BIT_0_0_C_1,8-10-17_BIT_0_0_D_1,8-30-17_BIT_0_0_A_1,8-30-17_BIT_0_0_B_1,8-30-17_BIT_0_0_C_1,8-30-17_BIT_0_0_D_1,8-10-17_BIT_0_0.1_A_1,8-10-17_BIT_0_0.1_B_1,8-10-17_BIT_0_0.1_C_1,8-10-17_BIT_0_0.1_F_1,8-30-17_BIT_0_0.1_A_1,8-30-17_BIT_0_0.1_B_1,8-30-17_BIT_0_0.1_D_1,8-30-17_BIT_0_0.1_F_1,8-10-17_BIT_0_10_A_1,8-10-17_BIT_0_10_B_1,8-10-17_BIT_0_10_C_1,8-10-17_BIT_0_10_D_1,8-30-17_BIT_0_10_A_1,8-30-17_BIT_0_10_B_1,8-30-17_BIT_0_10_C_1,8-30-17_BIT_0_10_D_1,8-10-17_BIT_5_0_A_1,8-10-17_BIT_5_0_B_1,8-10-17_BIT_5_0_C_1,8-10-17_BIT_5_0_D_1,8-30-17_BIT_5_0_A_1,8-30-17_BIT_5_0_B_1,8-30-17_BIT_5_0_C_1,8-30-17_BIT_5_0_D_1,8-10-17_BIT_5_0.1_A_1,8-10-17_BIT_5_0.1_B_1,8-10-17_BIT_5_0.1_C_1,8-10-17_BIT_5_0.1_F_1,8-30-17_BIT_5_0.1_A_1,8-30-17_BIT_5_0.1_B_1,8-30-17_BIT_5_0.1_D_1,8-30-17_BIT_5_0.1_F_1,8-10-17_BIT_5_10_A_1,8-10-17_BIT_5_10_B_1,8-10-17_BIT_5_10_C_1,8-10-17_BIT_5_10_D_1,8-30-17_BIT_5_10_A_1,8-30-17_BIT_5_10_B_1,8-30-17_BIT_5_10_C_1,8-30-17_BIT_5_10_D_1,8-10-17_BIT_24_0_A_1,8-10-17_BIT_24_0_B_1,8-10-17_BIT_24_0_C_1,8-10-17_BIT_24_0_D_1,8-30-17_BIT_24_0_A_1,8-30-17_BIT_24_0_B_1,8-30-17_BIT_24_0_C_1,8-30-17_BIT_24_0_D_1,8-10-17_BIT_24_0.1_A_1,8-10-17_BIT_24_0.1_B_1,8-10-17_BIT_24_0.1_C_1,8-10-17_BIT_24_0.1_F_1,8-30-17_BIT_24_0.1_A_1,8-30-17_BIT_24_0.1_B_1,8-30-17_BIT_24_0.1_D_1,8-30-17_BIT_24_0.1_F_1,8-10-17_BIT_24_10_A_1,8-10-17_BIT_24_10_B_1,8-10-17_BIT_24_10_C_1,8-10-17_BIT_24_10_D_1,8-30-17_BIT_24_10_A_1,8-30-17_BIT_24_10_B_1,8-30-17_BIT_24_10_C_1,8-30-17_BIT_24_10_D_1
3537,(3'-5')-adenylyladenosine*,Nucleotide,Dinucleotide,62396,LC/MS Neg,100020723,2173,595.14199,,94231,,,"1,248,073","1,164,822","1,037,975","1,164,489","1,280,751","1,116,749","1,079,262","1,240,898","1,227,078","1,271,312","1,257,290","1,263,354","1,214,418","1,250,279","1,104,358","1,311,222","1,145,866","1,253,554","1,123,604","1,209,111","1,114,492","1,200,261","1,086,567","1,233,054","1,071,439","1,158,989","1,011,500","945,957","986,647","1,047,042","1,032,585","1,105,340","1,039,328","1,075,483","1,190,712","1,125,089","1,277,659","954,387","1,024,168","1,083,427","1,136,032","1,189,430","1,111,491","1,288,337","1,144,032","1,231,281","1,125,201","1,101,554","1,092,207","1,160,846","1,157,666","1,217,309","1,118,330","1,131,669","1,130,856","1,199,536","1,218,754","1,069,635","985,159","1,170,890","1,018,839","1,101,042","1,111,714","1,101,662","1,100,057","1,150,850","1,148,685","1,111,564","1,065,056","1,092,210","1,074,478","1,185,251"
3535,(3'-5')-adenylyluridine,Nucleotide,Dinucleotide,52740,LC/MS Neg,100009060,2002,572.11478,3051-84-1,112074,,,"692,197","590,297","530,205","579,490","647,281","586,301","558,963","644,204","669,595","612,710","689,927","701,310","576,443","577,548","660,997","679,948","624,662","615,323","658,801","544,534","688,491","620,074","531,136","638,053","671,178","686,881","662,780","566,876","635,015","604,038","619,636","701,058","689,062","681,454","687,326","629,952","766,192","557,208","639,760","609,395","486,459","502,293","611,792","482,932","428,356","540,834","565,728","553,218","625,296","658,019","703,153","631,651","712,419","706,447","471,868","769,848","660,249","588,590","699,892","664,579","620,453","546,760","633,166","673,253","588,534","651,234","602,171","563,129","522,219","495,504","525,475","641,537"
3546,(3'-5')-cytidylyladenosine,Nucleotide,Dinucleotide,52744,LC/MS Neg,100009061,1754,571.13076,2382-66-3,91519,,,"698,883","582,062","572,367","661,927","634,224","529,647","692,461","636,018","580,939","675,112","620,825","620,456","622,795","751,505","615,424","635,144","600,852","652,617","671,234","558,007","585,494","668,790","610,348","689,554","585,673","523,155","529,629","555,262","543,622","569,069","539,493","568,743","552,778","607,537","679,585","559,079","705,631","531,574","549,353","668,960","569,324","635,249","642,435","659,555","596,856","563,710","599,486","641,933","507,952","568,654","520,110","553,435","612,230","643,858","575,803","686,507","547,679","514,674","470,932","557,908","596,378","500,923","586,941","617,060","587,282","613,299","603,857","650,532","622,738","613,377","579,755","644,451"
3538,(3'-5')-cytidylyluridine*,Nucleotide,Dinucleotide,62399,LC/MS Neg,100020728,1522,548.10356,,,,,"165,520","107,874","147,587","138,957","159,197","169,453","191,701","118,805","158,210","232,801","180,480","161,609","158,964","180,410","127,499","135,355","143,690","163,150","160,385","163,331","151,574","166,836","177,169","208,033","104,917","157,627","114,540","132,368","148,926","140,100","154,520","87,331","148,726","183,649","198,712","106,110","179,582","136,623","164,095","130,003","180,436","151,554","134,535","189,375","130,289","154,703","151,043","155,307",,"143,905","155,520","155,847","159,185","169,869","153,497","131,954","96,942","87,275","75,275","122,453","131,970","134,722","139,677","126,777","126,413","134,976","134,750","154,084","137,368","172,340","161,141","167,990"
3539,(3'-5')-guanylylcytidine,Nucleotide,Dinucleotide,52746,LC/MS Neg,100009064,1670,587.12567,4785-04-0,107595,,,"622,164","580,264","614,889","669,065","678,550","639,914","743,708","661,533","692,911","660,059","707,131","677,886","687,270","755,292","670,172","775,752","662,793","662,620","597,921","628,284","647,574","689,202","680,080","738,618","601,424","621,002","583,133","567,801","600,502","680,359","659,818","644,237","573,810","586,885","659,677","567,718","790,827","646,093","626,240","624,298","546,761","622,580","549,310","657,494","601,129","674,717","579,339","611,106","479,881","604,992","500,006","614,874","596,583","653,048","679,058","632,945","569,645","508,100","538,484","572,337","616,884","569,307","528,224","647,819","529,007","650,279","592,006","589,048","557,583","621,145","627,610","662,290"
3540,(3'-5')-guanylyluridine,Nucleotide,Dinucleotide,52743,LC/MS Neg,100009056,1772,588.10969,7/3/85,,,,"453,450","483,980","442,140","379,454","422,813","498,982","518,950","449,853","500,415","433,518","470,302","437,189","464,204","436,597","444,569","441,330","409,432","455,610","432,448","433,709","451,981","464,511","412,558","468,449","406,086","417,299","360,915","412,023","405,682","397,989","410,527","418,052","460,627","426,385","475,011","412,572","525,771","409,043","360,095","404,802","403,064","383,323","422,418","414,405","448,894","478,894","381,399","452,174","319,738","379,978","344,738","409,694","451,352","399,183","459,500","459,259","393,583","351,659","341,586","417,418","450,774","414,639","424,075","391,235","402,251","392,731","419,382","330,563","472,631","461,774","446,959","442,792"
3543,(3'-5')-uridylyladenosine,Nucleotide,Dinucleotide,52739,LC/MS Neg,100009059,1871,572.11478,3256-24-4,273124,,,"1,951,015","2,009,404","1,853,057","2,015,490","1,840,562","2,082,297","2,181,481","2,027,200","1,791,968","2,155,445","1,877,305","2,194,882","2,285,538","2,467,326","1,942,664","2,023,741","1,841,058","1,872,837","2,052,382","2,027,291","1,975,415","2,175,681","1,960,663","2,286,128","1,826,661","1,940,796","1,762,840","1,779,573","1,676,878","1,971,704","1,892,239","1,807,368","1,725,096","1,858,416","2,102,443","1,894,590","2,135,225","1,842,690","1,754,608","2,046,033","1,693,562","2,073,217","2,088,948","2,077,455","1,844,143","2,079,152","1,842,182","1,957,142","1,717,235","1,887,105","1,668,287","1,813,681","1,862,862","1,866,380","1,601,714","2,082,363","1,754,577","1,650,392","1,756,210","1,911,842","1,825,135","1,715,564","1,803,850","1,813,551","1,932,283","2,097,747","1,863,242","1,951,308","1,749,523","1,863,002","1,852,379","2,019,790"
3541,(3'-5')-uridylylcytidine*,Nucleotide,Dinucleotide,62398,LC/MS Neg,100020729,1591,548.10356,,,,,"659,538","778,077","665,597","663,357","843,843","687,047","788,556","680,911","745,786","762,790","708,400","842,112","839,025","797,656","725,596","689,184","695,146","731,668","780,542","612,111","692,516","733,280","771,049","797,855","619,824","622,055","624,185","652,276","677,383","626,534","712,507","725,902","704,803","587,679","723,457","635,443","840,925","619,776","666,842","752,782","633,024","743,450","675,864","770,935","656,573","737,990","620,609","625,045","636,525","632,549","618,257","682,027","649,319","699,356","684,758","703,999","720,185","612,829","580,114","711,592","705,433","699,320","666,349","719,604","578,768","628,703","671,652","632,295","680,291","723,351","710,009","746,069"
3536,(3'-5')-uridylyluridine,Nucleotide,Dinucleotide,52741,LC/MS Neg,100009058,1688,549.08756,2415-43-2,102258,,,"706,993","798,333","727,661","703,851","749,039","767,409","762,368","776,685","750,188","770,519","736,644","805,838","754,919","765,033","775,574","812,472","676,178","700,497","734,280","804,722","741,685","765,145","717,425","758,503","701,091","720,456","597,594","721,631","653,505","695,761","664,318","835,590","677,678","763,784","745,369","705,833","820,665","678,236","743,309","723,527","727,481","746,135","723,219","767,886","712,224","713,475","703,345","703,037","681,015","707,368","706,875","776,031","778,212","795,598","699,020","818,621","794,651","717,460","665,114","755,218","684,472","793,646","712,959","774,036","712,277","739,011","665,570","684,656","689,913","729,312","695,642","731,698"
1894,"1,2-dipalmitoyl-GPE (16:0/16:0)*",Lipid,Phosphatidylethanolamine (PE),57341,LC/MS Pos Late,100009204,2498,692.52248,,445468,,HMDB08923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"196,846","276,546","129,957","358,047","974,049","847,554","1,025,008","789,695","1,504,059","1,406,060","1,062,758","1,291,827",,,,,,,,,,,,,,,,,"911,388","634,267","292,442","593,294","1,320,138","1,397,154","1,505,309","896,714"
926,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802,163.06119,154-58-5,64960,C07326,HMDB02712,"795,425","1,192,493","931,149","647,598","1,253,630","1,785,341","1,258,864","1,108,533","940,050","694,264","1,241,042","1,557,713","1,742,093","2,017,413","1,312,033","910,934","1,288,805","857,579","680,173","597,179","830,320","1,016,998","1,451,415","905,376","1,024,040","1,778,436","1,115,284","1,653,933","1,711,141","1,845,056","2,394,898","1,564,429","589,750","1,455,850","1,165,635","769,400","1,562,118","987,711","2,217,396","1,776,277","714,571",,"1,133,442","1,026,500","1,004,840","1,814,327","1,481,522","1,397,557","2,881,164","3,429,325","3,460,700","2,858,906","3,170,599","3,954,499","3,227,775","3,406,168","900,308","616,608","848,392","535,769","1,408,412","1,352,575","698,500","863,866","575,423",,"768,706","1,070,024","999,740","1,747,553","1,482,536","715,409"
1171,10-undecenoate (11:1n1),Lipid,Medium Chain Fatty Acid,32497,LC/MS Neg,100001197,5085.8,183.13905,1333-28-4,14891,C13910,HMDB33724,,"209,150","181,624","165,276","515,872","180,531","269,526","509,217","137,792","103,169","172,123","82,624","496,549","430,371","219,922","475,243","280,850","447,475","162,940","80,010","491,513","681,633","508,605","291,723","140,759",,"215,603","246,945","319,988","248,963","191,929","247,573","292,345","520,062","186,451","340,959","483,187","564,978","516,345","656,184",,,"135,978","79,836","594,884","263,328","254,874","588,379",,,,"141,368","188,071",,,"119,180","400,595","320,420","355,697","237,912","503,053","512,352","507,830","633,704",,"271,366",,,"557,999",,"356,680","713,583"
1578,"12,13-DiHOME",Lipid,"Fatty Acid, Dihydroxy",38395,LC/MS Neg,62,5137,313.23843,263399-35-5,10236635,C14829,HMDB04705,,,,,,,,,,,,,,,,"78,718",,,,,,,,,,,,,,,,,"7,158,820","7,375,927","7,887,639","7,190,965","2,001,434","1,659,346","3,133,254","1,418,715",,,,,,,,,,,,,,,,,"10,494,870","9,159,326","10,899,168","12,622,729","2,036,983","1,938,727","3,141,563","1,618,836",,,,,,,,
295,1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62558,LC/MS Neg,100020427,2628,202.10848,,,,,"1,356,765","1,415,747","1,457,575","1,342,452","1,438,865","1,155,049","1,475,196","1,253,454","1,350,528","1,418,892","1,446,602","1,529,704","1,368,832","1,475,133","1,025,164","1,145,068","1,557,490","1,342,956","1,368,892","1,410,784","1,299,703","1,335,662","1,215,414","1,176,338","1,745,827","1,970,059","1,632,575","1,648,724","1,594,029","1,523,730","1,313,998","1,637,803","1,290,652","1,220,559","1,313,646","1,297,668","1,377,213","1,278,867","1,130,771","1,027,201","1,194,317","1,277,926","1,171,485","1,017,172","1,228,310","1,303,198","1,192,289","1,120,584","2,445,685","2,631,382","2,715,184","2,586,541","2,281,362","2,568,747","1,694,918","2,526,492","1,432,289","1,363,712","1,238,961","1,517,027","1,134,447","1,321,288","1,239,022","1,104,148","1,223,085","996,709","1,215,696","1,271,949","1,229,386","1,061,252","1,219,106","1,063,574"
259,1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62559,LC/MS Neg,100020425,2663,202.10848,,,,,"4,529,485","4,401,514","4,279,289","4,518,473","5,248,890","5,637,634","5,477,266","4,505,246","4,473,979","4,762,885","4,683,588","4,648,903","5,076,945","6,020,648","4,982,722","5,317,081","4,200,277","4,892,408","4,174,462","4,588,681","4,631,441","4,930,721","4,616,051","5,341,361","5,023,310","5,392,761","5,184,609","5,140,992","5,270,525","5,482,878","5,657,856","5,948,206","3,959,922","3,953,043","4,720,118","4,136,385","4,981,151","4,557,613","4,410,066","4,143,201","4,766,547","4,738,691","4,688,779","5,474,266","5,189,213","5,249,233","5,028,471","4,753,099","6,432,342","6,990,495","6,872,726","7,443,530","7,501,807","7,549,924","5,884,181","8,311,543","4,202,325","3,864,488","3,944,871","4,202,373","4,287,808","4,838,520","4,447,446","4,107,406","4,638,475","4,491,140","4,381,122","4,628,142","5,158,129","4,953,729","5,445,998","4,755,586"
118,1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,62566,LC/MS Neg,100020419,2844,236.09283,,,,,"1,704,969","1,642,732","1,774,362","1,723,674","1,844,905","1,727,445","1,779,266","1,624,258","1,707,192","1,757,268","1,730,152","1,695,079","1,681,521","2,030,264","1,615,089","1,696,113","1,625,934","1,686,103","1,766,578","1,746,685","1,530,116","1,682,882","1,523,313","1,723,460","1,965,736","2,143,226","1,901,947","1,879,426","1,898,352","1,885,250","1,853,108","1,882,014","1,517,601","1,567,063","1,790,388","1,479,032","1,677,158","1,738,022","1,545,618","1,442,759","959,129","847,611","876,625","772,249","856,583","878,870","990,147","745,489","2,858,457","3,215,941","2,926,326","3,140,095","2,826,422","3,019,954","2,086,259","3,116,914","1,897,717","1,627,141","1,594,578","1,699,496","1,506,865","1,762,770","1,656,676","1,617,498","836,986","691,516","882,038","771,982","1,046,902","919,842","1,244,067","713,235"
134,1-carboxyethyltyrosine,Amino Acid,Tyrosine Metabolism,62564,LC/MS Neg,100020421,1846,252.08774,,,,,"167,878","142,374","160,145","141,701","171,244","177,374","160,306","143,454","137,868","164,810","159,870","139,068","152,971","175,417","156,483","177,953","178,323","136,232","147,243","167,288","132,565","162,532","161,692","180,414","123,038","161,289","135,196","127,228","157,828","124,616","114,661","134,652","145,238","113,425","158,094","156,679","157,233","155,687","173,641","165,984","158,762","117,249","158,197","140,443","129,385","150,148","96,546","126,151","145,012","144,995","157,816","145,950","164,836","187,274","156,754","155,258","130,619","116,415","141,323","160,197","142,182","127,676","158,010","130,702","126,948","130,895","155,374","136,605","104,053","129,169","117,992","125,863"
