reaction	linear_coefficient
rxn03253	[0.06353909491566577]
rxn02720	[0.06353909491566577]
rxn00946	[0.06353909491566577]
rxn02679	[0.06353909491566577]
rxn02803	[0.06353909491566577]
rxn03251	[0.04143752489378677]
rxn00872	[0.04143752489378677]
rxn01451	[0.14971038477625023]
rxn03242	[0.14971038477625023]
rxn03239	[0.14971038477625023]
rxn06777	[0.14971038477625023]
rxn03244	[0.14971038477625023]
rxn03249	[0.14971038477625023]
rxn03246	[0.14971038477625023]
rxn02122	[0.05161914703869733]
rxn01387	[0.48222726409418276]
rxn00616	[0.28008481468059276]
rxn00501	[0.16734197434426606]
rxn10125	[0.28008481468059276]
rxn01851	[0.5348737005507934]
rxn13812	[np.float64(0.3440643288237457)]
rxn01297	[0.1889468798712714]
rxn01522	[0.1889468798712714]
rxn00288	[0.28281646940239796]
rxn10126	[0.28281646940239796]
rJB00270	[0.28281646940239796]
rxn06493	[0.010644326211618264]
rxn13808	[0.1494620525288134]
rxn00623	[0.571875205418883]
rxn00506	[0.05161914703869733]
rxn00779	[0.5420753357264619]
rxn13726	[0.08117068448368163]
rJB00264	[0.08117068448368163]
rxn10122	[0.08117068448368163]
rxn00604	[0.5207187624468934]
rxn10902	[0.5207187624468934]
rxn00671	[0.16734197434426606]
rxn01115	[0.61930666467932]
rxn00338	[np.float64(0.3440643288237457)]
rxn00248	[0.9652334853588419]
rxn05353	[0.32975126416796124]
rxn05356	[0.32975126416796124]
rxn05355	[0.32975126416796124]
rxn05354	[0.32975126416796124]
rxn05357	[0.32975126416796124]
rxn05352	[0.32975126416796124]
rxn05351	[0.32975126416796124]
rxn05338	[0.5569752705726724]
rxn00611	[0.6245216418754937]
rxn00612	[0.6245216418754937]
rxn05436	[0.6828797200231518]
rxn05448	[0.6828797200231518]
rxn05442	[0.6828797200231518]
rxn05437	[0.6828797200231518]
rxn05449	[0.6828797200231518]
rxn05443	[0.6828797200231518]
rxn05438	[0.6828797200231518]
rxn05450	[0.6828797200231518]
rxn05444	[0.6828797200231518]
rxn05433	[0.6828797200231518]
rxn05445	[0.6828797200231518]
rxn05439	[0.6828797200231518]
rxn05446	[0.6828797200231518]
rxn05434	[0.6828797200231518]
rxn05440	[0.6828797200231518]
rxn05435	[0.6828797200231518]
rxn05447	[0.6828797200231518]
rxn05441	[0.6828797200231518]
rxn05322	[0.6828797200231518]
rxn05327	[0.6828797200231518]
rxn05324	[0.6828797200231518]
rxn13838	[0.6828797200231518]
rxn05328	[0.6828797200231518]
rxn05326	[0.6828797200231518]
rxn13850	[0.6828797200231518]
rxn08396	[0.6828797200231518]
rxn05325	[0.6828797200231518]
rxn05323	[0.6828797200231518]
rxn05464	[0.6828797200231518]
rxn02866	[0.5376053552725988]
rxn05339	[np.float64(0.3440643288237457)]
rxn05337	[np.float64(0.3440643288237457)]
rxn13844	[np.float64(0.3440643288237457)]
rxn05341	[np.float64(0.3440643288237457)]
rxn05336	[np.float64(0.3440643288237457)]
rxn05372	[np.float64(0.3440643288237457)]
rxn05422	[np.float64(0.3440643288237457)]
rxn05397	[np.float64(0.3440643288237457)]
rxn05376	[np.float64(0.3440643288237457)]
rxn05426	[np.float64(0.3440643288237457)]
rxn05401	[np.float64(0.3440643288237457)]
rxn05380	[np.float64(0.3440643288237457)]
rxn05430	[np.float64(0.3440643288237457)]
rxn05405	[np.float64(0.3440643288237457)]
rxn05461	[np.float64(0.3440643288237457)]
rxn07993	[np.float64(0.3440643288237457)]
rxn05340	[np.float64(0.3440643288237457)]
rxn05342	[np.float64(0.3440643288237457)]
rxn05360	[np.float64(0.3440643288237457)]
rxn05410	[np.float64(0.3440643288237457)]
rxn05385	[np.float64(0.3440643288237457)]
rxn05414	[np.float64(0.3440643288237457)]
rxn05364	[np.float64(0.3440643288237457)]
rxn05389	[np.float64(0.3440643288237457)]
rxn05368	[np.float64(0.3440643288237457)]
rxn05418	[np.float64(0.3440643288237457)]
rxn05393	[np.float64(0.3440643288237457)]
rxn00083	[0.21204177888289777]
rxn11245	[0.0590691144618026]
rxn00781	[0.6168233422049516]
rxn00199	[0.48222726409418276]
rxn08398	[np.float64(0.3440643288237457)]
rxn03532	[0.571875205418883]
rxn13839	[0.5373570230251619]
rxn13790	[0.17826859323148717]
rxn03897	[0.14747539454931863]
rxn05289	[0.578083511604804]
rxn02842	[0.4852072510634249]
rxn13909	[0.3165896550538086]
rxn01643	[0.5577202673149829]
rJB00277	[0.11097055417610276]
rxn00211	[0.0404441959040394]
rxn01480	[0.5475386451700723]
rxn01053	[0.5348737005507934]
rxn01867	[0.05161914703869733]
rxn01945	[0.32950293192052443]
rJB00104	[0.32950293192052443]
rxn21407	[0.2793398179382822]
rxn08975	[np.float64(0.3440643288237457)]
rJB00263	[np.float64(0.3440643288237457)]
rxn00371	[0.16262366164296607]
