reaction	linear_coefficient
rxn03253	[np.float64(0.2727073461447807)]
rxn02720	[np.float64(0.2727073461447807)]
rxn00946	[np.float64(0.2727073461447807)]
rxn02679	[np.float64(0.2727073461447807)]
rxn02803	[np.float64(0.2727073461447807)]
rxn03251	[0.14985361266058275]
rxn00872	[0.14985361266058275]
rxn01451	[0.04577447871908848]
rxn03242	[0.04577447871908848]
rxn03239	[0.04577447871908848]
rxn06777	[0.04577447871908848]
rxn03244	[0.04577447871908848]
rxn03249	[0.04577447871908848]
rxn03246	[0.04577447871908848]
rxn02122	[0.020505265911177597]
rxn01387	[0.4588385415493939]
rxn00616	[0.03926953284774508]
rxn00501	[np.float64(0.2727073461447807)]
rxn10125	[np.float64(0.2727073461447807)]
rxn01851	[0.055031517074461765]
rxn13812	[0.34250008654267555]
rxn01297	[0.07054331107535755]
rxn01522	[0.07054331107535755]
rxn00288	[0.09731366523819382]
rxn10126	[0.09731366523819382]
rJB00270	[0.09731366523819382]
rxn06493	[0.03751820126699878]
rxn13808	[0.3570111196402877]
rxn00623	[np.float64(0.2727073461447807)]
rxn00506	[0.055031517074461765]
rxn00779	[0.4408248452902892]
rxn13726	[0.13209010662729886]
rJB00264	[0.13209010662729886]
rxn10122	[0.13209010662729886]
rxn00604	[0.4768522378084987]
rxn10902	[0.4768522378084987]
rxn00671	[np.float64(0.2727073461447807)]
rxn01115	[0.5321442777149175]
rxn00338	[0.34250008654267555]
rxn00248	[0.5489070228449179]
rxn05353	[0.1848802442755087]
rxn05356	[0.1848802442755087]
rxn05355	[0.1848802442755087]
rxn05354	[0.1848802442755087]
rxn05357	[0.1848802442755087]
rxn05352	[0.1848802442755087]
rxn05351	[0.1848802442755087]
rxn05338	[0.4668446287756627]
rxn00611	[0.5764279476852168]
rxn00612	[0.5764279476852168]
rxn05436	[0.10256765998043273]
rxn05448	[0.10256765998043273]
rxn05442	[0.10256765998043273]
rxn05437	[0.10256765998043273]
rxn05449	[0.10256765998043273]
rxn05443	[0.10256765998043273]
rxn05438	[0.10256765998043273]
rxn05450	[0.10256765998043273]
rxn05444	[0.10256765998043273]
rxn05433	[0.10256765998043273]
rxn05445	[0.10256765998043273]
rxn05439	[0.10256765998043273]
rxn05446	[0.10256765998043273]
rxn05434	[0.10256765998043273]
rxn05440	[0.10256765998043273]
rxn05435	[0.10256765998043273]
rxn05447	[0.10256765998043273]
rxn05441	[0.10256765998043273]
rxn05322	[0.10256765998043273]
rxn05327	[0.10256765998043273]
rxn05324	[0.10256765998043273]
rxn13838	[0.10256765998043273]
rxn05328	[0.10256765998043273]
rxn05326	[0.10256765998043273]
rxn13850	[0.10256765998043273]
rxn08396	[0.10256765998043273]
rxn05325	[0.10256765998043273]
rxn05323	[0.10256765998043273]
rxn05464	[0.10256765998043273]
rxn02866	[0.5764279476852168]
rxn05339	[0.34625293992998907]
rxn05337	[0.34625293992998907]
