reaction	linear_coefficient
rxn03253	0.35789772622857574
rxn02720	0.35789772622857574
rxn00946	0.35789772622857574
rxn02679	0.35789772622857574
rxn02803	0.35789772622857574
rxn03251	0.35789772622857574
rxn00872	0.35789772622857574
rxn01451	0.251378434300603
rxn03242	0.251378434300603
rxn03239	0.251378434300603
rxn06777	0.251378434300603
rxn03244	0.251378434300603
rxn03249	0.251378434300603
rxn03246	0.251378434300603
rxn02122	0.4383679078252529
rxn01387	0.15780073858817845
rxn00616	0.34097410040824366
rxn00501	0.38759703036425663
rxn10125	0.37664644895110055
rxn01851	0.16145093239256378
rxn13812	0.2188585258615335
rxn01297	0.42277162520651546
rxn01522	0.42277162520651546
rxn00288	0.25701964290738044
rxn10126	0.25701964290738044
rJB00270	0.25701964290738044
rxn06493	0.390749470468044
rxn13808	0.3836150007594726
rxn00623	0.2931897451508353
rxn00506	0.3620456737335591
rxn00779	0.5221564474259169
rxn13726	0.6212094338449196
rJB00264	0.6212094338449196
rxn10122	0.6212094338449196
rxn00604	0.16510112619694914
rxn10902	0.16510112619694914
rxn00671	0.38759703036425663
rxn01115	0.19828470623681604
rxn00338	0.2188585258615335
rxn00248	0.21686751105914148
rxn05353	0.3706734045439245
rxn05356	0.3706734045439245
rxn05355	0.3706734045439245
rxn05354	0.3706734045439245
rxn05357	0.3706734045439245
rxn05352	0.3706734045439245
rxn05351	0.3706734045439245
rxn05338	0.15249136578179975
rxn00611	0.09259500380984001
rxn00612	0.09259500380984001
rxn05436	0.04597207385382703
rxn05448	0.04597207385382703
rxn05442	0.04597207385382703
rxn05437	0.04597207385382703
rxn05449	0.04597207385382703
rxn05443	0.04597207385382703
rxn05438	0.04597207385382703
rxn05450	0.04597207385382703
rxn05444	0.04597207385382703
rxn05433	0.04597207385382703
rxn05445	0.04597207385382703
rxn05439	0.04597207385382703
rxn05446	0.04597207385382703
rxn05434	0.04597207385382703
rxn05440	0.04597207385382703
rxn05435	0.04597207385382703
rxn05447	0.04597207385382703
rxn05441	0.04597207385382703
rxn05322	0.04597207385382703
rxn05327	0.04597207385382703
rxn05324	0.04597207385382703
rxn13838	0.04597207385382703
rxn05328	0.04597207385382703
rxn05326	0.04597207385382703
rxn13850	0.04597207385382703
rxn08396	0.04597207385382703
rxn05325	0.04597207385382703
rxn05323	0.04597207385382703
rxn05464	0.04597207385382703
rxn02866	0.1758857897099059
rxn05339	0.2830687532386759
rxn05337	0.2830687532386759
rxn13844	0.2830687532386759
rxn05341	0.2830687532386759
rxn05336	0.2830687532386759
rxn05372	0.2830687532386759
rxn05422	0.2830687532386759
rxn05397	0.2830687532386759
rxn05376	0.2830687532386759
rxn05426	0.2830687532386759
rxn05401	0.2830687532386759
rxn05380	0.2830687532386759
