reaction	linear_coefficient
rxn03253	[0.15133456224502584]
rxn02720	[0.15133456224502584]
rxn00946	[0.15133456224502584]
rxn02679	[0.15133456224502584]
rxn02803	[0.15133456224502584]
rxn03251	[0.15133456224502584]
rxn00872	[0.15133456224502584]
rxn01451	[0.23781670651792913]
rxn03242	[0.23781670651792913]
rxn03239	[0.23781670651792913]
rxn06777	[0.23781670651792913]
rxn03244	[0.23781670651792913]
rxn03249	[0.23781670651792913]
rxn03246	[0.23781670651792913]
rxn02122	[0.11363721730555515]
rxn01387	[0.6062369768087223]
rxn00616	[np.float64(0.3910703556956012)]
rxn00501	[0.2647433814746939]
rxn10125	[np.float64(0.3910703556956012)]
rxn01851	[0.7801516185882971]
rxn13812	[0.5834284991982862]
rxn01297	[np.float64(0.3910703556956012)]
rxn01522	[np.float64(0.3910703556956012)]
rxn00288	[0.23306494034908828]
rxn10126	[0.23306494034908828]
rJB00270	[0.23306494034908828]
rxn06493	[0.09367979939642362]
rxn13808	[0.31574567168691886]
rxn00623	[0.09399658380767968]
rxn00506	[0.11363721730555515]
rxn00779	[0.2191264262538218]
rxn13726	[0.2777315423361922]
rJB00264	[0.2777315423361922]
rxn10122	[0.2777315423361922]
rxn00604	[0.7250311310297433]
rxn10902	[0.7250311310297433]
rxn00671	[0.2647433814746939]
rxn01115	[0.813413981770183]
rxn00338	[0.5834284991982862]
rxn00248	[0.5577689618865458]
rxn05353	[np.float64(0.3910703556956012)]
rxn05356	[np.float64(0.3910703556956012)]
rxn05355	[np.float64(0.3910703556956012)]
rxn05354	[np.float64(0.3910703556956012)]
rxn05357	[np.float64(0.3910703556956012)]
rxn05352	[np.float64(0.3910703556956012)]
rxn05351	[np.float64(0.3910703556956012)]
rxn05338	[0.6914519834366014]
rxn00611	[0.813413981770183]
rxn00612	[0.813413981770183]
rxn05436	[0.06041743621453774]
rxn05448	[0.06041743621453774]
rxn05442	[0.06041743621453774]
rxn05437	[0.06041743621453774]
rxn05449	[0.06041743621453774]
rxn05443	[0.06041743621453774]
rxn05438	[0.06041743621453774]
rxn05450	[0.06041743621453774]
rxn05444	[0.06041743621453774]
rxn05433	[0.06041743621453774]
rxn05445	[0.06041743621453774]
rxn05439	[0.06041743621453774]
rxn05446	[0.06041743621453774]
rxn05434	[0.06041743621453774]
rxn05440	[0.06041743621453774]
rxn05435	[0.06041743621453774]
rxn05447	[0.06041743621453774]
rxn05441	[0.06041743621453774]
rxn05322	[0.06041743621453774]
rxn05327	[0.06041743621453774]
rxn05324	[0.06041743621453774]
rxn13838	[0.06041743621453774]
rxn05328	[0.06041743621453774]
rxn05326	[0.06041743621453774]
rxn13850	[0.06041743621453774]
rxn08396	[0.06041743621453774]
rxn05325	[0.06041743621453774]
rxn05323	[0.06041743621453774]
rxn05464	[0.06041743621453774]
rxn02866	[0.6765631161075668]
rxn05339	[0.5631542968778988]
rxn05337	[0.5631542968778988]
rxn13844	[0.5631542968778988]
rxn05341	[0.5631542968778988]
rxn05336	[0.5631542968778988]
rxn05372	[0.5631542968778988]
rxn05422	[0.5631542968778988]
rxn05397	[0.5631542968778988]
rxn05376	[0.5631542968778988]
rxn05426	[0.5631542968778988]
rxn05401	[0.5631542968778988]
rxn05380	[0.5631542968778988]
rxn05430	[0.5631542968778988]
rxn05405	[0.5631542968778988]
rxn05461	[0.5631542968778988]
rxn07993	[0.5631542968778988]
rxn05340	[0.5631542968778988]
rxn05342	[0.5631542968778988]
rxn05360	[0.5631542968778988]
rxn05410	[0.5631542968778988]
rxn05385	[0.5631542968778988]
rxn05414	[0.5631542968778988]
rxn05364	[0.5631542968778988]
rxn05389	[0.5631542968778988]
rxn05368	[0.5631542968778988]
rxn05418	[0.5631542968778988]
rxn05393	[0.5631542968778988]
rxn00083	[0.3420387778211716]
rxn11245	[0.2067718342148356]
rxn00781	[0.2647433814746939]
rxn00199	[0.6062369768087223]
rxn08398	[np.float64(0.3910703556956012)]
rxn03532	[0.09399658380767968]
rxn13839	[0.8077118623675739]
rxn13790	[0.3420387778211716]
rxn03897	[0.3173295937431992]
rxn05289	[np.float64(0.3910703556956012)]
rxn02842	[0.20392077451353113]
rxn13909	[0.3027575108254206]
rxn01643	[0.7186954428046223]
rJB00277	[np.float64(0.3910703556956012)]
rxn00211	[np.float64(0.3910703556956012)]
rxn01480	[0.6737120564062622]
rxn01053	[0.768113810960567]
rxn01867	[0.11363721730555515]
rxn01945	[0.24795380767812292]
rJB00104	[0.24795380767812292]
rxn21407	[0.31036033669556595]
rxn08975	[0.18776476953947227]
rJB00263	[0.18776476953947227]
rxn00371	[0.21089003156116434]
rxn08094	[0.32398206637957633]
rxn00154	[0.32398206637957633]
rxn00085	[np.float64(0.3910703556956012)]
rxn00159	[0.6591399734884835]
rxn00161	[0.6591399734884835]
rxn10062	[0.35122552574759713]
rxn13898	[0.37815220070436195]
rxn01740	[0.5827949303757741]
rxn00962	[0.2777315423361922]
rxn00979	[0.5603032371765941]
rxn00509	[0.5603032371765941]
rxn01101	[0.1782612372017906]
rxn00686	[0.9268228009998509]
rxn00931	[0.8850072587140517]
rxn04954	[0.19061582924077677]
rxn01802	[0.7152108142808056]
rxn01331	[0.3420387778211716]
