	rxn10158	rxn05312	rxn05318	rxn05561	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
0	-341.36999999999983	674.3499999999997	224.78333333333322	341.36999999999983	-457.9566666666665	224.78333333333322	224.78333333333322	224.78333333333322	-224.78333333333322	457.9566666666665	224.78333333333322	457.9566666666665	-216.39333333333317	-224.78333333333322	457.9566666666665	-457.9566666666665	-216.39333333333332	216.39333333333317	-216.3933333333332	8.39	224.78333333333325
1	-422.9453249999998	837.5006499999996	279.1668833333332	422.9453249999998	-566.7237666666664	279.1668833333332	279.1668833333332	279.1668833333332	-279.1668833333332	566.7237666666664	279.1668833333332	566.7237666666664	-270.7768833333332	-279.1668833333332	566.7237666666664	-566.7237666666664	-270.7768833333331	270.7768833333332	-270.7768833333332	8.39	279.1668833333332
2	-260.4446749999998	512.4993499999996	170.83311666666654	260.4446749999998	-350.05623333333307	170.83311666666654	170.83311666666654	170.83311666666654	-170.83311666666654	350.05623333333307	170.83311666666654	350.05623333333307	-162.4431166666665	-170.83311666666654	350.05623333333307	-350.05623333333307	-162.44311666666647	162.4431166666665	-162.44311666666653	8.39	170.83311666666648
3	-382.2392378249998	756.0884756499996	252.0294918833332	382.2392378249998	-512.4489837666664	252.0294918833332	252.0294918833332	252.0294918833332	-252.0294918833332	512.4489837666664	252.0294918833332	512.4489837666664	-243.63949188333322	-252.0294918833332	512.4489837666664	-512.4489837666664	-243.6394918833331	243.63949188333322	-243.63949188333322	8.39	252.0294918833332
4	-463.65141217499985	918.9128243499997	306.30427478333326	463.65141217499985	-620.9985495666665	306.30427478333326	306.30427478333326	306.30427478333326	-306.30427478333326	620.9985495666665	306.30427478333326	620.9985495666665	-297.91427478333327	-306.30427478333326	620.9985495666665	-620.9985495666665	-297.91427478333327	297.91427478333327	-297.9142747833332	8.39	306.30427478333326
5	-219.90108717499976	431.41217434999965	143.80405811666654	219.90108717499976	-295.9981162333331	143.80405811666654	143.80405811666654	143.80405811666654	-143.80405811666654	295.9981162333331	143.80405811666654	295.9981162333331	-135.4140581166665	-143.80405811666654	295.9981162333331	-295.9981162333331	-135.4140581166666	135.4140581166665	-135.41405811666652	8.39	143.80405811666657
6	-300.9882628249999	593.5865256499997	197.86217521666657	300.9882628249999	-404.11435043333313	197.86217521666657	197.86217521666657	197.86217521666657	-197.86217521666657	404.11435043333313	197.86217521666657	404.11435043333313	-189.47217521666659	-197.86217521666657	404.11435043333313	-404.11435043333313	-189.47217521666656	189.47217521666659	-189.47217521666653	8.39	197.86217521666657
7	-361.84548815032485	715.3009763006497	238.43365876688324	361.84548815032485	-485.25731753376647	238.43365876688324	238.43365876688324	238.43365876688324	-238.43365876688324	485.25731753376647	238.43365876688324	485.25731753376647	-230.04365876688323	-238.43365876688324	485.25731753376647	-485.25731753376647	-230.04365876688337	230.04365876688323	-230.04365876688325	8.39	238.43365876688324
8	-443.3390746746748	878.2881493493496	292.7627164497832	443.3390746746748	-593.9154328995664	292.7627164497832	292.7627164497832	292.7627164497832	-292.7627164497832	593.9154328995664	292.7627164497832	593.9154328995664	-284.37271644978324	-292.7627164497832	593.9154328995664	-593.9154328995664	-284.37271644978324	284.37271644978324	-284.3727164497832	8.39	292.7627164497832
9	-199.5887496746748	390.7874993493496	130.26249978311654	199.5887496746748	-268.91499956623306	130.26249978311654	130.26249978311654	130.26249978311654	-130.26249978311654	268.91499956623306	130.26249978311654	268.91499956623306	-121.87249978311655	-130.26249978311654	268.91499956623306	-268.91499956623306	-121.87249978311655	121.87249978311655	-121.87249978311655	8.39	130.26249978311654
