	rxn10125	rxn00083	rxn05312	rxn05318	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
0	-316.31999999999994	-316.31999999999994	624.2499999999999	208.0833333333333	-424.5566666666666	208.0833333333333	208.0833333333333	208.0833333333333	-208.0833333333333	424.5566666666666	208.0833333333333	424.5566666666666	-199.69333333333324	-208.0833333333333	424.5566666666666	-424.5566666666666	-199.6933333333333	199.69333333333324	-199.69333333333327	8.39	208.08333333333331
1	-410.06962500000003	-410.06962500000003	811.7492500000001	270.5830833333334	-549.5561666666667	270.5830833333334	270.5830833333334	270.5830833333334	-270.5830833333334	549.5561666666667	270.5830833333334	549.5561666666667	-262.1930833333334	-270.5830833333334	549.5561666666667	-549.5561666666667	-262.19308333333345	262.1930833333334	-262.19308333333333	8.39	270.5830833333334
2	-222.57037499999993	-222.57037499999993	436.7507499999998	145.58358333333328	-299.55716666666655	145.58358333333328	145.58358333333328	145.58358333333328	-145.58358333333328	299.55716666666655	145.58358333333328	299.55716666666655	-137.19358333333324	-145.58358333333328	299.55716666666655	-299.55716666666655	-137.19358333333327	137.19358333333324	-137.19358333333327	8.39	145.58358333333328
3	-457.0381871250001	-457.0381871250001	905.6863742500002	301.8954580833334	-612.1809161666667	301.8954580833334	301.8954580833334	301.8954580833334	-301.8954580833334	612.1809161666667	301.8954580833334	612.1809161666667	-293.5054580833334	-301.8954580833334	612.1809161666667	-612.1809161666667	-293.50545808333334	293.5054580833334	-293.50545808333345	8.39	301.8954580833334
4	-363.10106287499997	-363.10106287499997	717.81212575	239.27070858333332	-486.9314171666666	239.27070858333332	239.27070858333332	239.27070858333332	-239.27070858333332	486.9314171666666	239.27070858333332	486.9314171666666	-230.8807085833333	-239.27070858333332	486.9314171666666	-486.9314171666666	-230.88070858333333	230.8807085833333	-230.88070858333333	8.39	239.27070858333332
5	-269.351437875	-269.351437875	530.3128757499999	176.77095858333328	-361.93191716666655	176.77095858333328	176.77095858333328	176.77095858333328	-176.77095858333328	361.93191716666655	176.77095858333328	361.93191716666655	-168.38095858333324	-176.77095858333328	361.93191716666655	-361.93191716666655	-168.38095858333315	168.38095858333324	-168.38095858333332	8.39	176.77095858333328
6	-175.78931212499978	-175.78931212499978	343.1886242499996	114.39620808333319	-237.18241616666637	114.39620808333319	114.39620808333319	114.39620808333319	-114.39620808333319	237.18241616666637	114.39620808333319	237.18241616666637	-106.00620808333319	-114.39620808333319	237.18241616666637	-237.18241616666637	-106.0062080833332	106.00620808333319	-106.0062080833332	8.39	114.39620808333318
7	-480.5694367496251	-480.5694367496251	952.7488734992503	317.5829578330834	-643.5559156661668	317.5829578330834	317.5829578330834	317.5829578330834	-317.5829578330834	643.5559156661668	317.5829578330834	643.5559156661668	-309.1929578330834	-317.5829578330834	643.5559156661668	-643.5559156661668	-309.1929578330834	309.1929578330834	-309.1929578330835	8.39	317.5829578330834
8	-292.78875037537483	-292.78875037537483	577.1875007507497	192.39583358358323	-393.18166716716644	192.39583358358323	192.39583358358323	192.39583358358323	-192.39583358358323	393.18166716716644	192.39583358358323	393.18166716716644	-184.00583358358324	-192.39583358358323	393.18166716716644	-393.18166716716644	-184.0058335835832	184.00583358358324	-184.00583358358324	8.39	192.39583358358323
9	-433.50693750037505	-433.50693750037505	858.6238750007501	286.2079583335834	-580.8059166671668	286.2079583335834	286.2079583335834	286.2079583335834	-286.2079583335834	580.8059166671668	286.2079583335834	580.8059166671668	-277.8179583335834	-286.2079583335834	580.8059166671668	-580.8059166671668	-277.81795833358353	277.8179583335834	-277.8179583335834	8.39	286.2079583335834
