reaction	linear_coefficient
rxn03253	[np.float64(0.40195670983230825)]
rxn02720	[np.float64(0.40195670983230825)]
rxn00946	[np.float64(0.40195670983230825)]
rxn02679	[np.float64(0.40195670983230825)]
rxn02803	[np.float64(0.40195670983230825)]
rxn03251	[np.float64(0.40195670983230825)]
rxn00872	[np.float64(0.40195670983230825)]
rxn01451	[0.14288642756346034]
rxn03242	[0.14288642756346034]
rxn03239	[0.14288642756346034]
rxn06777	[0.14288642756346034]
rxn03244	[0.14288642756346034]
rxn03249	[0.14288642756346034]
rxn03246	[0.14288642756346034]
rxn02122	[0.6944880115670846]
rxn01387	[0.3289314062629343]
rxn00616	[0.37155375088137566]
rxn00501	[0.08190847467868294]
rxn10125	[0.34915368655635537]
rxn01851	[0.6944880115670846]
rxn13812	[0.6499989949215583]
rxn01297	[0.27168679743232693]
rxn01522	[0.27168679743232693]
rxn00288	[0.20199770842115275]
rxn10126	[0.20199770842115275]
rJB00270	[0.20199770842115275]
rxn06493	[0.6832879794045745]
rxn13808	[0.6307100506416796]
rxn00623	[np.float64(0.40195670983230825)]
rxn00506	[0.3684426308362339]
rxn00779	[0.38337600705291414]
rxn13726	[0.06977510650263029]
rJB00264	[0.06977510650263029]
rxn10122	[0.06977510650263029]
rxn00604	[0.47359848836202356]
rxn10902	[0.47359848836202356]
rxn00671	[0.08190847467868294]
rxn01115	[0.6023988582308901]
rxn00338	[0.6499989949215583]
rxn00248	[0.6316433866552222]
rxn05353	[0.2138199645926912]
rxn05356	[0.2138199645926912]
rxn05355	[0.2138199645926912]
rxn05354	[0.2138199645926912]
rxn05357	[0.2138199645926912]
rxn05352	[0.2138199645926912]
rxn05351	[0.2138199645926912]
rxn05338	[0.7321325641132993]
rxn00611	[0.6901324435038863]
rxn00612	[0.6901324435038863]
rxn05436	[0.7156436278740482]
rxn05448	[0.7156436278740482]
rxn05442	[0.7156436278740482]
rxn05437	[0.7156436278740482]
rxn05449	[0.7156436278740482]
rxn05443	[0.7156436278740482]
rxn05438	[0.7156436278740482]
rxn05450	[0.7156436278740482]
rxn05444	[0.7156436278740482]
rxn05433	[0.7156436278740482]
rxn05445	[0.7156436278740482]
rxn05439	[0.7156436278740482]
rxn05446	[0.7156436278740482]
rxn05434	[0.7156436278740482]
rxn05440	[0.7156436278740482]
rxn05435	[0.7156436278740482]
rxn05447	[0.7156436278740482]
rxn05441	[0.7156436278740482]
rxn05322	[0.7156436278740482]
rxn05327	[0.7156436278740482]
rxn05324	[0.7156436278740482]
rxn13838	[0.7156436278740482]
rxn05328	[0.7156436278740482]
rxn05326	[0.7156436278740482]
rxn13850	[0.7156436278740482]
rxn08396	[0.7156436278740482]
rxn05325	[0.7156436278740482]
rxn05323	[0.7156436278740482]
rxn05464	[0.7156436278740482]
rxn02866	[np.float64(0.40195670983230825)]
rxn05339	[0.6182655704611129]
rxn05337	[0.6182655704611129]
rxn13844	[0.6182655704611129]
rxn05341	[0.6182655704611129]
rxn05336	[0.6182655704611129]
rxn05372	[0.6182655704611129]
rxn05422	[0.6182655704611129]
rxn05397	[0.6182655704611129]
rxn05376	[0.6182655704611129]
rxn05426	[0.6182655704611129]
rxn05401	[0.6182655704611129]
rxn05380	[0.6182655704611129]
rxn05430	[0.6182655704611129]
rxn05405	[0.6182655704611129]
rxn05461	[0.6182655704611129]
rxn07993	[0.6182655704611129]
rxn05340	[0.6182655704611129]
rxn05342	[0.6182655704611129]
rxn05360	[0.6182655704611129]
rxn05410	[0.6182655704611129]
rxn05385	[0.6182655704611129]
rxn05414	[0.6182655704611129]
rxn05364	[0.6182655704611129]
rxn05389	[0.6182655704611129]
rxn05368	[0.6182655704611129]
rxn05418	[0.6182655704611129]
rxn05393	[0.6182655704611129]
rxn00083	[0.4511984240370032]
rxn11245	[np.float64(0.40195670983230825)]
rxn00781	[0.4558651041047158]
rxn00199	[0.3289314062629343]
rxn08398	[0.24493116504410825]
rxn03532	[np.float64(0.40195670983230825)]
rxn13839	[0.7448881562983802]
rxn13790	[0.29657575779346057]
rxn03897	[0.32550917421327846]
rxn05289	[0.6313322746507081]
rxn02842	[0.36875374284074813]
rxn13909	[0.4169761035404445]
rxn01643	[0.6310211626461938]
rJB00277	[0.4300428077300397]
rxn00211	[np.float64(0.40195670983230825)]
rxn01480	[0.58373213796004]
rxn01053	[0.6552878989982992]
rxn01867	[0.01657495373070713]
rxn01945	[0.4574206641272867]
rJB00104	[0.4574206641272867]
rxn21407	[0.29657575779346057]
rxn08975	[np.float64(0.40195670983230825)]
rJB00263	[np.float64(0.40195670983230825)]
rxn00371	[np.float64(0.40195670983230825)]
rxn08094	[0.37342042290846067]
rxn00154	[0.05328617026337926]
rxn00085	[0.5943099461135217]
rxn00159	[0.47173181633493855]
rxn00161	[0.47173181633493855]
rxn10062	[0.06759732247103109]
rxn13898	[0.6748879552826919]
rxn01740	[np.float64(0.40195670983230825)]
rxn00962	[0.7448881562983802]
rxn00979	[0.7492437243615787]
rxn00509	[0.7492437243615787]
rxn01101	[0.6182655704611129]
rxn00686	[0.6773768513188052]
rxn00931	[0.7455103803074086]
rxn04954	[0.1263974913242093]
rxn01802	[0.7455103803074086]
rxn01331	[0.4471539679783191]
rxn03951	[0.6030210822399185]
rxn02465	[0.669599051205951]
rxn00183	[0.3942649272109101]
rxn13895	[0.3942649272109101]
rxn01452	[0.5880877060232383]
rxn02270	[np.float64(0.40195670983230825)]
rxn00508	[np.float64(0.40195670983230825)]
rxn00500	[0.5933766100999791]
rxn02939	[np.float64(0.40195670983230825)]
rxn13682	[0.6471989868809308]
rxn01241	[0.7122213958243923]
rxn02933	[np.float64(0.40195670983230825)]
rxn00907	[0.39799827126508014]
rxn00992	[0.65684345902087]
rxn00086	[0.3718648628858898]
rxn01475	[0.6135988903934003]
rxn13834	[0.3538203666240679]
rxn00629	[0.44839841599637575]
rxn00546	[0.44839841599637575]
rxn42682	[0.7122213958243923]
rxn13925	[0.7448881562983802]
rxn02774	[0.6509323309351007]
rxn00198	[0.638487850754534]
rxn03492	[0.9091552946818622]
rxn02285	[0.4508873120324891]
rxn00077	[0.30933134997854156]
rxn01268	[0.6079988743121453]
rxn13705	[0.5899543780503234]
rxn09896	[0.8251550534630361]
rxn01045	[0.8251550534630361]
rxn00935	[0.36595373480012056]
rxn00638	[np.float64(0.40195670983230825)]
rxn00763	[0.6552878989982992]
rxn03958	[0.7455103803074086]
rxn13906	[0.5918210500774083]
rxn01302	[0.7321325641132993]
rxn00834	[0.09653073889084894]
rxn05293	[0.6499989949215583]
rxn07967	[0.4471539679783191]
rxn00105	[0.684221315418117]
rxn02373	[0.6350656187048781]
rxn02474	[0.669910163210465]
rxn03055	[0.6030210822399185]
rxn09953	[0.31742026209590996]
rxn02112	[0.822977269431437]
rxn02632	[0.822977269431437]
rxn01686	[0.822977269431437]
rxn13787	[0.6898213314993721]
rxn13896	[0.6898213314993721]
rxn01790	[0.3059091179288857]
rxn00859	[0.6798657473549186]
rxn08352	[0.8220439334178945]
rxn08756	[0.8220439334178945]
rxn00122	[np.float64(0.40195670983230825)]
rxn00184	[0.7122213958243923]
rxn01011	[0.6415989707996756]
rxn06591	[0.7968438610522467]
rxn02186	[0.6076877623076311]
rxn08764	[0.6076877623076311]
rxn02929	[0.6639990351246959]
rxn00190	[0.05328617026337926]
rxn00138	[0.05328617026337926]
rxn08977	[np.float64(0.40195670983230825)]
rxn36840	[np.float64(0.40195670983230825)]
rxn02003	[np.float64(0.40195670983230825)]
rxn08291	[np.float64(0.40195670983230825)]
rxn13795	[0.6944880115670846]
rxn13788	[0.01657495373070713]
rxn00429	[0.46768736027625435]
rxn02440	[0.572843217802044]
rxn00868	[0.47359848836202356]
rxn10074	[0.47359848836202356]
rxn01729	[0.47359848836202356]
rxn01068	[0.47359848836202356]
rxn01314	[0.47359848836202356]
