reaction	linear_coefficient
rxn03253	[0.12978589643161562]
rxn02720	[0.12978589643161562]
rxn00946	[0.12978589643161562]
rxn02679	[0.12978589643161562]
rxn02803	[0.12978589643161562]
rxn03251	[0.12978589643161562]
rxn00872	[0.12978589643161562]
rxn01451	[0.2671143701026328]
rxn03242	[0.2671143701026328]
rxn03239	[0.2671143701026328]
rxn06777	[0.2671143701026328]
rxn03244	[0.2671143701026328]
rxn03249	[0.2671143701026328]
rxn03246	[0.2671143701026328]
rxn02122	[0.011795513951006958]
rxn01387	[0.21975005979569012]
rxn00616	[0.20994088310490316]
rxn00501	[0.1283845854757889]
rxn10125	[0.3198036620417169]
rxn01851	[0.024967836935777997]
rxn13812	[0.5510199697531234]
rxn01297	[0.2144250781635486]
rxn01522	[0.2144250781635486]
rxn00288	[0.22675661457482366]
rxn10126	[0.22675661457482366]
rJB00270	[0.22675661457482366]
rxn06493	[0.2113421940607299]
rxn13808	[0.7755099848765616]
rxn00623	[0.6785392667333536]
rxn00506	[0.024967836935777997]
rxn00779	[0.16257657279796053]
rxn13726	[0.29037613196935613]
rJB00264	[0.29037613196935613]
rxn10122	[0.29037613196935613]
rxn00604	[np.float64(0.40161571993993395)]
rxn10902	[np.float64(0.40161571993993395)]
rxn00671	[0.1283845854757889]
rxn01115	[0.6258499747942695]
rxn00338	[0.5510199697531234]
rxn00248	[0.7432798328925475]
rxn05353	[0.881729355328226]
rxn05356	[0.881729355328226]
rxn05355	[0.881729355328226]
rxn05354	[0.881729355328226]
rxn05357	[0.881729355328226]
rxn05352	[0.881729355328226]
rxn05351	[0.881729355328226]
rxn05338	[0.6813418886450071]
rxn00611	[0.6519143585726462]
rxn00612	[0.6519143585726462]
rxn05436	[0.6964760469679354]
rxn05448	[0.6964760469679354]
rxn05442	[0.6964760469679354]
rxn05437	[0.6964760469679354]
rxn05449	[0.6964760469679354]
rxn05443	[0.6964760469679354]
rxn05438	[0.6964760469679354]
rxn05450	[0.6964760469679354]
rxn05444	[0.6964760469679354]
rxn05433	[0.6964760469679354]
rxn05445	[0.6964760469679354]
rxn05439	[0.6964760469679354]
rxn05446	[0.6964760469679354]
rxn05434	[0.6964760469679354]
rxn05440	[0.6964760469679354]
rxn05435	[0.6964760469679354]
rxn05447	[0.6964760469679354]
rxn05441	[0.6964760469679354]
rxn05322	[0.6964760469679354]
rxn05327	[0.6964760469679354]
rxn05324	[0.6964760469679354]
rxn13838	[0.6964760469679354]
rxn05328	[0.6964760469679354]
rxn05326	[0.6964760469679354]
rxn13850	[0.6964760469679354]
rxn08396	[0.6964760469679354]
