	rxn01451	rxn10125	rJB00270	rJB00264	rxn08094	rxn01802	rxn00183	rxn13895	rxn00184	rxn05312	rxn05318	rxn00256	rJB00267	rxn00285	rxn00974	rxn05307	rxn00165	rxn01639	rxn05158	rxn00615	rxn05209	rxn00148	rxn05229	rxn05654	rxn10042	rxn12788	rxn05221	rxn00250	rxn02167	rxn00134	rxn05559	rxn00374	rxn05581	rxn13889	rxn00251	rxn01642	rxn12604	rxn02085	rxn10165	rxn10053	rxn05467	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00001_e	EX_cpd00129_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	rxn13837	rxn01730	EX_cpd00331_e	EX_cpd00581_e	ATPM	rxn06043	EX_cpd00047_e	EX_cpd00379_e	rxn00178	DM_cpd00002_c
0	-82.84008627349994	-148.44819084899996	48.37612287750011	345.2725045755	148.44819084899996	-82.84008627349994	131.21620915100004	131.21620915100004	148.44819084899996	1000.0	546.7701908490001	165.68017254699987	393.64862745300013	-148.44819084899996	-165.68017254699987	-165.68017254699987	-165.68017254699987	17.231981697999913	640.3105725469999	-1000.0	-131.21620915100004	546.7701908490001	-381.0900183020002	-148.44819084899996	345.2725045755	165.68017254699987	131.21620915100004	381.0900183020002	82.84008627349994	546.7701908490001	-17.231981697999913	17.231981697999913	1000.0	-674.774535943	546.7701908490001	17.231981697999913	17.231981697999913	-17.231981697999913	359.6894274530001	381.0900183020002	-231.2882771224999	-405.7024732080004	196.82431372650007	-546.7701908490001	231.2882771224999	1000.0	-1000.0	405.7024732080004	-131.21620915100004	165.68017254699987	-196.82431372650007	-640.3105725469999	148.44819084899996	-82.84008627349994	-82.84008627349994	-165.68017254699987	-17.231981697999913	8.39	674.774535943	17.231981697999913	82.84008627349994	82.84008627349994	546.7701908489996
1	-96.09864189618594	-144.14796284427894	0.0	288.2959256885579	144.14796284427894	-96.09864189618594	96.09864189618594	96.09864189618594	144.14796284427894	835.7591864186037	509.6218001279996	192.19728379237188	288.2959256885579	-144.14796284427894	-192.19728379237188	-192.19728379237188	-192.19728379237188	48.049320948093	693.1062139653953	-1000.0	-96.09864189618594	509.6218001279996	-317.42451633562774	-144.14796284427894	288.2959256885579	192.19728379237188	96.09864189618594	317.42451633562774	96.09864189618594	509.6218001279996	-48.049320948093	48.049320948093	1000.0	-624.9640422801849	509.6218001279996	48.049320948093	48.049320948093	-48.049320948093	306.89378603460466	317.42451633562774	-240.24660474046487	-144.470832799255	144.14796284427894	-509.6218001279996	240.24660474046487	1000.0	-1000.0	144.470832799255	-96.09864189618594	192.19728379237188	-144.14796284427894	-528.865400383999	144.14796284427894	-96.09864189618594	-96.09864189618594	-192.19728379237188	-48.049320948093	8.39	624.9640422801849	48.049320948093	96.09864189618594	96.09864189618594	509.62180012799996
2	-107.8301285805714	-161.7451928708571	0.0	323.4903857417142	161.7451928708571	-107.8301285805714	107.8301285805714	107.8301285805714	161.7451928708571	1000.0	509.62180012799973	215.6602571611428	323.4903857417142	-161.7451928708571	-215.6602571611428	-215.6602571611428	-215.6602571611428	53.9150642902857	528.8654003839991	-747.773036285713	-107.8301285805714	509.62180012799973	-293.96154296685694	-161.7451928708571	323.4903857417142	215.6602571611428	107.8301285805714	293.96154296685694	107.8301285805714	509.62180012799973	-53.9150642902857	53.9150642902857	747.773036285713	-888.9224926788572	509.62180012799973	53.9150642902857	53.9150642902857	-53.9150642902857	218.9076359017139	293.96154296685694	-269.5753214514285	-349.7718497760005	161.7451928708571	-509.62180012799973	269.5753214514285	747.773036285713	-747.773036285713	349.7718497760005	-107.8301285805714	215.6602571611428	-161.7451928708571	-781.0923640982861	161.7451928708571	-107.8301285805714	-107.8301285805714	-215.6602571611428	-53.9150642902857	8.39	888.9224926788572	53.9150642902857	107.8301285805714	107.8301285805714	509.62180012799945
3	-97.38194881047644	-158.14276587365094	24.139685315872555	340.42521706317444	158.14276587365094	-97.38194881047644	121.521634126349	121.521634126349	158.14276587365094	1000.0	556.464765873651	194.7638976209529	364.564902379047	-158.14276587365094	-194.7638976209529	-194.7638976209529	-194.7638976209529	36.621131747301945	669.3942976209528	-1000.0	-121.521634126349	556.464765873651	-361.7008682526981	-158.14276587365094	340.42521706317444	194.7638976209529	121.521634126349	361.7008682526981	97.38194881047644	556.464765873651	-36.621131747301945	36.621131747301945	1000.0	-742.6365611155563	556.464765873651	36.621131747301945	36.621131747301945	-36.621131747301945	330.6057023790472	361.7008682526981	-255.5247146841274	-328.14587301079234	182.2824511895235	-556.464765873651	255.5247146841274	1000.0	-1000.0	328.14587301079234	-121.521634126349	194.7638976209529	-182.2824511895235	-669.3942976209528	158.14276587365094	-97.38194881047644	-97.38194881047644	-194.7638976209529	-36.621131747301945	8.39	742.6365611155563	36.621131747301945	97.38194881047644	97.38194881047644	556.464765873651
4	-63.020276158991805	-126.04055231798361	63.020276158991805	315.101380794959	126.04055231798361	-63.020276158991805	126.04055231798361	126.04055231798361	126.04055231798361	885.0696026498633	501.3764728479562	126.04055231798361	378.12165695395083	-126.04055231798361	-126.04055231798361	-126.04055231798361	-126.04055231798361	0.0	619.0598158940055	-1000.0	-126.04055231798361	501.3764728479562	-375.3359205299726	-126.04055231798361	315.101380794959	126.04055231798361	126.04055231798361	375.3359205299726	63.020276158991805	501.3764728479562	0.0	0.0	1000.0	-504.1294185438688	501.3764728479562	0.0	0.0	0.0	380.9401841059945	375.3359205299726	-189.06082847697542	-378.08886622588517	189.06082847697542	-501.3764728479562	189.06082847697542	1000.0	-1000.0	378.08886622588517	-126.04055231798361	126.04055231798361	-189.06082847697542	-504.12941854386884	126.04055231798361	-63.020276158991805	-63.020276158991805	-126.04055231798361	0.0	8.39	504.1294185438688	0.0	63.020276158991805	63.020276158991805	501.3764728479562
5	-67.33254006146032	-134.66508012292064	67.33254006146035	336.6627003073017	134.66508012292064	-67.33254006146032	134.66508012292064	134.66508012292064	134.66508012292064	1000.0	481.3158813521273	134.66508012292064	403.99524036876204	-134.66508012292064	-134.66508012292064	-134.66508012292064	-134.66508012292064	0.0	443.947644056382	-741.6440061460332	-134.66508012292064	481.3158813521273	-346.65080122920665	-134.66508012292064	336.6627003073017	134.66508012292064	134.66508012292064	346.65080122920665	67.33254006146032	481.3158813521273	0.0	0.0	741.6440061460332	-702.3036379103489	481.3158813521273	0.0	0.0	0.0	297.69636208965136	346.65080122920665	-201.99762018438093	-567.638557787428	201.99762018438102	-481.3158813521273	201.99762018438093	741.6440061460332	-741.6440061460333	567.638557787428	-134.66508012292064	134.66508012292064	-201.99762018438102	-702.3036379103487	134.66508012292064	-67.33254006146032	-67.33254006146032	-134.66508012292064	0.0	8.39	702.3036379103489	0.0	67.33254006146032	67.33254006146032	481.3158813521273
6	-88.19931572617512	-132.29897358926266	0.0	264.5979471785253	132.29897358926266	-88.19931572617512	88.19931572617512	88.19931572617512	132.29897358926266	753.4745388143241	481.3158813521275	176.39863145235023	264.5979471785253	-132.29897358926266	-176.39863145235023	-176.39863145235023	-176.39863145235023	44.09965786308757	690.4731052420584	-1000.0	-88.19931572617512	481.3158813521275	-304.9172498997773	-132.29897358926266	264.5979471785253	176.39863145235023	88.19931572617512	304.9172498997773	88.19931572617512	481.3158813521275	-44.09965786308757	44.09965786308757	1000.0	-532.1469597825576	481.3158813521275	44.09965786308757	44.09965786308757	-44.09965786308757	309.5268947579416	304.9172498997773	-220.4982893154378	-91.15038115168187	132.29897358926266	-481.3158813521275	220.4982893154378	1000.0	-1000.0	91.15038115168187	-88.19931572617512	176.39863145235023	-132.29897358926266	-443.9476440563825	132.29897358926266	-88.19931572617512	-88.19931572617512	-176.39863145235023	-44.09965786308757	8.39	532.1469597825576	44.09965786308757	88.19931572617512	88.19931572617512	481.31588135212735
7	-109.85197992170512	-164.77796988255767	0.0	329.55593976511534	164.77796988255767	-109.85197992170512	109.85197992170512	109.85197992170512	164.77796988255767	1000.0	537.9277189038719	219.70395984341025	329.55593976511534	-164.77796988255767	-219.70395984341025	-219.70395984341025	-219.70395984341025	54.92598996085255	613.7831567116156	-874.1387451065708	-109.85197992170512	537.9277189038719	-318.22375906046165	-164.77796988255767	329.55593976511534	219.70395984341025	109.85197992170512	318.22375906046165	109.85197992170512	537.9277189038719	-54.92598996085255	54.92598996085255	874.1387451065708	-849.4963915267494	537.9277189038719	54.92598996085255	54.92598996085255	-54.92598996085255	260.35558839495525	318.22375906046165	-274.6299498042628	-300.2364919182243	164.77796988255767	-537.9277189038719	274.6299498042628	874.1387451065708	-874.1387451065708	300.2364919182243	-109.85197992170512	219.70395984341025	-164.77796988255767	-739.6444116050448	164.77796988255767	-109.85197992170512	-109.85197992170512	-219.70395984341025	-54.92598996085255	8.39	849.4963915267494	54.92598996085255	109.85197992170512	109.85197992170512	537.927718903872
8	-105.75914693383803	-158.63872040075702	0.0	317.27744080151405	158.63872040075702	-105.75914693383803	105.75914693383803	105.75914693383803	158.63872040075702	1000.0	480.62805707373207	211.51829386767605	317.27744080151405	-158.63872040075702	-211.51829386767605	-211.51829386767605	-211.51829386767605	52.879573466919	441.88417122119637	-618.3366833648755	-105.75914693383803	480.62805707373207	-269.109763206056	-158.63872040075702	317.27744080151405	211.51829386767605	105.75914693383803	269.109763206056	105.75914693383803	480.62805707373207	-52.879573466919	52.879573466919	618.3366833648755	-929.3066347901591	480.62805707373207	52.879573466919	52.879573466919	-52.879573466919	176.45251214367914	269.109763206056	-264.39786733459505	-400.51090012096887	158.63872040075702	-480.62805707373207	264.39786733459505	618.3366833648755	-618.3366833648755	400.51090012096887	-105.75914693383803	211.51829386767605	-158.63872040075702	-823.5474878563209	158.63872040075702	-105.75914693383803	-105.75914693383803	-211.51829386767605	-52.879573466919	8.39	929.3066347901591	52.879573466919	105.75914693383803	105.75914693383803	480.6280570737321
9	-106.36013424533905	-159.54020136800858	0.0	319.08040273601716	159.54020136800858	-106.36013424533905	106.36013424533905	106.36013424533905	159.54020136800858	942.6497317222818	546.392147712465	212.7202684906781	319.08040273601716	-159.54020136800858	-212.7202684906781	-212.7202684906781	-212.7202684906781	53.18006712266953	696.5267114151129	-1000.0	-106.36013424533905	546.392147712465	-333.67187922178687	-159.54020136800858	319.08040273601716	212.7202684906781	106.36013424533905	333.67187922178687	106.36013424533905	546.392147712465	-53.18006712266953	53.18006712266953	1000.0	-745.536577382734	546.392147712465	53.18006712266953	53.18006712266953	-53.18006712266953	303.47328858488703	333.67187922178687	-265.90033561334764	-213.73590615603882	159.54020136800858	-546.392147712465	265.90033561334764	1000.0	-1000.0	213.73590615603882	-106.36013424533905	212.7202684906781	-159.54020136800858	-639.1764431373947	159.54020136800858	-106.36013424533905	-106.36013424533905	-212.7202684906781	-53.18006712266953	8.39	745.536577382734	53.18006712266953	106.36013424533905	106.36013424533905	546.392147712465
