reaction	linear_coefficient
rxn03253	[0.17939519909213256]
rxn02720	[0.17939519909213256]
rxn00946	[0.17939519909213256]
rxn02679	[0.17939519909213256]
rxn02803	[0.17939519909213256]
rxn03251	[0.17939519909213256]
rxn00872	[0.17939519909213256]
rxn01451	[0.15760512810757338]
rxn03242	[0.15760512810757338]
rxn03239	[0.15760512810757338]
rxn06777	[0.15760512810757338]
rxn03244	[0.15760512810757338]
rxn03249	[0.15760512810757338]
rxn03246	[0.15760512810757338]
rxn02122	[0.03938240255305008]
rxn01387	[0.46985220913099074]
rxn00616	[0.26400558110664435]
rxn00501	[0.06209971060078202]
rxn10125	[0.2811594667753399]
rxn01851	[0.44342595283056785]
rxn13812	[0.41723150579593826]
rxn01297	[0.22251172252966456]
rxn01522	[0.22251172252966456]
rxn00288	[0.20535783686096906]
rxn10126	[0.20535783686096906]
rJB00270	[0.20535783686096906]
rxn06493	[0.2463880769063624]
rxn13808	[0.38361916225592674]
rxn00623	[0.008551770202556756]
rxn00506	[0.03938240255305008]
rxn00779	[0.1263108772254937]
rxn13726	[0.1691955913972325]
rJB00264	[0.1691955913972325]
rxn10122	[0.1691955913972325]
rxn00604	[0.5085643565184522]
rxn10902	[0.5085643565184522]
rxn00671	[0.06209971060078202]
rxn01115	[0.5162140622896273]
rxn00338	[0.41723150579593826]
rxn00248	[0.39103705876130856]
rxn05353	[0.2811594667753399]
rxn05356	[0.2811594667753399]
rxn05355	[0.2811594667753399]
rxn05354	[0.2811594667753399]
rxn05357	[0.2811594667753399]
rxn05352	[0.2811594667753399]
rxn05351	[0.2811594667753399]
rxn05338	[0.5162140622896273]
rxn00611	[0.5400904166663252]
rxn00612	[0.5400904166663252]
rxn05436	[0.6682809406499554]
rxn05448	[0.6682809406499554]
rxn05442	[0.6682809406499554]
rxn05437	[0.6682809406499554]
rxn05449	[0.6682809406499554]
rxn05443	[0.6682809406499554]
rxn05438	[0.6682809406499554]
rxn05450	[0.6682809406499554]
rxn05444	[0.6682809406499554]
rxn05433	[0.6682809406499554]
rxn05445	[0.6682809406499554]
rxn05439	[0.6682809406499554]
rxn05446	[0.6682809406499554]
rxn05434	[0.6682809406499554]
rxn05440	[0.6682809406499554]
rxn05435	[0.6682809406499554]
rxn05447	[0.6682809406499554]
rxn05441	[0.6682809406499554]
rxn05322	[0.6682809406499554]
rxn05327	[0.6682809406499554]
rxn05324	[0.6682809406499554]
rxn13838	[0.6682809406499554]
rxn05328	[0.6682809406499554]
rxn05326	[0.6682809406499554]
rxn13850	[0.6682809406499554]
rxn08396	[0.6682809406499554]
rxn05325	[0.6682809406499554]
rxn05323	[0.6682809406499554]
rxn05464	[0.6682809406499554]
rxn02866	[0.5301226182372183]
rxn05339	[0.36553803952405844]
rxn05337	[0.36553803952405844]
