reaction	linear_coefficient
rxn03253	0.6004706163373126
rxn02720	0.6004706163373126
rxn00946	0.6004706163373126
rxn02679	0.6004706163373126
rxn02803	0.6004706163373126
rxn03251	0.6004706163373126
rxn00872	0.6004706163373126
rxn01451	0.38452513568995533
rxn03242	0.38452513568995533
rxn03239	0.38452513568995533
rxn06777	0.38452513568995533
rxn03244	0.38452513568995533
rxn03249	0.38452513568995533
rxn03246	0.38452513568995533
rxn02122	0.7420147128960846
rxn01387	0.1903556698977937
rxn00616	0.3669833459454921
rxn00501	0.8082500914139713
rxn10125	0.5188105606303287
rxn01851	0.68001355948893
rxn13812	0.308611528347537
rxn01297	0.5375621289778583
rxn01522	0.5375621289778583
rxn00288	0.392388696609887
rxn10126	0.392388696609887
rJB00270	0.392388696609887
rxn06493	0.6195246293356088
rxn13808	0.47162919511073803
rxn00623	0.5433085773424238
rxn00506	0.68001355948893
rxn00779	0.6957406813287937
rxn13726	0.5687139280068189
rJB00264	0.5687139280068189
rxn10122	0.5687139280068189
rxn00604	0.21092190614992296
rxn10902	0.21092190614992296
rxn00671	0.8082500914139713
rxn01115	0.07542670260648311
rxn00338	0.308611528347537
rxn00248	0.017054885008527986
rxn05353	0.5835337158943826
rxn05356	0.5835337158943826
rxn05355	0.5835337158943826
rxn05354	0.5835337158943826
rxn05357	0.5835337158943826
rxn05352	0.5835337158943826
rxn05351	0.5835337158943826
rxn05338	0.2009412326746249
rxn00611	0.12291051277684037
rxn00612	0.12291051277684037
rxn05436	0.07240225609881704
rxn05448	0.07240225609881704
rxn05442	0.07240225609881704
rxn05437	0.07240225609881704
rxn05449	0.07240225609881704
rxn05443	0.07240225609881704
rxn05438	0.07240225609881704
rxn05450	0.07240225609881704
rxn05444	0.07240225609881704
rxn05433	0.07240225609881704
rxn05445	0.07240225609881704
rxn05439	0.07240225609881704
rxn05446	0.07240225609881704
rxn05434	0.07240225609881704
rxn05440	0.07240225609881704
rxn05435	0.07240225609881704
rxn05447	0.07240225609881704
rxn05441	0.07240225609881704
rxn05322	0.07240225609881704
rxn05327	0.07240225609881704
rxn05324	0.07240225609881704
rxn13838	0.07240225609881704
rxn05328	0.07240225609881704
rxn05326	0.07240225609881704
rxn13850	0.07240225609881704
rxn08396	0.07240225609881704
rxn05325	0.07240225609881704
rxn05323	0.07240225609881704
rxn05464	0.07240225609881704
rxn02866	0.30921641764907015
rxn05339	0.4918929867121007
rxn05337	0.4918929867121007
rxn13844	0.4918929867121007
rxn05341	0.4918929867121007
rxn05336	0.4918929867121007
rxn05372	0.4918929867121007
rxn05422	0.4918929867121007
rxn05397	0.4918929867121007
rxn05376	0.4918929867121007
rxn05426	0.4918929867121007
rxn05401	0.4918929867121007
rxn05380	0.4918929867121007
rxn05430	0.4918929867121007
rxn05405	0.4918929867121007
rxn05461	0.4918929867121007
rxn07993	0.4918929867121007
rxn05340	0.4918929867121007
rxn05342	0.4918929867121007
rxn05360	0.4918929867121007
rxn05410	0.4918929867121007
rxn05385	0.4918929867121007
