reaction	linear_coefficient
rxn03253	[0.254880685530932]
rxn02720	[0.254880685530932]
rxn00946	[0.254880685530932]
rxn02679	[0.254880685530932]
rxn02803	[0.254880685530932]
rxn03251	[0.15841545562969797]
rxn00872	[0.15841545562969797]
rxn01451	[np.float64(0.33016965285783195)]
rxn03242	[np.float64(0.33016965285783195)]
rxn03239	[np.float64(0.33016965285783195)]
rxn06777	[np.float64(0.33016965285783195)]
rxn03244	[np.float64(0.33016965285783195)]
rxn03249	[np.float64(0.33016965285783195)]
rxn03246	[np.float64(0.33016965285783195)]
rxn02122	[0.07612166414178956]
rxn01387	[0.6029511027003331]
rxn00616	[np.float64(0.33016965285783195)]
rxn00501	[0.21236637029095518]
rxn10125	[0.011728636965450344]
rxn01851	[0.2424495992034534]
rxn13812	[0.4778943742458983]
rxn01297	[0.18849868454219626]
rxn01522	[0.18849868454219626]
rxn00288	[np.float64(0.33016965285783195)]
rxn10126	[np.float64(0.33016965285783195)]
rJB00270	[np.float64(0.33016965285783195)]
rxn06493	[0.2183332917281449]
rxn13808	[0.425186568217389]
rxn00623	[0.1464816127553185]
rxn00506	[0.08358031593827672]
rxn00779	[0.26706315013186105]
rxn13726	[0.002281011356566596]
rJB00264	[0.002281011356566596]
rxn10122	[0.002281011356566596]
rxn00604	[0.5181710939469291]
rxn10902	[0.5181710939469291]
rxn00671	[0.21236637029095518]
rxn01115	[0.514193146322136]
rxn00338	[0.4778943742458983]
rxn00248	[0.6964328718829724]
rxn05353	[0.2899363489744217]
rxn05356	[0.2899363489744217]
rxn05355	[0.2899363489744217]
rxn05354	[0.2899363489744217]
rxn05357	[0.2899363489744217]
rxn05352	[0.2899363489744217]
rxn05351	[0.2899363489744217]
rxn05338	[0.6964328718829724]
rxn00611	[0.5793320386781239]
rxn00612	[0.5793320386781239]
rxn05436	[0.6496919872916529]
rxn05448	[0.6496919872916529]
rxn05442	[0.6496919872916529]
rxn05437	[0.6496919872916529]
rxn05449	[0.6496919872916529]
rxn05443	[0.6496919872916529]
rxn05438	[0.6496919872916529]
rxn05450	[0.6496919872916529]
rxn05444	[0.6496919872916529]
rxn05433	[0.6496919872916529]
