reaction	linear_coefficient
rxn03253	[np.float64(0.3036089907931519)]
rxn02720	[np.float64(0.3036089907931519)]
rxn00946	[np.float64(0.3036089907931519)]
rxn02679	[np.float64(0.3036089907931519)]
rxn02803	[np.float64(0.3036089907931519)]
rxn03251	[0.2974832226183108]
rxn00872	[0.2974832226183108]
rxn01451	[0.374819941719278]
rxn03242	[0.374819941719278]
rxn03239	[0.374819941719278]
rxn06777	[0.374819941719278]
rxn03244	[0.374819941719278]
rxn03249	[0.374819941719278]
rxn03246	[0.374819941719278]
rxn02122	[0.23162227473877747]
rxn01387	[0.46687558477817126]
rxn00616	[0.23486542747526962]
rxn00501	[0.19494970148767363]
rxn10125	[0.025557339327813195]
rxn01851	[0.2867558712591444]
rxn13812	[0.4454208820598384]
rxn01297	[0.18272551040397234]
rxn01522	[0.18272551040397234]
rxn00288	[0.3531157657135227]
rxn10126	[0.3531157657135227]
rJB00270	[0.3531157657135227]
rxn06493	[0.26829484798988124]
rxn13808	[np.float64(0.3036089907931519)]
rxn00623	[0.13233190634463243]
rxn00506	[0.26829484798988124]
rxn00779	[0.18272551040397234]
rxn13726	[0.003354216747212935]
rJB00264	[0.003354216747212935]
rxn10122	[0.003354216747212935]
rxn00604	[0.17274657890707334]
rxn10902	[0.17274657890707334]
rxn00671	[0.19494970148767363]
rxn01115	[0.6045848394353774]
rxn00338	[0.4454208820598384]
rxn00248	[0.384798873216177]
rxn05353	[0.2695422144269936]
rxn05356	[0.2695422144269936]
rxn05355	[0.2695422144269936]
rxn05354	[0.2695422144269936]
rxn05357	[0.2695422144269936]
rxn05352	[0.2695422144269936]
rxn05351	[0.2695422144269936]
rxn05338	[0.6010922134114627]
rxn00611	[0.5858743428786918]
rxn00612	[0.5858743428786918]
rxn05436	[0.0702130577764362]
rxn05448	[0.0702130577764362]
rxn05442	[0.0702130577764362]
rxn05437	[0.0702130577764362]
rxn05449	[0.0702130577764362]
rxn05443	[0.0702130577764362]
rxn05438	[0.0702130577764362]
rxn05450	[0.0702130577764362]
rxn05444	[0.0702130577764362]
rxn05433	[0.0702130577764362]
rxn05445	[0.0702130577764362]
rxn05439	[0.0702130577764362]
rxn05446	[0.0702130577764362]
rxn05434	[0.0702130577764362]
rxn05440	[0.0702130577764362]
rxn05435	[0.0702130577764362]
rxn05447	[0.0702130577764362]
rxn05441	[0.0702130577764362]
rxn05322	[0.0702130577764362]
rxn05327	[0.0702130577764362]
rxn05324	[0.0702130577764362]
rxn13838	[0.0702130577764362]
rxn05328	[0.0702130577764362]
rxn05326	[0.0702130577764362]
rxn13850	[0.0702130577764362]
rxn08396	[0.0702130577764362]
rxn05325	[0.0702130577764362]
rxn05323	[0.0702130577764362]
rxn05464	[0.0702130577764362]
rxn02866	[0.424215652628928]
rxn05339	[0.3598515444739295]
rxn05337	[0.3598515444739295]
rxn13844	[0.3598515444739295]
rxn05341	[0.3598515444739295]
rxn05336	[0.3598515444739295]
rxn05372	[0.3598515444739295]
rxn05422	[0.3598515444739295]
rxn05397	[0.3598515444739295]
rxn05376	[0.3598515444739295]
