reaction	linear_coefficient
rxn03253	[0.13582979751104166]
rxn02720	[0.13582979751104166]
rxn00946	[0.13582979751104166]
rxn02679	[0.13582979751104166]
rxn02803	[0.13582979751104166]
rxn03251	[0.05213689905502785]
rxn00872	[0.05213689905502785]
rxn01451	[0.4190728224817865]
rxn03242	[0.4190728224817865]
rxn03239	[0.4190728224817865]
rxn06777	[0.4190728224817865]
rxn03244	[0.4190728224817865]
rxn03249	[0.4190728224817865]
rxn03246	[0.4190728224817865]
rxn02122	[0.02817775557546311]
rxn01387	[0.685905475206254]
rxn00616	[0.03113162257979301]
rxn00501	[0.02161360667695222]
rxn10125	[0.3002617274187394]
rxn01851	[0.03113162257979301]
rxn13812	[0.5421506143288656]
rxn01297	[0.03113162257979301]
rxn01522	[0.03113162257979301]
rxn00288	[np.float64(0.3925361041309511)]
rxn10126	[np.float64(0.3925361041309511)]
rJB00270	[np.float64(0.3925361041309511)]
rxn06493	[0.12532715927342425]
rxn13808	[np.float64(0.3925361041309511)]
rxn00623	[0.5198325080739286]
rxn00506	[0.03113162257979301]
rxn00779	[np.float64(0.3925361041309511)]
rxn13726	[0.11416810614595573]
rJB00264	[0.11416810614595573]
rxn10122	[0.11416810614595573]
rxn00604	[0.6714643476295301]
rxn10902	[0.6714643476295301]
rxn00671	[0.02161360667695222]
rxn01115	[0.6688386880701257]
rxn00338	[0.5421506143288656]
rxn00248	[0.6038536139748679]
rxn05353	[0.34522614737353896]
rxn05356	[0.34522614737353896]
rxn05355	[0.34522614737353896]
rxn05354	[0.34522614737353896]
rxn05357	[0.34522614737353896]
rxn05352	[0.34522614737353896]
rxn05351	[0.34522614737353896]
rxn05338	[0.6498026562644442]
rxn00611	[0.6842644379816263]
rxn00612	[0.6842644379816263]
rxn05436	[0.7138031080249253]
rxn05448	[0.7138031080249253]
rxn05442	[0.7138031080249253]
rxn05437	[0.7138031080249253]
rxn05449	[0.7138031080249253]
rxn05443	[0.7138031080249253]
rxn05438	[0.7138031080249253]
rxn05450	[0.7138031080249253]
rxn05444	[0.7138031080249253]
rxn05433	[0.7138031080249253]
rxn05445	[0.7138031080249253]
rxn05439	[0.7138031080249253]
rxn05446	[0.7138031080249253]
rxn05434	[0.7138031080249253]
rxn05440	[0.7138031080249253]
rxn05435	[0.7138031080249253]
rxn05447	[0.7138031080249253]
rxn05441	[0.7138031080249253]
rxn05322	[0.7138031080249253]
rxn05327	[0.7138031080249253]
rxn05324	[0.7138031080249253]
rxn13838	[0.7138031080249253]
rxn05328	[0.7138031080249253]
rxn05326	[0.7138031080249253]
rxn13850	[0.7138031080249253]
rxn08396	[0.7138031080249253]
rxn05325	[0.7138031080249253]
rxn05323	[0.7138031080249253]
rxn05464	[0.7138031080249253]
rxn02866	[0.5844893747242608]
rxn05339	[np.float64(0.3925361041309511)]
rxn05337	[np.float64(0.3925361041309511)]
rxn13844	[np.float64(0.3925361041309511)]
rxn05341	[np.float64(0.3925361041309511)]
rxn05336	[np.float64(0.3925361041309511)]
rxn05372	[np.float64(0.3925361041309511)]
rxn05422	[np.float64(0.3925361041309511)]
rxn05397	[np.float64(0.3925361041309511)]
rxn05376	[np.float64(0.3925361041309511)]
rxn05426	[np.float64(0.3925361041309511)]
rxn05401	[np.float64(0.3925361041309511)]
rxn05380	[np.float64(0.3925361041309511)]
rxn05430	[np.float64(0.3925361041309511)]
rxn05405	[np.float64(0.3925361041309511)]
rxn05461	[np.float64(0.3925361041309511)]
rxn07993	[np.float64(0.3925361041309511)]
rxn05340	[np.float64(0.3925361041309511)]
rxn05342	[np.float64(0.3925361041309511)]
rxn05360	[np.float64(0.3925361041309511)]
rxn05410	[np.float64(0.3925361041309511)]
rxn05385	[np.float64(0.3925361041309511)]
rxn05414	[np.float64(0.3925361041309511)]
rxn05364	[np.float64(0.3925361041309511)]
rxn05389	[np.float64(0.3925361041309511)]
rxn05368	[np.float64(0.3925361041309511)]
rxn05418	[np.float64(0.3925361041309511)]
rxn05393	[np.float64(0.3925361041309511)]
rxn00083	[0.36951349829802926]
rxn11245	[np.float64(0.3925361041309511)]
rxn00781	[0.6819669858671475]
rxn00199	[0.685905475206254]
rxn08398	[0.35540057816623083]
rxn03532	[0.5198325080739286]
rxn13839	[0.701003017672829]
rxn13790	[0.20672260561495925]
rxn03897	[np.float64(0.3925361041309511)]
rxn05289	[np.float64(0.3925361041309511)]
rxn02842	[0.19359430781793746]
rxn13909	[0.23297920120900278]
