reaction	linear_coefficient
rxn03253	0.5779019790382639
rxn02720	0.5779019790382639
rxn00946	0.5779019790382639
rxn02679	0.5779019790382639
rxn02803	0.5779019790382639
rxn03251	0.5779019790382639
rxn00872	0.5779019790382639
rxn01451	0.4054439798509505
rxn03242	0.4054439798509505
rxn03239	0.4054439798509505
rxn06777	0.4054439798509505
rxn03244	0.4054439798509505
rxn03249	0.4054439798509505
rxn03246	0.4054439798509505
rxn02122	0.7206745849228431
rxn01387	0.1897301218510814
rxn00616	0.4518097370095069
rxn00501	0.5730957725035355
rxn10125	0.5205102186529778
rxn01851	0.5504783299871665
rxn13812	0.3276965212009321
rxn01297	0.5363424284144359
rxn01522	0.5363424284144359
rxn00288	0.45605050748132603
rxn10126	0.45605050748132603
rJB00270	0.45605050748132603
rxn06493	0.5569808447106226
rxn13808	0.8959597644247026
rxn00623	0.8436569286055994
rxn00506	0.7206745849228431
rxn00779	0.5957132150199045
rxn13726	0.7302869979922999
rJB00264	0.7302869979922999
rxn10122	0.7302869979922999
rxn00604	0.17700781043562383
rxn10902	0.17700781043562383
rxn00671	0.5730957725035355
rxn01115	0.17135344980653158
rxn00338	0.3276965212009321
rxn00248	0.03366976848813546
rxn05353	0.5075051892060655
rxn05356	0.5075051892060655
rxn05355	0.5075051892060655
rxn05354	0.5075051892060655
rxn05357	0.5075051892060655
rxn05352	0.5075051892060655
rxn05351	0.5075051892060655
rxn05338	0.18888196775671756
rxn00611	0.12838030902543054
rxn00612	0.12838030902543054
rxn05436	0.049784696281048355
rxn05448	0.049784696281048355
rxn05442	0.049784696281048355
rxn05437	0.049784696281048355
rxn05449	0.049784696281048355
rxn05443	0.049784696281048355
rxn05438	0.049784696281048355
rxn05450	0.049784696281048355
rxn05444	0.049784696281048355
rxn05433	0.049784696281048355
rxn05445	0.049784696281048355
rxn05439	0.049784696281048355
rxn05446	0.049784696281048355
rxn05434	0.049784696281048355
rxn05440	0.049784696281048355
rxn05435	0.049784696281048355
rxn05447	0.049784696281048355
rxn05441	0.049784696281048355
rxn05322	0.049784696281048355
rxn05327	0.049784696281048355
rxn05324	0.049784696281048355
rxn13838	0.049784696281048355
rxn05328	0.049784696281048355
rxn05326	0.049784696281048355
rxn13850	0.049784696281048355
rxn08396	0.049784696281048355
rxn05325	0.049784696281048355
rxn05323	0.049784696281048355
rxn05464	0.049784696281048355
rxn02866	0.1671126793347124
rxn05339	0.43343306496495704
rxn05337	0.43343306496495704
rxn13844	0.43343306496495704
rxn05341	0.43343306496495704
rxn05336	0.43343306496495704
rxn05372	0.43343306496495704
rxn05422	0.43343306496495704
rxn05397	0.43343306496495704
rxn05376	0.43343306496495704
rxn05426	0.43343306496495704
rxn05401	0.43343306496495704
rxn05380	0.43343306496495704
rxn05430	0.43343306496495704
rxn05405	0.43343306496495704
rxn05461	0.43343306496495704
rxn07993	0.43343306496495704
rxn05340	0.43343306496495704
rxn05342	0.43343306496495704
rxn05360	0.43343306496495704
rxn05410	0.43343306496495704
rxn05385	0.43343306496495704
rxn05414	0.43343306496495704
rxn05364	0.43343306496495704
rxn05389	0.43343306496495704
rxn05368	0.43343306496495704
rxn05418	0.43343306496495704
rxn05393	0.43343306496495704
rxn00083	0.5518919201444396
rxn11245	0.760820545389398
rxn00781	0.044413053683410725
rxn00199	0.1897301218510814
rxn08398	0.49506559582206255
rxn03532	0.8436569286055994
rxn13839	0.1459088269756165
rxn13790	0.4176008552034988
rxn03897	0.526730015344979
rxn05289	0.4512443009465977
rxn02842	0.5637660774655333
rxn13909	0.5510437660500758
rxn01643	0.18859924972526293
rJB00277	0.2940530754578333
rxn00211	0.4382392714996855
rxn01480	0.22535259381436254
rxn01053	0.5504783299871665
rxn01867	0.7206745849228431
rxn01945	0.49789277613660865
