reaction	linear_coefficient
rxn03253	[0.2565335246231038]
rxn02720	[0.2565335246231038]
rxn00946	[0.2565335246231038]
rxn02679	[0.2565335246231038]
rxn02803	[0.2565335246231038]
rxn03251	[0.2565335246231038]
rxn00872	[0.2565335246231038]
rxn01451	[0.31803291691283414]
rxn03242	[0.31803291691283414]
rxn03239	[0.31803291691283414]
rxn06777	[0.31803291691283414]
rxn03244	[0.31803291691283414]
rxn03249	[0.31803291691283414]
rxn03246	[0.31803291691283414]
rxn02122	[0.21016749064550613]
rxn01387	[0.02277143665271551]
rxn00616	[0.3341322342661666]
rxn00501	[0.004418214869916425]
rxn10125	[np.float64(0.38332474618284756)]
rxn01851	[0.6619143355800169]
rxn13812	[0.5598446635598887]
rxn01297	[0.006672119299382979]
rxn01522	[0.006672119299382979]
rxn00288	[0.20115187292763995]
rxn10126	[0.20115187292763995]
rJB00270	[0.20115187292763995]
rxn06493	[0.6017028886785533]
rxn13808	[0.44103170149229465]
rxn00623	[0.7073144105164147]
rxn00506	[0.21016749064550613]
rxn00779	[0.19696605041577347]
rxn13726	[0.05014027615338081]
rJB00264	[0.05014027615338081]
rxn10122	[0.05014027615338081]
rxn00604	[0.6065326838845532]
rxn10902	[0.6065326838845532]
rxn00671	[0.004418214869916425]
rxn01115	[0.5991269979020202]
rxn00338	[0.5598446635598887]
rxn00248	[0.527324042506157]
rxn05353	[0.159615634156042]
rxn05356	[0.159615634156042]
rxn05355	[0.159615634156042]
rxn05354	[0.159615634156042]
rxn05357	[0.159615634156042]
rxn05352	[0.159615634156042]
rxn05351	[0.159615634156042]
rxn05338	[0.7037725606986815]
rxn00611	[0.6686760488684166]
rxn00612	[0.6686760488684166]
rxn05436	[0.8229075091133422]
rxn05448	[0.8229075091133422]
rxn05442	[0.8229075091133422]
rxn05437	[0.8229075091133422]
rxn05449	[0.8229075091133422]
rxn05443	[0.8229075091133422]
rxn05438	[0.8229075091133422]
rxn05450	[0.8229075091133422]
rxn05444	[0.8229075091133422]
rxn05433	[0.8229075091133422]
rxn05445	[0.8229075091133422]
rxn05439	[0.8229075091133422]
rxn05446	[0.8229075091133422]
rxn05434	[0.8229075091133422]
rxn05440	[0.8229075091133422]
rxn05435	[0.8229075091133422]
rxn05447	[0.8229075091133422]
rxn05441	[0.8229075091133422]
rxn05322	[0.8229075091133422]
rxn05327	[0.8229075091133422]
rxn05324	[0.8229075091133422]
rxn13838	[0.8229075091133422]
rxn05328	[0.8229075091133422]
rxn05326	[0.8229075091133422]
rxn13850	[0.8229075091133422]
rxn08396	[0.8229075091133422]
rxn05325	[0.8229075091133422]
rxn05323	[0.8229075091133422]
rxn05464	[0.8229075091133422]
rxn02866	[0.527324042506157]
rxn05339	[0.6071766565786864]
rxn05337	[0.6071766565786864]
rxn13844	[0.6071766565786864]
rxn05341	[0.6071766565786864]
rxn05336	[0.6071766565786864]
rxn05372	[0.6071766565786864]
rxn05422	[0.6071766565786864]
rxn05397	[0.6071766565786864]
rxn05376	[0.6071766565786864]
rxn05426	[0.6071766565786864]
rxn05401	[0.6071766565786864]
rxn05380	[0.6071766565786864]
rxn05430	[0.6071766565786864]
rxn05405	[0.6071766565786864]
rxn05461	[0.6071766565786864]
rxn07993	[0.6071766565786864]
rxn05340	[0.6071766565786864]
rxn05342	[0.6071766565786864]
rxn05360	[0.6071766565786864]
rxn05410	[0.6071766565786864]
rxn05385	[0.6071766565786864]
rxn05414	[0.6071766565786864]
rxn05364	[0.6071766565786864]
rxn05389	[0.6071766565786864]
rxn05368	[0.6071766565786864]
rxn05418	[0.6071766565786864]
rxn05393	[0.6071766565786864]
rxn00083	[0.12226521789631054]
rxn11245	[np.float64(0.38332474618284756)]
rxn00781	[0.527324042506157]
rxn00199	[0.02277143665271551]
rxn08398	[0.2916300364533687]
rxn03532	[0.7073144105164147]
rxn13839	[0.7375811271406798]
rxn13790	[0.4069011487032297]
rxn03897	[0.4101210121738962]
rxn05289	[0.5688602812777549]
rxn02842	[0.23367249398137163]
rxn13909	[0.15864967511484204]
rxn01643	[0.5334417831004233]
rJB00277	[0.5788418580368211]
rxn00211	[0.5385935646534897]
rxn01480	[0.4004614217618967]
rxn01053	[0.5662843905012218]
rxn01867	[0.039192740353114694]
rxn01945	[0.2298086578165718]
rJB00104	[0.2298086578165718]
rxn21407	[0.004418214869916425]
rxn08975	[0.39047984500283045]
rJB00263	[0.39047984500283045]
rxn00371	[0.11550350460791088]
rxn08094	[np.float64(0.38332474618284756)]
rxn00154	[0.1499560437440425]
rxn00085	[np.float64(0.38332474618284756)]
rxn00159	[0.433304029162695]
rxn00161	[0.433304029162695]
rxn10062	[0.1232311769375105]
rxn13898	[0.6432391274501513]
rxn01740	[np.float64(0.38332474618284756)]
rxn00962	[0.11550350460791088]
rxn00979	[0.7005526972280149]
rxn00509	[0.7005526972280149]
rxn01101	[0.6767257075450828]
rxn00686	[0.7008746835750815]
rxn00931	[0.7115002330282811]
rxn04954	[np.float64(0.38332474618284756)]
rxn01802	[0.7424109223466796]
rxn01331	[0.41720471180936247]
rxn03951	[0.6458150182266844]
rxn02465	[0.5592006908657554]
rxn00183	[0.23367249398137163]
rxn13895	[0.23367249398137163]
rxn01452	[0.4062571760090964]
rxn02270	[0.2565335246231038]
rxn00508	[np.float64(0.38332474618284756)]
rxn00500	[0.633257550691085]
rxn02939	[0.20694762717483967]
rxn13682	[0.6982987927985485]
rxn01241	[0.7395130452230797]
rxn02933	[np.float64(0.38332474618284756)]
rxn00907	[0.3257605892424337]
rxn00992	[0.5653184314600217]
rxn00086	[0.3322003161837668]
rxn01475	[0.5775539126485544]
rxn13834	[np.float64(0.38332474618284756)]
rxn00629	[0.5350517148357566]
rxn00546	[0.5350517148357566]
rxn42682	[0.633257550691085]
rxn13925	[0.7131101647636144]
rxn02774	[0.6329355643440183]
rxn00198	[0.60299083406682]
rxn03492	[0.8032663419422766]
rxn02285	[0.4339480018568283]
rxn00077	[0.27134489658816974]
rxn01268	[0.44103170149229465]
rxn13705	[np.float64(0.38332474618284756)]
rxn09896	[0.159615634156042]
rxn01045	[0.159615634156042]
rxn00935	[0.30354353129483486]
