reaction	linear_coefficient
rxn03253	[0.10723780032695647]
rxn02720	[0.10723780032695647]
rxn00946	[0.10723780032695647]
rxn02679	[0.10723780032695647]
rxn02803	[0.10723780032695647]
rxn03251	[0.10723780032695647]
rxn00872	[0.10723780032695647]
rxn01451	[0.24054618308356476]
rxn03242	[0.24054618308356476]
rxn03239	[0.24054618308356476]
rxn06777	[0.24054618308356476]
rxn03244	[0.24054618308356476]
rxn03249	[0.24054618308356476]
rxn03246	[0.24054618308356476]
rxn02122	[0.010999128283415704]
rxn01387	[np.float64(0.34289482409587485)]
rxn00616	[0.18636737511831222]
rxn00501	[np.float64(0.34289482409587485)]
rxn10125	[0.24054618308356476]
rxn01851	[0.010999128283415704]
rxn13812	[0.49266774120256906]
rxn01297	[0.17210979407482468]
rxn01522	[0.17210979407482468]
rxn00288	[0.3386858659329039]
rxn10126	[0.3386858659329039]
rJB00270	[0.3386858659329039]
rxn06493	[0.15238680696466697]
rxn13808	[0.6176592016838097]
rxn00623	[0.5252225512518657]
rxn00506	[0.010999128283415704]
rxn00779	[np.float64(0.34289482409587485)]
rxn13726	[0.2400709303821152]
rJB00264	[0.2400709303821152]
rxn10122	[0.2400709303821152]
rxn00604	[np.float64(0.34289482409587485)]
rxn10902	[np.float64(0.34289482409587485)]
rxn00671	[np.float64(0.34289482409587485)]
rxn01115	[0.4957568837619914]
rxn00338	[0.49266774120256906]
rxn00248	[0.674451899507035]
rxn05353	[0.10272289966318542]
rxn05356	[0.10272289966318542]
rxn05355	[0.10272289966318542]
rxn05354	[0.10272289966318542]
rxn05357	[0.10272289966318542]
rxn05352	[0.10272289966318542]
rxn05351	[0.10272289966318542]
rxn05338	[0.6186097070867088]
rxn00611	[0.5349652316315822]
rxn00612	[0.5349652316315822]
rxn05436	[0.563718020069282]
rxn05448	[0.563718020069282]
rxn05442	[0.563718020069282]
rxn05437	[0.563718020069282]
rxn05449	[0.563718020069282]
rxn05443	[0.563718020069282]
rxn05438	[0.563718020069282]
rxn05450	[0.563718020069282]
rxn05444	[0.563718020069282]
rxn05433	[0.563718020069282]
rxn05445	[0.563718020069282]
rxn05439	[0.563718020069282]
rxn05446	[0.563718020069282]
rxn05434	[0.563718020069282]
rxn05440	[0.563718020069282]
rxn05435	[0.563718020069282]
rxn05447	[0.563718020069282]
rxn05441	[0.563718020069282]
rxn05322	[0.563718020069282]
rxn05327	[0.563718020069282]
rxn05324	[0.563718020069282]
rxn13838	[0.563718020069282]
rxn05328	[0.563718020069282]
rxn05326	[0.563718020069282]
rxn13850	[0.563718020069282]
rxn08396	[0.563718020069282]
rxn05325	[0.563718020069282]
rxn05323	[0.563718020069282]
rxn05464	[0.563718020069282]
rxn02866	[np.float64(0.34289482409587485)]
rxn05339	[0.49266774120256906]
rxn05337	[0.49266774120256906]
rxn13844	[0.49266774120256906]
rxn05341	[0.49266774120256906]
rxn05336	[0.49266774120256906]
rxn05372	[0.49266774120256906]
rxn05422	[0.49266774120256906]
rxn05397	[0.49266774120256906]
rxn05376	[0.49266774120256906]
rxn05426	[0.49266774120256906]
rxn05401	[0.49266774120256906]
rxn05380	[0.49266774120256906]
rxn05430	[0.49266774120256906]
rxn05405	[0.49266774120256906]
rxn05461	[0.49266774120256906]
rxn07993	[0.49266774120256906]
rxn05340	[0.49266774120256906]
rxn05342	[0.49266774120256906]
rxn05360	[0.49266774120256906]
rxn05410	[0.49266774120256906]
rxn05385	[0.49266774120256906]
rxn05414	[0.49266774120256906]
rxn05364	[0.49266774120256906]
rxn05389	[0.49266774120256906]
rxn05368	[0.49266774120256906]
rxn05418	[0.49266774120256906]
rxn05393	[0.49266774120256906]
rxn00083	[0.16997115691830156]
rxn11245	[0.6083917740055428]
rxn00781	[0.49266774120256906]
rxn00199	[np.float64(0.34289482409587485)]
rxn08398	[0.1302875563472613]
rxn03532	[0.5252225512518657]
rxn13839	[0.5568268558982629]
rxn13790	[0.034286510654445324]
rxn03897	[0.20680324128064434]
rxn05289	[np.float64(0.34289482409587485)]
rxn02842	[0.10153476790956145]
rxn13909	[0.09939613075303833]
rxn01643	[0.49171723579966986]
rJB00277	[0.4798359182634303]
rxn00211	[0.530450330967811]
rxn01480	[0.4957568837619914]
rxn01053	[0.010999128283415704]
rxn01867	[0.010999128283415704]
rxn01945	[np.float64(0.34289482409587485)]
rJB00104	[np.float64(0.34289482409587485)]
rxn21407	[0.08727718686607394]
rxn08975	[np.float64(0.34289482409587485)]
rJB00263	[np.float64(0.34289482409587485)]
rxn00371	[0.16165423464293385]
rxn08094	[0.15808983938206198]
rxn00154	[0.09250496658201936]
rxn00085	[np.float64(0.34289482409587485)]
rxn00159	[np.float64(0.34289482409587485)]
rxn00161	[np.float64(0.34289482409587485)]
rxn10062	[0.008385238425442995]
rxn13898	[0.618372080735984]
rxn01740	[0.2721504877299621]
rxn00962	[0.6404713313533896]
rxn00979	[0.7621360229244833]
rxn00509	[0.7621360229244833]
rxn01101	[0.5142917391185251]
rxn00686	[0.530450330967811]
rxn00931	[0.5494604390257943]
rxn04954	[0.6549665387476021]
rxn01802	[0.04759358629503367]
rxn01331	[0.2932992329444686]
rxn03951	[0.3560325895358137]
rxn02465	[0.5218957823417185]
rxn00183	[0.2721504877299621]
rxn13895	[0.2721504877299621]
rxn01452	[0.34914142536479476]
rxn02270	[0.10723780032695647]
rxn00508	[0.6521150225389046]
rxn00500	[0.49171723579966986]
rxn02939	[0.7243534331592414]
rxn13682	[np.float64(0.34289482409587485)]
rxn01241	[0.5573021085997124]
rxn02933	[0.3020914079212859]
rxn00907	[0.15238680696466697]
rxn00992	[np.float64(0.34289482409587485)]
rxn00086	[0.28640806877344965]
rxn01475	[0.35104243617059305]
rxn13834	[0.2932992329444686]
rxn00629	[0.47912303921125593]
rxn00546	[0.47912303921125593]
rxn42682	[0.7243534331592414]
rxn13925	[0.6521150225389046]
rxn02774	[0.586530149738862]
rxn00198	[np.float64(0.34289482409587485)]
rxn03492	[0.5789261065156684]
rxn02285	[0.6197978388403328]
rxn00077	[0.16783251976177843]
rxn01268	[0.4803111709648799]
rxn13705	[0.1630799927472826]
rxn09896	[0.6361940570403435]
rxn01045	[0.6361940570403435]
rxn00935	[0.14977291710669421]
rxn00638	[0.6473624955244087]
rxn00763	[0.539717758646078]
rxn03958	[0.5449455383620234]
rxn13906	[0.4798359182634303]
rxn01302	[0.552311955234492]
rxn00834	[0.5494604390257943]
rxn05293	[np.float64(0.34289482409587485)]
rxn07967	[np.float64(0.34289482409587485)]
rxn00105	[0.5542129660402902]
rxn02373	[0.5268859357069391]
rxn02474	[0.5470841755185464]
rxn03055	[np.float64(0.34289482409587485)]
rxn09953	[0.1768623210893205]
rxn02112	[0.8500577726926563]
rxn02632	[0.8500577726926563]
rxn01686	[0.8500577726926563]
rxn13787	[0.7329079817853338]
rxn13896	[0.7329079817853338]
rxn01790	[0.2847446843183761]
rxn00859	[0.5176185080286723]
rxn08352	[0.6357188043388938]
rxn08756	[0.6357188043388938]
rxn00122	[0.7376605087998296]
rxn00184	[0.5767874693591455]
rxn01011	[np.float64(0.34289482409587485)]
rxn06591	[0.3562702158865385]
rxn02186	[0.1927832865878816]
rxn08764	[0.1927832865878816]
rxn02929	[0.530450330967811]
rxn00190	[0.627639508414251]
rxn00138	[0.627639508414251]
rxn08977	[np.float64(0.34289482409587485)]
rxn36840	[0.14098074212987693]
rxn02003	[np.float64(0.34289482409587485)]
rxn08291	[0.33417096526913287]
rxn13795	[0.010999128283415704]
rxn13788	[0.7376605087998296]
rxn00429	[np.float64(0.34289482409587485)]
rxn02440	[0.8300971592317737]
rxn00868	[0.36007223749813516]
rxn10074	[0.36007223749813516]
rxn01729	[0.36007223749813516]
rxn01068	[0.36007223749813516]
rxn01314	[0.36007223749813516]
rxn05570	[0.15238680696466697]
rxn05159	[0.15238680696466697]
rxn05180	[0.15238680696466697]
rxn10073	[0.15238680696466697]
rxn08087	[0.25005123711255645]
rxn08086	[0.25005123711255645]
rxn08089	[0.25005123711255645]
rxn08088	[0.25005123711255645]
rxn08085	[0.25005123711255645]
rxn08083	[0.25005123711255645]
rxn08084	[0.25005123711255645]
rxn10215	[0.25005123711255645]
rxn10218	[0.25005123711255645]
rxn10214	[0.25005123711255645]
rxn10219	[0.25005123711255645]
rxn10217	[0.25005123711255645]
rxn10216	[0.25005123711255645]
rxn10212	[0.25005123711255645]
rxn10211	[0.25005123711255645]
rxn10213	[0.25005123711255645]
rxn05175	[0.12410927122841671]
rxn03243	[0.32894318555318736]
rxn03248	[0.32894318555318736]
rxn06510	[0.32894318555318736]
rxn02804	[0.32894318555318736]
rxn02680	[0.32894318555318736]
rxn05619	[0.3505671834691435]
rxn05163	[0.12410927122841671]
rxn10158	[0.16783251976177843]
rxn05603	[0.16783251976177843]
rxn05154	[0.14668377454727197]
rxn00727	[np.float64(0.34289482409587485)]
rxn05161	[0.11935674421392087]
rxn05168	[0.11935674421392087]
rxn05155	[0.2308035027038483]
rxn05201	[0.03761327956459241]
rxn02831	[0.11769335975884732]
rxn13885	[0.05638576127185098]
rxn05512	[0.05234611330952951]
rxn08669	[0.33488384432130724]
rxn05156	[0.14668377454727197]
rxn05164	[0.14668377454727197]
rxn13828	[np.float64(0.34289482409587485)]
rxn13829	[np.float64(0.34289482409587485)]
rxn05247	[0.14240650023422569]
rxn05248	[0.14240650023422569]
rxn05249	[0.14240650023422569]
rxn05250	[0.14240650023422569]
rxn05251	[0.14240650023422569]
rxn05252	[0.14240650023422569]
rxn09450	[0.14240650023422569]
rxn09449	[0.14240650023422569]
rxn09448	[0.14240650023422569]
rxn05736	[0.14240650023422569]
rxn00947	[0.14240650023422569]
rxn13892	[0.16403049815018175]
rxn08002	[np.float64(0.34289482409587485)]
rxn05349	[np.float64(0.34289482409587485)]
rxn00187	[0.2932992329444686]
rxn05331	[np.float64(0.34289482409587485)]
rxn05333	[np.float64(0.34289482409587485)]
rxn10221	[0.5361533633852061]
rxn10224	[0.5361533633852061]
rxn08306	[0.5361533633852061]
rxn08307	[0.5361533633852061]
rxn08308	[0.5361533633852061]
rxn08310	[0.5361533633852061]
rxn08311	[0.5361533633852061]
rxn08312	[0.5361533633852061]
rxn10220	[0.5361533633852061]
rxn10225	[0.5361533633852061]
rxn10223	[0.5361533633852061]
rxn10222	[0.5361533633852061]
rxn10481	[np.float64(0.34289482409587485)]
rxn10344	[np.float64(0.34289482409587485)]
rxn10343	[np.float64(0.34289482409587485)]
rxn01629	[np.float64(0.34289482409587485)]
rxn00986	[np.float64(0.34289482409587485)]
rxn00675	[np.float64(0.34289482409587485)]
rxn05206	[0.04759358629503367]
rxn02911	[0.24054618308356476]
rxn03240	[0.24054618308356476]
rxn03241	[0.24054618308356476]
rxn03245	[0.24054618308356476]
rxn03250	[0.24054618308356476]
