reaction	linear_coefficient
rxn03253	0.5037763527998981
rxn02720	0.5037763527998981
rxn00946	0.5037763527998981
rxn02679	0.5037763527998981
rxn02803	0.5037763527998981
rxn03251	0.5037763527998981
rxn00872	0.5037763527998981
rxn01451	0.7171991878966191
rxn03242	0.7171991878966191
rxn03239	0.7171991878966191
rxn06777	0.7171991878966191
rxn03244	0.7171991878966191
rxn03249	0.7171991878966191
rxn03246	0.7171991878966191
rxn02122	0.20199770842115275
rxn01387	0.6135988903934003
rxn00616	0.5899543780503234
rxn00501	0.771954900691113
rxn10125	0.6042655302579752
rxn01851	0.20199770842115275
rxn13812	0.2766645895045537
rxn01297	0.65684345902087
rxn01522	0.65684345902087
rxn00288	0.6944880115670846
rxn10126	0.6944880115670846
rJB00270	0.6944880115670846
rxn06493	0.2284422288048572
rxn13808	0.31586470207333905
rxn00623	0.5603987376214771
rxn00506	0.5933766100999791
rxn00779	0.5796876819013557
rxn13726	0.7968438610522467
rJB00264	0.7968438610522467
rxn10122	0.7968438610522467
rxn00604	0.40359828734633524
rxn10902	0.40359828734633524
rxn00671	0.771954900691113
rxn01115	0.354131478628582
rxn00338	0.2766645895045537
rxn00248	0.3062202299333998
rxn05353	0.684221315418117
rxn05356	0.684221315418117
rxn05355	0.684221315418117
rxn05354	0.684221315418117
rxn05357	0.684221315418117
rxn05352	0.684221315418117
rxn05351	0.684221315418117
rxn05338	0.1298197233738652
rxn00611	0.2026199324301811
rxn00612	0.2026199324301811
rxn05436	0.14288642756346034
rxn05448	0.14288642756346034
rxn05442	0.14288642756346034
rxn05437	0.14288642756346034
rxn05449	0.14288642756346034
rxn05443	0.14288642756346034
rxn05438	0.14288642756346034
rxn05450	0.14288642756346034
rxn05444	0.14288642756346034
rxn05433	0.14288642756346034
rxn05445	0.14288642756346034
rxn05439	0.14288642756346034
rxn05446	0.14288642756346034
rxn05434	0.14288642756346034
rxn05440	0.14288642756346034
rxn05435	0.14288642756346034
rxn05447	0.14288642756346034
rxn05441	0.14288642756346034
rxn05322	0.14288642756346034
rxn05327	0.14288642756346034
rxn05324	0.14288642756346034
rxn13838	0.14288642756346034
rxn05328	0.14288642756346034
rxn05326	0.14288642756346034
rxn13850	0.14288642756346034
rxn08396	0.14288642756346034
rxn05325	0.14288642756346034
rxn05323	0.14288642756346034
rxn05464	0.14288642756346034
rxn02866	0.4950652166735013
rxn05339	0.32550917421327846
rxn05337	0.32550917421327846
rxn13844	0.32550917421327846
rxn05341	0.32550917421327846
rxn05336	0.32550917421327846
rxn05372	0.32550917421327846
rxn05422	0.32550917421327846
rxn05397	0.32550917421327846
rxn05376	0.32550917421327846
rxn05426	0.32550917421327846
rxn05401	0.32550917421327846
rxn05380	0.32550917421327846
rxn05430	0.32550917421327846
rxn05405	0.32550917421327846
rxn05461	0.32550917421327846
rxn07993	0.32550917421327846
rxn05340	0.32550917421327846
rxn05342	0.32550917421327846
rxn05360	0.32550917421327846
rxn05410	0.32550917421327846
rxn05385	0.32550917421327846
rxn05414	0.32550917421327846
rxn05364	0.32550917421327846
rxn05389	0.32550917421327846
rxn05368	0.32550917421327846
rxn05418	0.32550917421327846
rxn05393	0.32550917421327846
rxn00083	0.4309761437435822
rxn11245	0.5498209294679953
rxn00781	0.4266205756803838
rxn00199	0.6135988903934003
rxn08398	0.6742657312736636
rxn03532	0.5603987376214771
rxn13839	0.11955302722489755
rxn13790	0.6387989627590481
rxn03897	0.6241766985468821
rxn05289	0.30933134997854156
rxn02842	0.5924432740864367
rxn13909	0.46426512822659843
rxn01643	0.3127535820281975
rJB00277	0.45244287205505995
rxn00211	0.5143541609533799
rxn01480	0.3774648789671449
rxn01053	0.27230902144135527
rxn01867	0.9411998311468218
rxn01945	0.42599835167135547
rJB00104	0.42599835167135547
rxn21407	0.6397322987725905
rxn08975	0.4987985607276713
rJB00263	0.4987985607276713
rxn00371	0.5535542735221654
rxn08094	0.5868432580051814
rxn00154	0.8326217415713763
rxn00085	0.36595373480012056
rxn00159	0.4070205193959911
rxn00161	0.4070205193959911
rxn10062	0.7987105330793317
rxn13898	0.24182004499896656
rxn01740	0.47515404838459446
rxn00962	0.11955302722489755
rxn00979	0.09964185893599065
rxn00509	0.09964185893599065
rxn01101	0.32550917421327846
rxn00686	0.24026448497639571
rxn00931	0.10368631499467487
rxn04954	0.7343103481448985
rxn01802	0.11519745916169918
rxn01331	0.44373173592866316
rxn03951	0.35008702256989793
rxn02465	0.25706453322016093
rxn00183	0.569420985752388
rxn13895	0.569420985752388
rxn01452	0.3718648628858898
rxn02270	0.48044295246133534
rxn00508	0.5025319047818414
rxn00500	0.3684426308362339
rxn02939	0.5572876175763354
rxn13682	0.2835090536038654
rxn01241	0.18084209211418917
rxn02933	0.47359848836202356
rxn00907	0.5681765377343313
rxn00992	0.27168679743232693
rxn00086	0.589332154041295
rxn01475	0.33110919029453345
rxn13834	0.6023988582308901
rxn00629	0.43844283185192223
rxn00546	0.43844283185192223
rxn42682	0.16933094794716483
rxn13925	0.12173081125649675
rxn02774	0.27635347750003947
rxn00198	0.2978202058115172
rxn03492	0.020930521793905518
rxn02285	0.43284281577066724
rxn00077	0.6313322746507081
rxn01268	0.33702031838030266
rxn13705	0.37155375088137566
rxn09896	0.05328617026337926
rxn01045	0.05328617026337926
rxn00935	0.5943099461135217
rxn00638	0.5143541609533799
rxn00763	0.27230902144135527
rxn03958	0.11239745112107163
rxn13906	0.3703093028633189
rxn01302	0.13417529143706358
rxn00834	0.7532881804202628
rxn05293	0.2766645895045537
rxn07967	0.44559840795574823
rxn00105	0.2138199645926912
rxn02373	0.3049757819153432
rxn02474	0.2527089651569625
rxn03055	0.35008702256989793
rxn09953	0.6275989305965378
rxn02112	0.0548417302859501
rxn02632	0.0548417302859501
rxn01686	0.0548417302859501
rxn13787	0.20884217252046447
rxn13896	0.20884217252046447
rxn01790	0.6338211706868213
rxn00859	0.23622002891771152
rxn08352	0.060130634362691
rxn08756	0.060130634362691
rxn00122	0.5034652407953839
rxn00184	0.16964205995167897
rxn01011	0.29595353378443223
rxn06591	0.06977510650263029
rxn02186	0.3451092304976711
rxn08764	0.3451092304976711
rxn02929	0.26297566130593014
rxn00190	0.8251550534630361
rxn00138	0.8251550534630361
