reaction	linear_coefficient
rxn03253	[0.10985649685673075]
rxn02720	[0.10985649685673075]
rxn00946	[0.10985649685673075]
rxn02679	[0.10985649685673075]
rxn02803	[0.10985649685673075]
rxn03251	[0.10985649685673075]
rxn00872	[0.10985649685673075]
rxn01451	[0.20026169639471905]
rxn03242	[0.20026169639471905]
rxn03239	[0.20026169639471905]
rxn06777	[0.20026169639471905]
rxn03244	[0.20026169639471905]
rxn03249	[0.20026169639471905]
rxn03246	[0.20026169639471905]
rxn02122	[0.08174975212857413]
rxn01387	[np.float64(0.41102492161742427)]
rxn00616	[0.20113097715950737]
rxn00501	[0.12608307113277992]
rxn10125	[0.33615925595663093]
rxn01851	[0.08174975212857413]
rxn13812	[0.5946254033537]
rxn01297	[0.264008952479198]
rxn01522	[0.264008952479198]
rxn00288	[np.float64(0.41102492161742427)]
rxn10126	[np.float64(0.41102492161742427)]
rJB00270	[np.float64(0.41102492161742427)]
rxn06493	[0.1921484092566944]
rxn13808	[0.29153617669749565]
rxn00623	[0.6398280031226942]
rxn00506	[0.08174975212857413]
rxn00779	[np.float64(0.41102492161742427)]
rxn13726	[0.2544468640665261]
rJB00264	[0.2544468640665261]
rxn10122	[0.2544468640665261]
rxn00604	[np.float64(0.41102492161742427)]
rxn10902	[np.float64(0.41102492161742427)]
rxn00671	[0.12608307113277992]
rxn01115	[0.6296863942001635]
rxn00338	[0.5946254033537]
rxn00248	[0.8409216200437322]
rxn05353	[0.1388325223496757]
rxn05356	[0.1388325223496757]
rxn05355	[0.1388325223496757]
rxn05354	[0.1388325223496757]
rxn05357	[0.1388325223496757]
rxn05352	[0.1388325223496757]
rxn05351	[0.1388325223496757]
rxn05338	[0.7105295053254798]
rxn00611	[0.6331635172593167]
rxn00612	[0.6331635172593167]
rxn05436	[0.6867691644212649]
rxn05448	[0.6867691644212649]
rxn05442	[0.6867691644212649]
rxn05437	[0.6867691644212649]
rxn05449	[0.6867691644212649]
rxn05443	[0.6867691644212649]
rxn05438	[0.6867691644212649]
rxn05450	[0.6867691644212649]
rxn05444	[0.6867691644212649]
rxn05433	[0.6867691644212649]
rxn05445	[0.6867691644212649]
rxn05439	[0.6867691644212649]
rxn05446	[0.6867691644212649]
rxn05434	[0.6867691644212649]
rxn05440	[0.6867691644212649]
rxn05435	[0.6867691644212649]
rxn05447	[0.6867691644212649]
rxn05441	[0.6867691644212649]
rxn05322	[0.6867691644212649]
rxn05327	[0.6867691644212649]
rxn05324	[0.6867691644212649]
rxn13838	[0.6867691644212649]
rxn05328	[0.6867691644212649]
rxn05326	[0.6867691644212649]
rxn13850	[0.6867691644212649]
rxn08396	[0.6867691644212649]
