reaction	linear_coefficient
rxn03253	[0.3293263386092582]
rxn02720	[0.3293263386092582]
rxn00946	[0.3293263386092582]
rxn02679	[0.3293263386092582]
rxn02803	[0.3293263386092582]
rxn03251	[0.3293263386092582]
rxn00872	[0.3293263386092582]
rxn01451	[np.float64(0.3951672267702929)]
rxn03242	[np.float64(0.3951672267702929)]
rxn03239	[np.float64(0.3951672267702929)]
rxn06777	[np.float64(0.3951672267702929)]
rxn03244	[np.float64(0.3951672267702929)]
rxn03249	[np.float64(0.3951672267702929)]
rxn03246	[np.float64(0.3951672267702929)]
rxn02122	[0.011186268462367786]
rxn01387	[0.2863344372380567]
rxn00616	[0.17742162043101317]
rxn00501	[0.07209146207156977]
rxn10125	[np.float64(0.3951672267702929)]
rxn01851	[0.011186268462367786]
rxn13812	[0.5672148595299059]
rxn01297	[0.06707574024492961]
rxn01522	[0.06707574024492961]
rxn00288	[0.29457455166753704]
rxn10126	[0.29457455166753704]
rJB00270	[0.29457455166753704]
rxn06493	[0.08248117156961011]
rxn13808	[0.44898713075910207]
rxn00623	[0.19712624189281386]
rxn00506	[0.011186268462367786]
rxn00779	[0.5270890849167846]
rxn13726	[0.3698103790671395]
rJB00264	[0.3698103790671395]
rxn10122	[0.3698103790671395]
rxn00604	[0.6481829404456685]
rxn10902	[0.6481829404456685]
rxn00671	[0.07209146207156977]
rxn01115	[0.6825764615426297]
rxn00338	[0.5672148595299059]
rxn00248	[0.6460333453771084]
rxn05353	[0.11042590746089101]
rxn05356	[0.11042590746089101]
rxn05355	[0.11042590746089101]
rxn05354	[0.11042590746089101]
rxn05357	[0.11042590746089101]
rxn05352	[0.11042590746089101]
rxn05351	[0.11042590746089101]
rxn05338	[0.7635445424583922]
rxn00611	[0.7058637414520303]
rxn00612	[0.7058637414520303]
rxn05436	[0.7162534509500706]
rxn05448	[0.7162534509500706]
rxn05442	[0.7162534509500706]
rxn05437	[0.7162534509500706]
rxn05449	[0.7162534509500706]
rxn05443	[0.7162534509500706]
rxn05438	[0.7162534509500706]
rxn05450	[0.7162534509500706]
rxn05444	[0.7162534509500706]
rxn05433	[0.7162534509500706]
rxn05445	[0.7162534509500706]
rxn05439	[0.7162534509500706]
rxn05446	[0.7162534509500706]
rxn05434	[0.7162534509500706]
rxn05440	[0.7162534509500706]
rxn05435	[0.7162534509500706]
rxn05447	[0.7162534509500706]
