reaction	linear_coefficient
rxn03253	[np.float64(0.37195024685380595)]
rxn02720	[np.float64(0.37195024685380595)]
rxn00946	[np.float64(0.37195024685380595)]
rxn02679	[np.float64(0.37195024685380595)]
rxn02803	[np.float64(0.37195024685380595)]
rxn03251	[np.float64(0.37195024685380595)]
rxn00872	[np.float64(0.37195024685380595)]
rxn01451	[0.24631914123567453]
rxn03242	[0.24631914123567453]
rxn03239	[0.24631914123567453]
rxn06777	[0.24631914123567453]
rxn03244	[0.24631914123567453]
rxn03249	[0.24631914123567453]
rxn03246	[0.24631914123567453]
rxn02122	[0.05901033166467424]
rxn01387	[0.3414554195146161]
rxn00616	[0.24631914123567453]
rxn00501	[0.3082614532615275]
rxn10125	[0.2910717207376065]
rxn01851	[0.6505742302465043]
rxn13812	[0.5770733049718079]
rxn01297	[0.2436517689474799]
rxn01522	[0.2436517689474799]
rxn00288	[0.3912463688942491]
rxn10126	[0.3912463688942491]
rJB00270	[0.3912463688942491]
rxn06493	[0.6120455194170263]
rxn13808	[0.5160201170420199]
rxn00623	[np.float64(0.37195024685380595)]
rxn00506	[0.3144853219339816]
rxn00779	[np.float64(0.37195024685380595)]
rxn13726	[0.08183118346367269]
rJB00264	[0.08183118346367269]
rxn10122	[0.08183118346367269]
rxn00604	[0.5219476110157857]
rxn10902	[0.5219476110157857]
rxn00671	[0.3082614532615275]
rxn01115	[0.5489177085964202]
rxn00338	[0.5770733049718079]
rxn00248	[0.5966340350852353]
rxn05353	[0.12124901838921548]
rxn05356	[0.12124901838921548]
rxn05355	[0.12124901838921548]
rxn05354	[0.12124901838921548]
rxn05357	[0.12124901838921548]
rxn05352	[0.12124901838921548]
rxn05351	[0.12124901838921548]
rxn05338	[0.6535379772333872]
rxn00611	[0.6505742302465043]
rxn00612	[0.6505742302465043]
rxn05436	[0.6591690965084648]
rxn05448	[0.6591690965084648]
rxn05442	[0.6591690965084648]
rxn05437	[0.6591690965084648]
rxn05449	[0.6591690965084648]
rxn05443	[0.6591690965084648]
rxn05438	[0.6591690965084648]
rxn05450	[0.6591690965084648]
rxn05444	[0.6591690965084648]
rxn05433	[0.6591690965084648]
rxn05445	[0.6591690965084648]
rxn05439	[0.6591690965084648]
rxn05446	[0.6591690965084648]
rxn05434	[0.6591690965084648]
rxn05440	[0.6591690965084648]
rxn05435	[0.6591690965084648]
rxn05447	[0.6591690965084648]
rxn05441	[0.6591690965084648]
rxn05322	[0.6591690965084648]
rxn05327	[0.6591690965084648]
rxn05324	[0.6591690965084648]
rxn13838	[0.6591690965084648]
rxn05328	[0.6591690965084648]
rxn05326	[0.6591690965084648]
rxn13850	[0.6591690965084648]
rxn08396	[0.6591690965084648]
rxn05325	[0.6591690965084648]
rxn05323	[0.6591690965084648]
rxn05464	[0.6591690965084648]
rxn02866	[0.40221223274571594]
rxn05339	[0.55069595678855]
rxn05337	[0.55069595678855]
rxn13844	[0.55069595678855]
rxn05341	[0.55069595678855]
rxn05336	[0.55069595678855]
rxn05372	[0.55069595678855]
rxn05422	[0.55069595678855]
rxn05397	[0.55069595678855]
rxn05376	[0.55069595678855]
rxn05426	[0.55069595678855]
rxn05401	[0.55069595678855]
rxn05380	[0.55069595678855]
rxn05430	[0.55069595678855]
rxn05405	[0.55069595678855]
rxn05461	[0.55069595678855]
rxn07993	[0.55069595678855]
rxn05340	[0.55069595678855]
rxn05342	[0.55069595678855]
rxn05360	[0.55069595678855]
rxn05410	[0.55069595678855]
rxn05385	[0.55069595678855]
rxn05414	[0.55069595678855]
rxn05364	[0.55069595678855]
rxn05389	[0.55069595678855]
rxn05368	[0.55069595678855]
rxn05418	[0.55069595678855]
rxn05393	[0.55069595678855]
rxn00083	[0.4431119411647002]
rxn11245	[np.float64(0.37195024685380595)]
rxn00781	[0.4434083158633884]
rxn00199	[0.3414554195146161]
rxn08398	[0.1594813545200051]
rxn03532	[np.float64(0.37195024685380595)]
rxn13839	[0.6704313350586197]
rxn13790	[0.3290076821697079]
rxn03897	[0.3094469520562807]
rxn05289	[0.5755914314783664]
rxn02842	[np.float64(0.37195024685380595)]
rxn13909	[0.24572639183829795]
rxn01643	[0.5921884146049109]
rJB00277	[0.5311352266751227]
rxn00211	[0.3782058821519643]
rxn01480	[0.5489177085964202]
rxn01053	[0.5904101664127811]
rxn01867	[0.01959249673913145]
rxn01945	[0.429775079723727]
rJB00104	[0.429775079723727]
rxn21407	[0.32811855807364304]
rxn08975	[np.float64(0.37195024685380595)]
rJB00263	[np.float64(0.37195024685380595)]
rxn00371	[np.float64(0.37195024685380595)]
rxn08094	[0.3144853219339816]
rxn00154	[0.032929358180104576]
rxn00085	[0.5177983652341496]
rxn00159	[0.4434083158633884]
rxn00161	[0.4434083158633884]
rxn10062	[0.10643028345480089]
rxn13898	[0.6280497531461943]
rxn01740	[np.float64(0.37195024685380595)]
rxn00962	[0.6404974904911024]
rxn00979	[0.7338555205779143]
rxn00509	[0.7338555205779143]
rxn01101	[0.5770733049718079]
rxn00686	[0.6144165170065327]
rxn00931	[0.6404974904911024]
rxn04954	[0.08775867743743852]
rxn01802	[0.18556232800457476]
rxn01331	[0.12954750995248762]
rxn03951	[0.5631436941334583]
rxn02465	[0.6158983904999742]
rxn00183	[0.2869224749559705]
rxn13895	[0.2869224749559705]
rxn01452	[0.5628473194347701]
rxn02270	[0.39183911829162577]
rxn00508	[np.float64(0.37195024685380595)]
rxn00500	[0.5551415772688744]
rxn02939	[0.24128077135797357]
rxn13682	[0.5681820640111592]
rxn01241	[0.643164862779297]
rxn02933	[np.float64(0.37195024685380595)]
rxn00907	[0.24276264485141502]
rxn00992	[0.5628473194347701]
rxn00086	[0.3233765628946304]
rxn01475	[0.5219476110157857]
rxn13834	[0.27417836291237396]
rxn00629	[0.4214765881604549]
rxn00546	[0.4214765881604549]
rxn42682	[0.6582799724123999]
rxn13925	[0.6825826977048398]
rxn02774	[0.5761841808757432]
rxn00198	[0.5741095579849251]
rxn03492	[0.21994179305241657]
rxn02285	[0.40725060262341684]
rxn00077	[0.27002911713073785]
rxn01268	[0.5702566869019773]
rxn13705	[0.5157237423433316]
rxn09896	[0.7305953988923429]
rxn01045	[0.7305953988923429]
rxn00935	[0.32663668458020156]
rxn00638	[0.3782058821519643]
rxn00763	[0.5904101664127811]
rxn03958	[0.643164862779297]
rxn13906	[0.5068325013826829]
rxn01302	[0.671616833853373]
rxn00834	[0.22053454244979315]
rxn05293	[0.5726276844914836]
rxn07967	[0.5148346182472667]
rxn00105	[0.5904101664127811]
rxn02373	[0.5720349350941071]
rxn02474	[0.5569198254610042]
rxn03055	[0.5684784387098475]
rxn09953	[0.21994179305241657]
rxn02112	[0.7874993410404949]
rxn02632	[0.7874993410404949]
rxn01686	[0.7874993410404949]
rxn13787	[0.6286425025435707]
rxn13896	[0.6286425025435707]
rxn01790	[0.2898862219428534]
rxn00859	[0.6200476362816103]
rxn08352	[0.29966658699956705]
rxn08756	[0.29966658699956705]
rxn00122	[np.float64(0.37195024685380595)]
rxn00184	[0.671616833853373]
rxn01011	[0.5444720881160958]
rxn06591	[0.7305953988923429]
rxn02186	[0.5462503363082256]
rxn08764	[0.5462503363082256]
rxn02929	[0.5904101664127811]
rxn00190	[0.060492205158115694]
rxn00138	[0.060492205158115694]
rxn08977	[np.float64(0.37195024685380595)]
rxn36840	[np.float64(0.37195024685380595)]
rxn02003	[np.float64(0.37195024685380595)]
rxn08291	[0.4161418435840656]
rxn13795	[0.6505742302465043]
rxn13788	[0.01959249673913145]
rxn00429	[0.5166128664393964]
rxn02440	[0.5071288760813711]
rxn00868	[0.4434083158633884]
rxn10074	[0.4434083158633884]
rxn01729	[0.4434083158633884]
rxn01068	[0.4434083158633884]
rxn01314	[0.4434083158633884]
rxn05570	[0.13340038103543542]
rxn05159	[0.13340038103543542]
rxn05180	[0.13340038103543542]
rxn10073	[0.13340038103543542]
rxn08087	[0.30085208579432016]
rxn08086	[0.30085208579432016]
rxn08089	[0.30085208579432016]
rxn08088	[0.30085208579432016]
rxn08085	[0.30085208579432016]
rxn08083	[0.30085208579432016]
rxn08084	[0.30085208579432016]
rxn10215	[0.30085208579432016]
rxn10218	[0.30085208579432016]
rxn10214	[0.30085208579432016]
rxn10219	[0.30085208579432016]
rxn10217	[0.30085208579432016]
rxn10216	[0.30085208579432016]
rxn10212	[0.30085208579432016]
rxn10211	[0.30085208579432016]
rxn10213	[0.30085208579432016]
rxn05175	[0.013072253367989038]
rxn03243	[0.43392432550536314]
rxn03248	[0.43392432550536314]
rxn06510	[0.43392432550536314]
rxn02804	[0.43392432550536314]
rxn02680	[0.43392432550536314]
rxn05619	[0.1704472183714719]
rxn05163	[0.013072253367989038]
rxn10158	[0.3595342761346019]
rxn05603	[0.3595342761346019]
rxn05154	[0.22912940871175363]
rxn00727	[np.float64(0.37195024685380595)]
rxn05161	[0.0993172906862819]
rxn05168	[0.0993172906862819]
rxn05155	[0.08242393286104928]
rxn05201	[0.306779579768086]
rxn02831	[0.060492205158115694]
rxn13885	[0.22705478582093558]
rxn05512	[0.190897072580964]
rxn08669	[0.2839587279690876]
rxn05156	[0.22912940871175363]
rxn05164	[0.22912940871175363]
rxn13828	[0.5148346182472667]
rxn13829	[0.5148346182472667]
rxn05247	[0.11354327622331989]
rxn05248	[0.11354327622331989]
rxn05249	[0.11354327622331989]
rxn05250	[0.11354327622331989]
rxn05251	[0.11354327622331989]
rxn05252	[0.11354327622331989]
