reaction	linear_coefficient
rxn03253	0.49838425762475747
rxn02720	0.49838425762475747
rxn00946	0.49838425762475747
rxn02679	0.49838425762475747
rxn02803	0.49838425762475747
rxn03251	0.49838425762475747
rxn00872	0.49838425762475747
rxn01451	0.6431959451557056
rxn03242	0.6431959451557056
rxn03239	0.6431959451557056
rxn06777	0.6431959451557056
rxn03244	0.6431959451557056
rxn03249	0.6431959451557056
rxn03246	0.6431959451557056
rxn02122	0.23190089448790988
rxn01387	0.5715365533878137
rxn00616	0.5332186841785937
rxn00501	0.6678288610759184
rxn10125	0.5317257801834294
rxn01851	0.23190089448790988
rxn13812	0.2936075929547056
rxn01297	0.634238521184719
rxn01522	0.634238521184719
rxn00288	0.8163728085947772
rxn10126	0.8163728085947772
rJB00270	0.8163728085947772
rxn06493	0.29037296763184933
rxn13808	0.32371449019052123
rxn00623	0.4284665871845575
rxn00506	0.49664253629706573
rxn00779	0.6379707811726301
rxn13726	0.7486944941473239
rJB00264	0.7486944941473239
rxn10122	0.7486944941473239
rxn00604	0.4762395150298187
rxn10902	0.4762395150298187
rxn00671	0.6678288610759184
rxn01115	0.26275424372130773
rxn00338	0.2936075929547056
rxn00248	0.3901487179753377
rxn05353	0.6310038958618628
rxn05356	0.6310038958618628
rxn05355	0.6310038958618628
rxn05354	0.6310038958618628
rxn05357	0.6310038958618628
rxn05352	0.6310038958618628
rxn05351	0.6310038958618628
rxn05338	0.13909202945518892
rxn00611	0.17566817733671702
rxn00612	0.17566817733671702
rxn05436	0.22543164384219744
rxn05448	0.22543164384219744
rxn05442	0.22543164384219744
rxn05437	0.22543164384219744
rxn05449	0.22543164384219744
rxn05443	0.22543164384219744
rxn05438	0.22543164384219744
rxn05450	0.22543164384219744
rxn05444	0.22543164384219744
rxn05433	0.22543164384219744
rxn05445	0.22543164384219744
rxn05439	0.22543164384219744
rxn05446	0.22543164384219744
rxn05434	0.22543164384219744
rxn05440	0.22543164384219744
rxn05435	0.22543164384219744
rxn05447	0.22543164384219744
rxn05441	0.22543164384219744
rxn05322	0.22543164384219744
rxn05327	0.22543164384219744
rxn05324	0.22543164384219744
rxn13838	0.22543164384219744
rxn05328	0.22543164384219744
rxn05326	0.22543164384219744
rxn13850	0.22543164384219744
rxn08396	0.22543164384219744
rxn05325	0.22543164384219744
rxn05323	0.22543164384219744
rxn05464	0.22543164384219744
rxn02866	0.5857191413418756
rxn05339	0.33615535681689135
rxn05337	0.33615535681689135
rxn13844	0.33615535681689135
rxn05341	0.33615535681689135
rxn05336	0.33615535681689135
rxn05372	0.33615535681689135
rxn05422	0.33615535681689135
rxn05397	0.33615535681689135
rxn05376	0.33615535681689135
rxn05426	0.33615535681689135
rxn05401	0.33615535681689135
rxn05380	0.33615535681689135
rxn05430	0.33615535681689135
rxn05405	0.33615535681689135
rxn05461	0.33615535681689135
rxn07993	0.33615535681689135
rxn05340	0.33615535681689135
rxn05342	0.33615535681689135
rxn05360	0.33615535681689135
rxn05410	0.33615535681689135
rxn05385	0.33615535681689135
rxn05414	0.33615535681689135
rxn05364	0.33615535681689135
rxn05389	0.33615535681689135
rxn05368	0.33615535681689135
rxn05418	0.33615535681689135
rxn05393	0.33615535681689135
rxn00083	0.4055753925920365
rxn11245	0.00348658322775479
rxn00781	0.5120692109137646
rxn00199	0.5715365533878137
rxn08398	0.6096056052645062
rxn03532	0.4284665871845575
rxn13839	0.17442409067408002
rxn13790	0.690471238335912
rxn03897	0.5775081693684713
rxn05289	0.2572802624057049
rxn02842	0.5892025839972593
rxn13909	0.5543681574434229
rxn01643	0.28838242897163013
rJB00277	0.4048289405944543
rxn00211	0.3378970781445832
rxn01480	0.32719793284590487
rxn01053	0.290124150299322
rxn01867	0.49664253629706573
rxn01945	0.4379216458205988
rJB00104	0.4379216458205988
rxn21407	0.43692637649048915
rxn08975	0.4876851123260792
rJB00263	0.4876851123260792
rxn00371	0.5250077122051896
rxn08094	0.5439178294772722
rxn00154	0.272209302357349
rxn00085	0.3694968793755633
rxn00159	0.36178354206721375
rxn00161	0.36178354206721375
rxn10062	0.691217690333494
rxn13898	0.2231922878494508
rxn01740	0.4702678990491611
rxn00962	0.14755181876112058
rxn00979	0.1256558934987092
rxn00509	0.1256558934987092
rxn01101	0.2998280262678906
rxn00686	0.2244363745120878
rxn00931	0.15178171341408642
rxn04954	0.002740131230172584
rxn01802	0.5879584973346224
rxn01331	0.5707901013902315
rxn03951	0.31674760487975395
rxn02465	0.27992263966569847
rxn00183	0.5772593520359439
rxn13895	0.5772593520359439
rxn01452	0.3941297952957761
rxn02270	0.4782300536900379
rxn00508	0.00846292987830283
rxn00500	0.2809179089958081
rxn02939	0.5036094216078328
rxn13682	0.3033114689232743
rxn01241	0.20005227592440245
rxn02933	0.43841928048565365
rxn00907	0.5717853707203412
rxn00992	0.28614307297888353
rxn00086	0.561832677419245
rxn01475	0.3112736235641512
rxn13834	0.5016188829476137
rxn00629	0.46155929241070204
rxn00546	0.46155929241070204
rxn42682	0.11744492152530493
rxn13925	0.08559630296179746
rxn02774	0.35133321410106283
rxn00198	0.250562194427465
rxn03492	0.05847521371631064
rxn02285	0.003735400560282192
rxn00077	0.5665602067372657
rxn01268	0.3393899821397475
rxn13705	0.37322913936347424
rxn09896	0.052503597735653
rxn01045	0.052503597735653
rxn00935	0.5125668455788195
rxn00638	0.010951103203576852
rxn00763	0.290124150299322
rxn03958	0.18885549596066933
rxn13906	0.3398876168048024
rxn01302	0.16621311870067573
rxn00834	0.5882073146671496
rxn05293	0.29883275693778105
rxn07967	0.40458012326192694
rxn00105	0.19258775594858038
rxn02373	0.2565338104081227
rxn02474	0.2868895249764658
rxn03055	0.37820548601402226
rxn09953	0.5541193401108956
rxn02112	0.16571548403562095
rxn02632	0.16571548403562095
rxn01686	0.16571548403562095
rxn13787	0.31276652755931555
rxn13896	0.31276652755931555
rxn01790	0.5078393162607988
rxn00859	0.2127419598832999
rxn08352	0.039067461779173286
rxn08756	0.039067461779173286
rxn00122	0.01841562317939891
rxn00184	0.2943540449522878
rxn01011	0.3152547008845896
rxn06591	0.039067461779173286
rxn02186	0.30107211293052766
rxn08764	0.30107211293052766
rxn02929	0.31251771022678815
rxn00190	0.6327456171895547
rxn00138	0.6327456171895547
rxn08977	0.4876851123260792
rxn36840	0.4876851123260792
rxn02003	0.3769613993513853
rxn08291	0.46404746573597605
rxn13795	0.23190089448790988
rxn13788	0.14008729878529852
rxn00429	0.37173623536830985
rxn02440	0.34834740611073406
rxn00868	0.349961578199791
rxn10074	0.349961578199791
rxn01729	0.349961578199791
rxn01068	0.349961578199791
rxn01314	0.349961578199791
rxn05570	0.8492166964883945
rxn05159	0.8492166964883945
rxn05180	0.8492166964883945
rxn10073	0.8492166964883945
rxn08087	0.5548657921084778
rxn08086	0.5548657921084778
rxn08089	0.5548657921084778
rxn08088	0.5548657921084778
rxn08085	0.5548657921084778
rxn08083	0.5548657921084778
rxn08084	0.5548657921084778
rxn10215	0.5548657921084778
rxn10218	0.5548657921084778
rxn10214	0.5548657921084778
rxn10219	0.5548657921084778
rxn10217	0.5548657921084778
rxn10216	0.5548657921084778
rxn10212	0.5548657921084778
rxn10211	0.5548657921084778
rxn10213	0.5548657921084778
rxn05175	0.7494409461449062
rxn03243	0.4326964818375234
rxn03248	0.4326964818375234
rxn06510	0.4326964818375234
rxn02804	0.4326964818375234
rxn02680	0.4326964818375234
rxn05619	0.4812158616803668
rxn05163	0.7494409461449062
rxn10158	0.5466548201350736
rxn05603	0.5466548201350736
rxn05154	0.6394636851677945
rxn00727	0.45608531109509914
rxn05161	0.5872120453370401
rxn05168	0.5872120453370401
rxn05155	0.4670332737263048
rxn05201	0.4050777579269817
rxn02831	0.6003993639609924
rxn13885	0.5747711787106698
rxn05512	0.8472261578281752
rxn08669	0.682509083695035
rxn05156	0.6394636851677945
rxn05164	0.6394636851677945
rxn13828	0.3692480620430358
rxn13829	0.3692480620430358
rxn05247	0.3072925462437127
rxn05248	0.3072925462437127
rxn05249	0.3072925462437127
rxn05250	0.3072925462437127
rxn05251	0.3072925462437127
rxn05252	0.3072925462437127
rxn09450	0.3072925462437127
rxn09449	0.3072925462437127
rxn09448	0.3072925462437127
rxn05736	0.3072925462437127
rxn00947	0.3072925462437127
rxn13892	0.8337900218716955
rxn08002	0.40657066192214614
rxn05349	0.40657066192214614
rxn00187	0.5882073146671496
rxn05331	0.5078393162607988
rxn05333	0.5078393162607988
rxn10221	0.6695705824036101
rxn10224	0.6695705824036101
rxn08306	0.6695705824036101
rxn08307	0.6695705824036101
rxn08308	0.6695705824036101
rxn08310	0.6695705824036101
rxn08311	0.6695705824036101
rxn08312	0.6695705824036101
rxn10220	0.6695705824036101
rxn10225	0.6695705824036101
rxn10223	0.6695705824036101
rxn10222	0.6695705824036101
rxn10481	0.2943540449522878
rxn10344	0.2943540449522878
rxn10343	0.2943540449522878
rxn01629	0.47748360169245574
rxn00986	0.45484122443246217
rxn00675	0.45484122443246217
rxn05206	0.6282669052040614
rxn02911	0.6598667064350414
rxn03240	0.6598667064350414
rxn03241	0.6598667064350414
rxn03245	0.6598667064350414
rxn03250	0.6598667064350414
rxn03247	0.6598667064350414
rxn05165	0.653397455789329
rxn05181	0.8492166964883945
rxn10978	0.5466548201350736
rxn13831	0.5670578414023205
rxn10338	0.4727560723744351
rxn10341	0.4727560723744351
rxn10337	0.4727560723744351
rxn10342	0.4727560723744351
rxn10340	0.4727560723744351
rxn10339	0.4727560723744351
rxn10335	0.4727560723744351
rxn10334	0.4727560723744351
rxn10336	0.4727560723744351
rxn13785	0.5162991055667304
rPY00162	0.5548657921084778
rPY00167	0.5548657921084778
rxn02160	0.5095810375884906
rxn13872	0.563076764081882
rxn01964	0.5498894454579297
rxn00416	0.5429225601471624
rxn05651	0.5882073146671496
rxn05564	0.7394882528438101
rxn01192	0.42075324987620805
rxn12206	0.5707901013902315
rxn12432	0.35158203143359024
rxn00874	0.46977026438410624
rxn02483	0.39313452596566645
rxn01827	0.2105026038905533
rxn03393	0.5553634267735327
rxn05176	0.335906539484364
rxn05153	0.335906539484364
rxn00858	1.0
rxn05237	0.4722584377093803
rxn11080	0.4722584377093803
rxn09657	0.6576273504422948
rxn05202	0.6576273504422948
rxn05682	0.6576273504422948
rxn05312	0.5782546213660535
rxn05527	0.6576273504422948
rxn05318	0.6576273504422948
rxn05198	0.6576273504422948
rxn05317	0.6576273504422948
rxn05205	0.6576273504422948
rxn05316	0.6576273504422948
rxn05200	0.6576273504422948
rxn05199	0.6576273504422948
rxn09688	0.6576273504422948
rxn09687	0.6576273504422948
rxn09685	0.6576273504422948
rxn02287	0.35133321410106283
rxn00567	0.5655649374071561
rJB00273	0.4747466110346543
rJB00274	0.4747466110346543
rxn04092	0.8815629497169566
rxn08550	0.4692726297190515
rxn08552	0.4692726297190515
rxn02503	0.27320457168745865
