reaction	linear_coefficient
rxn03253	0.5938365932476932
rxn02720	0.5938365932476932
rxn00946	0.5938365932476932
rxn02679	0.5938365932476932
rxn02803	0.5938365932476932
rxn03251	0.5938365932476932
rxn00872	0.5938365932476932
rxn01451	0.5254020586307839
rxn03242	0.5254020586307839
rxn03239	0.5254020586307839
rxn06777	0.5254020586307839
rxn03244	0.5254020586307839
rxn03249	0.5254020586307839
rxn03246	0.5254020586307839
rxn02122	0.7108566849086424
rxn01387	0.18945070687504667
rxn00616	0.46911391327488433
rxn00501	0.6160555979934431
rxn10125	0.4424511075799845
rxn01851	0.12308994603440719
rxn13812	0.26025526866483606
rxn01297	0.47652024819013433
rxn01522	0.47652024819013433
rxn00288	0.5176994703189239
rxn10126	0.5176994703189239
rJB00270	0.5176994703189239
rxn06493	0.5099968820070641
rxn13808	0.21285472520723644
rxn00623	0.745518332312012
rxn00506	0.7108566849086424
rxn00779	0.5742838690714335
rxn13726	0.5470285565833136
rJB00264	0.5470285565833136
rxn10122	0.5470285565833136
rxn00604	0.08250323069883754
rxn10902	0.08250323069883754
rxn00671	0.6160555979934431
rxn01115	0.06472802690223768
rxn00338	0.26025526866483606
rxn00248	0.2851405539800759
rxn05353	0.39830935148509494
rxn05356	0.39830935148509494
rxn05355	0.39830935148509494
rxn05354	0.39830935148509494
rxn05357	0.39830935148509494
rxn05352	0.39830935148509494
rxn05351	0.39830935148509494
rxn05338	0.06295050652257769
rxn00611	0.04665656970902784
rxn00612	0.04665656970902784
rxn05436	0.026807592136158003
rxn05448	0.026807592136158003
rxn05442	0.026807592136158003
rxn05437	0.026807592136158003
rxn05449	0.026807592136158003
rxn05443	0.026807592136158003
rxn05438	0.026807592136158003
rxn05450	0.026807592136158003
rxn05444	0.026807592136158003
rxn05433	0.026807592136158003
rxn05445	0.026807592136158003
rxn05439	0.026807592136158003
rxn05446	0.026807592136158003
rxn05434	0.026807592136158003
rxn05440	0.026807592136158003
rxn05435	0.026807592136158003
rxn05447	0.026807592136158003
rxn05441	0.026807592136158003
rxn05322	0.026807592136158003
rxn05327	0.026807592136158003
rxn05324	0.026807592136158003
rxn13838	0.026807592136158003
rxn05328	0.026807592136158003
rxn05326	0.026807592136158003
rxn13850	0.026807592136158003
rxn08396	0.026807592136158003
rxn05325	0.026807592136158003
rxn05323	0.026807592136158003
rxn05464	0.026807592136158003
rxn02866	0.05702543859037775
rxn05339	0.26855036376991603
rxn05337	0.26855036376991603
rxn13844	0.26855036376991603
rxn05341	0.26855036376991603
rxn05336	0.26855036376991603
rxn05372	0.26855036376991603
rxn05422	0.26855036376991603
rxn05397	0.26855036376991603
rxn05376	0.26855036376991603
rxn05426	0.26855036376991603
rxn05401	0.26855036376991603
rxn05380	0.26855036376991603
rxn05430	0.26855036376991603
rxn05405	0.26855036376991603
rxn05461	0.26855036376991603
rxn07993	0.26855036376991603
rxn05340	0.26855036376991603
rxn05342	0.26855036376991603
rxn05360	0.26855036376991603
rxn05410	0.26855036376991603
rxn05385	0.26855036376991603
rxn05414	0.26855036376991603
rxn05364	0.26855036376991603
rxn05389	0.26855036376991603
rxn05368	0.26855036376991603
rxn05418	0.26855036376991603
rxn05393	0.26855036376991603
rxn00083	0.48303782291555425
rxn11245	0.631164521220553
rxn00781	0.511181895593504
