reaction	linear_coefficient
rxn03253	[0.15034525852252698]
rxn02720	[0.15034525852252698]
rxn00946	[0.15034525852252698]
rxn02679	[0.15034525852252698]
rxn02803	[0.15034525852252698]
rxn03251	[0.15034525852252698]
rxn00872	[0.15034525852252698]
rxn01451	[0.2303336756072263]
rxn03242	[0.2303336756072263]
rxn03239	[0.2303336756072263]
rxn06777	[0.2303336756072263]
rxn03244	[0.2303336756072263]
rxn03249	[0.2303336756072263]
rxn03246	[0.2303336756072263]
rxn02122	[0.049322850278517814]
rxn01387	[0.5733951088816035]
rxn00616	[0.28839934134278583]
rxn00501	[0.11568361111915726]
rxn10125	[0.3378736585766554]
rxn01851	[0.6056867291120932]
rxn13812	[0.49903550633249405]
rxn01297	[0.2783267258580459]
rxn01522	[0.2783267258580459]
rxn00288	[0.23448122315976627]
rxn10126	[0.23448122315976627]
rJB00270	[0.23448122315976627]
rxn06493	[0.25255268035297607]
rxn13808	[0.5529536245155137]
rxn00623	[0.026807592136158003]
rxn00506	[0.049322850278517814]
rxn00779	[0.18826569328860665]
rxn13726	[0.22085356691570637]
rJB00264	[0.22085356691570637]
rxn10122	[0.22085356691570637]
rxn00604	[0.6524947657764728]
rxn10902	[0.6524947657764728]
rxn00671	[0.11568361111915726]
rxn01115	[0.6578273269154529]
rxn00338	[0.49903550633249405]
rxn00248	[0.4729652074308143]
rxn05353	[np.float64(0.35654096282013203)]
rxn05356	[np.float64(0.35654096282013203)]
rxn05355	[np.float64(0.35654096282013203)]
rxn05354	[np.float64(0.35654096282013203)]
rxn05357	[np.float64(0.35654096282013203)]
rxn05352	[np.float64(0.35654096282013203)]
rxn05351	[np.float64(0.35654096282013203)]
rxn05338	[0.6699737161764627]
rxn00611	[0.7120416984950824]
rxn00612	[0.7120416984950824]
rxn05436	[0.7235955809628721]
rxn05448	[0.7235955809628721]
rxn05442	[0.7235955809628721]
rxn05437	[0.7235955809628721]
rxn05449	[0.7235955809628721]
rxn05443	[0.7235955809628721]
rxn05438	[0.7235955809628721]
rxn05450	[0.7235955809628721]
rxn05444	[0.7235955809628721]
rxn05433	[0.7235955809628721]
rxn05445	[0.7235955809628721]
rxn05439	[0.7235955809628721]
rxn05446	[0.7235955809628721]
rxn05434	[0.7235955809628721]
rxn05440	[0.7235955809628721]
rxn05435	[0.7235955809628721]
rxn05447	[0.7235955809628721]
rxn05441	[0.7235955809628721]
rxn05322	[0.7235955809628721]
rxn05327	[0.7235955809628721]
rxn05324	[0.7235955809628721]
rxn13838	[0.7235955809628721]
rxn05328	[0.7235955809628721]
rxn05326	[0.7235955809628721]
rxn13850	[0.7235955809628721]
rxn08396	[0.7235955809628721]
rxn05325	[0.7235955809628721]
rxn05323	[0.7235955809628721]
rxn05464	[0.7235955809628721]
rxn02866	[0.6764912909018825]
rxn05339	[0.48570410348504417]
rxn05337	[0.48570410348504417]
rxn13844	[0.48570410348504417]
rxn05341	[0.48570410348504417]
rxn05336	[0.48570410348504417]
rxn05372	[0.48570410348504417]
rxn05422	[0.48570410348504417]
rxn05397	[0.48570410348504417]
rxn05376	[0.48570410348504417]
rxn05426	[0.48570410348504417]
rxn05401	[0.48570410348504417]
