reaction	linear_coefficient
rxn03253	[0.25888851789991907]
rxn02720	[0.25888851789991907]
rxn00946	[0.25888851789991907]
rxn02679	[0.25888851789991907]
rxn02803	[0.25888851789991907]
rxn03251	[0.25888851789991907]
rxn00872	[0.25888851789991907]
rxn01451	[0.18559975188284186]
rxn03242	[0.18559975188284186]
rxn03239	[0.18559975188284186]
rxn06777	[0.18559975188284186]
rxn03244	[0.18559975188284186]
rxn03249	[0.18559975188284186]
rxn03246	[0.18559975188284186]
rxn02122	[0.15488135820571708]
rxn01387	[0.5227764509845105]
rxn00616	[np.float64(0.2902525386814938)]
rxn00501	[0.15246258705003796]
rxn10125	[0.03926409696425537]
rxn01851	[0.5588161412041294]
rxn13812	[0.4623071720925326]
rxn01297	[0.2845274921501177]
rxn01522	[0.2845274921501177]
rxn00288	[0.22744449287609053]
rxn10126	[0.22744449287609053]
rJB00270	[0.22744449287609053]
rxn06493	[0.2293795098006338]
rxn13808	[0.04071535965766284]
rxn00623	[0.08110883795750407]
rxn00506	[0.15488135820571708]
rxn00779	[0.20881995497736136]
rxn13726	[0.08231822353534363]
rJB00264	[0.08231822353534363]
rxn10122	[0.08231822353534363]
rxn00604	[0.6468594112708491]
rxn10902	[0.6468594112708491]
rxn00671	[0.15246258705003796]
rxn01115	[0.5588161412041294]
rxn00338	[0.4623071720925326]
rxn00248	[0.3897440374221592]
rxn05353	[np.float64(0.2902525386814938)]
rxn05356	[np.float64(0.2902525386814938)]
rxn05355	[np.float64(0.2902525386814938)]
rxn05354	[np.float64(0.2902525386814938)]
rxn05357	[np.float64(0.2902525386814938)]
rxn05352	[np.float64(0.2902525386814938)]
rxn05351	[np.float64(0.2902525386814938)]
rxn05338	[0.6519388306977753]
rxn00611	[0.7433683803824458]
rxn00612	[0.7433683803824458]
rxn05436	[0.12126043914177737]
rxn05448	[0.12126043914177737]
rxn05442	[0.12126043914177737]
rxn05437	[0.12126043914177737]
rxn05449	[0.12126043914177737]
rxn05443	[0.12126043914177737]
rxn05438	[0.12126043914177737]
rxn05450	[0.12126043914177737]
rxn05444	[0.12126043914177737]
rxn05433	[0.12126043914177737]
rxn05445	[0.12126043914177737]
rxn05439	[0.12126043914177737]
rxn05446	[0.12126043914177737]
rxn05434	[0.12126043914177737]
rxn05440	[0.12126043914177737]
rxn05435	[0.12126043914177737]
rxn05447	[0.12126043914177737]
rxn05441	[0.12126043914177737]
rxn05322	[0.12126043914177737]
rxn05327	[0.12126043914177737]
rxn05324	[0.12126043914177737]
rxn13838	[0.12126043914177737]
rxn05328	[0.12126043914177737]
rxn05326	[0.12126043914177737]
rxn13850	[0.12126043914177737]
rxn08396	[0.12126043914177737]
rxn05325	[0.12126043914177737]
rxn05323	[0.12126043914177737]
rxn05464	[0.12126043914177737]
rxn02866	[0.10989221471008553]
rxn05339	[0.4083685753208883]
rxn05337	[0.4083685753208883]
rxn13844	[0.4083685753208883]
rxn05341	[0.4083685753208883]
rxn05336	[0.4083685753208883]
rxn05372	[0.4083685753208883]
rxn05422	[0.4083685753208883]
rxn05397	[0.4083685753208883]
rxn05376	[0.4083685753208883]
rxn05426	[0.4083685753208883]
rxn05401	[0.4083685753208883]
rxn05380	[0.4083685753208883]
rxn05430	[0.4083685753208883]
rxn05405	[0.4083685753208883]
rxn05461	[0.4083685753208883]
rxn07993	[0.4083685753208883]
rxn05340	[0.4083685753208883]
rxn05342	[0.4083685753208883]
rxn05360	[0.4083685753208883]
rxn05410	[0.4083685753208883]
rxn05385	[0.4083685753208883]
rxn05414	[0.4083685753208883]
rxn05364	[0.4083685753208883]
rxn05389	[0.4083685753208883]
rxn05368	[0.4083685753208883]
rxn05418	[0.4083685753208883]
rxn05393	[0.4083685753208883]
rxn00083	[0.239780225770054]
rxn11245	[0.14956006166322303]
rxn00781	[0.2542928527041287]
rxn00199	[0.5227764509845105]
rxn08398	[np.float64(0.2902525386814938)]
rxn03532	[0.08110883795750407]
rxn13839	[0.12005105356393783]
rxn13790	[0.22744449287609053]
rxn03897	[0.1490763074320872]
rxn05289	[np.float64(0.2902525386814938)]
rxn02842	[0.16044453186377905]
rxn13909	[0.21631814555996662]
rxn01643	[0.6079171956644154]
rJB00277	[0.44465014265607505]
rxn00211	[0.07893194391739286]
rxn01480	[0.5394659719586965]
rxn01053	[0.5588161412041294]
rxn01867	[0.15488135820571708]
rxn01945	[0.40353103300953014]
rJB00104	[0.40353103300953014]
rxn21407	[0.21631814555996662]
rxn08975	[0.1657658284062731]
rJB00263	[0.1657658284062731]
rxn00371	[0.1657658284062731]
rxn08094	[0.12053480779507365]
rxn00154	[0.14012685415607448]
rxn00085	[0.37111949952343]
rxn00159	[0.5380147092652889]
rxn00161	[0.5380147092652889]
rxn10062	[0.26928923386933923]
rxn13898	[np.float64(0.2902525386814938)]
rxn01740	[0.45577648997219905]
rxn00962	[0.19164667977203964]
rxn00979	[0.44658515958061834]
rxn00509	[0.44658515958061834]
rxn01101	[0.19164667977203964]
rxn00686	[0.7143431265142964]
rxn00931	[0.022332698874501566]
rxn04954	[0.21631814555996662]
rxn01802	[0.5380147092652889]
rxn01331	[0.27388489906512953]
rxn03951	[0.6190435429805393]
rxn02465	[0.5358378152251777]
rxn00183	[np.float64(0.2902525386814938)]
rxn13895	[np.float64(0.2902525386814938)]
rxn01452	[0.18559975188284186]
rxn02270	[0.25888851789991907]
rxn00508	[0.2272026157605226]
rxn00500	[0.5227764509845105]
rxn02939	[0.21631814555996662]
rxn13682	[0.5380147092652889]
rxn01241	[np.float64(0.2902525386814938)]
rxn02933	[0.49133242596068205]
rxn00907	[0.27388489906512953]
rxn00992	[0.5152782604019053]
rxn00086	[np.float64(0.2902525386814938)]
rxn01475	[0.8705957431711673]
rxn13834	[0.4030472787783943]
rxn00629	[0.43884509188244525]
rxn00546	[0.43884509188244525]
rxn42682	[0.5561554929328822]
rxn13925	[0.2518740815484496]
rxn02774	[np.float64(0.2902525386814938)]
rxn00198	[0.6519388306977753]
rxn03492	[0.11666477394598707]
rxn02285	[0.024751470030180685]
rxn00077	[np.float64(0.2902525386814938)]
rxn01268	[0.19575859073669413]
rxn13705	[0.6519388306977753]
rxn09896	[0.23445892922755998]
rxn01045	[0.23445892922755998]
rxn00935	[0.37329639356354116]
rxn00638	[0.07893194391739286]
rxn00763	[0.5846969925698958]
rxn03958	[0.7433683803824458]
rxn13906	[0.5399497261898322]
rxn01302	[0.15367197262787752]
rxn00834	[0.27388489906512953]
rxn05293	[0.4427151257315318]
rxn07967	[0.5179389086731523]
rxn00105	[0.5462385311945979]
rxn02373	[0.40353103300953014]
rxn02474	[0.5247114679090538]
rxn03055	[0.5060869300103246]
rxn09953	[np.float64(0.2902525386814938)]
rxn02112	[0.2555022382819683]
rxn02632	[0.2555022382819683]
rxn01686	[0.2555022382819683]
rxn13787	[0.38321335530182554]
rxn13896	[0.38321335530182554]
rxn01790	[0.44997143919856913]
rxn00859	[np.float64(0.2902525386814938)]
rxn08352	[0.7440940117291495]
rxn08756	[0.7440940117291495]
rxn00122	[0.06272617717434278]
rxn00184	[0.22744449287609053]
rxn01011	[0.5561554929328822]
rxn06591	[0.2080943236306576]
rxn02186	[0.7116824782430494]
rxn08764	[0.7116824782430494]
rxn02929	[0.5561554929328822]
rxn00190	[0.3699101139455904]
rxn00138	[0.3699101139455904]
rxn08977	[0.3667657114432076]
rxn36840	[0.13722432876925955]
rxn02003	[np.float64(0.2902525386814938)]
rxn08291	[0.3648306945186643]
rxn13795	[0.5588161412041294]
rxn13788	[0.3420942456552806]
rxn00429	[0.5793756960274018]
rxn02440	[0.01338324559848884]
rxn00868	[np.float64(0.2902525386814938)]
rxn10074	[np.float64(0.2902525386814938)]
rxn01729	[np.float64(0.2902525386814938)]
rxn01068	[np.float64(0.2902525386814938)]
rxn01314	[np.float64(0.2902525386814938)]
rxn05570	[0.28888128023034004]
rxn05159	[0.28888128023034004]
rxn05180	[0.28888128023034004]
rxn10073	[0.28888128023034004]
rxn08087	[np.float64(0.2902525386814938)]
rxn08086	[np.float64(0.2902525386814938)]
rxn08089	[np.float64(0.2902525386814938)]
rxn08088	[np.float64(0.2902525386814938)]
rxn08085	[np.float64(0.2902525386814938)]
rxn08083	[np.float64(0.2902525386814938)]
rxn08084	[np.float64(0.2902525386814938)]
rxn10215	[np.float64(0.2902525386814938)]
rxn10218	[np.float64(0.2902525386814938)]
rxn10214	[np.float64(0.2902525386814938)]
rxn10219	[np.float64(0.2902525386814938)]
rxn10217	[np.float64(0.2902525386814938)]
rxn10216	[np.float64(0.2902525386814938)]
rxn10212	[np.float64(0.2902525386814938)]
rxn10211	[np.float64(0.2902525386814938)]
rxn10213	[np.float64(0.2902525386814938)]
rxn05175	[0.12126043914177737]
rxn03243	[0.2117224803641763]
rxn03248	[0.2117224803641763]
rxn06510	[0.2117224803641763]
rxn02804	[0.2117224803641763]
rxn02680	[0.2117224803641763]
rxn05619	[0.08014132949523242]
rxn05163	[0.12126043914177737]
rxn10158	[0.0054013007847477585]
rxn05603	[0.0054013007847477585]
rxn05154	[0.11884166798609827]
rxn00727	[0.0777225583395533]
rxn05161	[0.07409440160603463]
rxn05168	[0.07409440160603463]
rxn05155	[0.2678379711759317]
rxn05201	[0.08038320661080034]
rxn02831	[0.015318262523032132]
rxn13885	[0.23324954364972042]
rxn05512	[0.26928923386933923]
rxn08669	[0.21631814555996662]
rxn05156	[0.11884166798609827]
rxn05164	[0.11884166798609827]
rxn13828	[0.4591627695901498]
rxn13829	[0.4591627695901498]
rxn05247	[0.015318262523032132]
rxn05248	[0.015318262523032132]
rxn05249	[0.015318262523032132]
rxn05250	[0.015318262523032132]
rxn05251	[0.015318262523032132]
rxn05252	[0.015318262523032132]
rxn09450	[0.015318262523032132]
rxn09449	[0.015318262523032132]
rxn09448	[0.015318262523032132]
rxn05736	[0.015318262523032132]
rxn00947	[0.015318262523032132]
rxn13892	[np.float64(0.2902525386814938)]
rxn08002	[0.4724660109463849]
rxn05349	[0.4724660109463849]
rxn00187	[0.22744449287609053]
rxn05331	[0.3442711396953918]
rxn05333	[0.3442711396953918]
rxn10221	[np.float64(0.2902525386814938)]
rxn10224	[np.float64(0.2902525386814938)]
rxn08306	[np.float64(0.2902525386814938)]
rxn08307	[np.float64(0.2902525386814938)]
rxn08308	[np.float64(0.2902525386814938)]
rxn08310	[np.float64(0.2902525386814938)]
rxn08311	[np.float64(0.2902525386814938)]
rxn08312	[np.float64(0.2902525386814938)]
rxn10220	[np.float64(0.2902525386814938)]
rxn10225	[np.float64(0.2902525386814938)]
rxn10223	[np.float64(0.2902525386814938)]
rxn10222	[np.float64(0.2902525386814938)]
rxn10481	[0.19237231111874337]
rxn10344	[0.19237231111874337]
rxn10343	[0.19237231111874337]
rxn01629	[np.float64(0.2902525386814938)]
rxn00986	[0.06659621102342937]
rxn00675	[0.06659621102342937]
rxn05206	[0.138675591462667]
rxn02911	[0.22139756498689273]
rxn03240	[0.22139756498689273]
rxn03241	[0.22139756498689273]
rxn03245	[0.22139756498689273]
rxn03250	[0.22139756498689273]
rxn03247	[0.22139756498689273]
rxn05165	[0.28259247522557435]
rxn05181	[0.28259247522557435]
rxn10978	[0.0054013007847477585]
rxn13831	[0.1722965105266067]
rxn10338	[0.025235224261316504]
rxn10341	[0.025235224261316504]
rxn10337	[0.025235224261316504]
rxn10342	[0.025235224261316504]
rxn10340	[0.025235224261316504]
rxn10339	[0.025235224261316504]
rxn10335	[0.025235224261316504]
rxn10334	[0.025235224261316504]
rxn10336	[0.025235224261316504]
rxn13785	[0.14278750242732152]
rPY00162	[np.float64(0.2902525386814938)]
rPY00167	[np.float64(0.2902525386814938)]
rxn02160	[np.float64(0.2902525386814938)]
rxn13872	[np.float64(0.2902525386814938)]
rxn01964	[np.float64(0.2902525386814938)]
rxn00416	[0.21123872613304046]
rxn05651	[0.33919172026846567]
rxn05564	[0.03926409696425537]
rxn01192	[0.33846608892176194]
rxn12206	[0.21631814555996662]
rxn12432	[0.4393288461135811]
rxn00874	[0.2117224803641763]
rxn02483	[0.49084867172954616]
rxn01827	[0.13940122280937073]
rxn03393	[0.4490039307362974]
rxn05176	[0.15488135820571708]
rxn05153	[0.15488135820571708]
rxn00858	[0.27388489906512953]
rxn05237	[0.27702930156751243]
rxn11080	[0.27702930156751243]
rxn09657	[0.03757095715527999]
rxn05202	[0.03757095715527999]
rxn05682	[0.03757095715527999]
rxn05312	[0.10650593509213477]
rxn05527	[0.03757095715527999]
rxn05318	[0.27702930156751243]
rxn05198	[0.27702930156751243]
rxn05317	[0.27702930156751243]
rxn05205	[0.27702930156751243]
rxn05316	[0.27702930156751243]
rxn05200	[0.27702930156751243]
rxn05199	[0.27702930156751243]
rxn09688	[0.27702930156751243]
rxn09687	[0.27702930156751243]
rxn09685	[0.27702930156751243]
rxn02287	[0.058372389094120375]
rxn00567	[0.05788863486298455]
rJB00273	[0.15101132435663048]
rJB00274	[0.15101132435663048]
rxn04092	[0.03708720292414417]
rxn08550	[0.3612025377851456]
rxn08552	[0.3612025377851456]
rxn02503	[0.7150687578610001]
rxn00256	[0.20857807786179344]
rxn00225	[np.float64(0.2902525386814938)]
rxn00799	[0.3401592287307373]
rxn05663	[0.21776940825337404]
rxn00806	[np.float64(0.2902525386814938)]
rxn00493	[np.float64(0.2902525386814938)]
rxn05108	[np.float64(0.2902525386814938)]
rxn12562	[0.0054013007847477585]
rJB00237	[0.0054013007847477585]
rJB00240	[0.0054013007847477585]
rxn05207	[0.0054013007847477585]
rJB00238	[0.0054013007847477585]
rxn03004	[np.float64(0.2902525386814938)]
rxn13841	[0.138675591462667]
rxn01644	[0.49133242596068205]
rxn04093	[0.03708720292414417]
rxn05179	[0.07409440160603463]
rxn13794	[0.07409440160603463]
rxn10170	[0.07409440160603463]
rxn05169	[0.07409440160603463]
rxn01352	[np.float64(0.2902525386814938)]
rxn09016	[np.float64(0.2902525386814938)]
rxn05231	[0.3667657114432076]
rxn06076	[0.3667657114432076]
rxn05233	[0.3667657114432076]
rxn06075	[0.3667657114432076]
rxn12498	[0.45045519342970497]
rJB00269	[0.45045519342970497]
rxn05561	[0.5227764509845105]
rxn10154	[0.5227764509845105]
rxn00902	[0.21631814555996662]
rxn00269	[0.03708720292414417]
rxn03541	[0.20978746343963298]
rxn05315	[0.37087762240786204]
rxn10113	[0.15101132435663048]
rJB00267	[0.15101132435663048]
rxn05152	[0.27388489906512953]
rxn05146	[0.27388489906512953]
rxn08861	[0.4724660109463849]
rxn00394	[0.27388489906512953]
rxn05197	[0.03757095715527999]
rxn01225	[0.21631814555996662]
rxn08527	[0.22744449287609053]
rxn01732	[0.28573687772795725]
rxn00285	[0.28573687772795725]
rxn05334	[0.3442711396953918]
rxn05329	[0.3442711396953918]
rxn05330	[0.3442711396953918]
rxn13843	[0.3442711396953918]
rxn13840	[0.3442711396953918]
rxn13846	[0.3442711396953918]
rxn10168	[np.float64(0.2902525386814938)]
rxn13842	[np.float64(0.2902525386814938)]
rxn02276	[0.06248430005877488]
rxn01332	[0.013866999829624664]
rxn01388	[0.15101132435663048]
rxn00974	[0.15101132435663048]
rxn00973	[0.15101132435663048]
rxn13886	[0.2001123788169165]
rxn02177	[0.24655278500595554]
rxn05160	[0.239780225770054]
rxn05549	[0.239780225770054]
rxn05644	[0.239780225770054]
rxn05167	[0.239780225770054]
rxn05173	[0.239780225770054]
rxn02143	[np.float64(0.2902525386814938)]
rxn02889	[np.float64(0.2902525386814938)]
rxn05649	[0.20107988727918819]
rxn05307	[0.20107988727918819]
rxn05300	[0.20107988727918819]
rxn13811	[0.03757095715527999]
rxn00649	[0.600660882197378]
rPY00184	[0.025235224261316504]
rxn08229	[0.025235224261316504]
rxn08230	[0.025235224261316504]
rPY00183	[0.025235224261316504]
rxn08231	[0.025235224261316504]
rxn08232	[0.025235224261316504]
rxn13847	[0.22744449287609053]
rxn00065	[0.24848780193049885]
rxn00342	[0.22841200133836218]
rxn05171	[0.26928923386933923]
rxn13853	[0.36870072836775086]
rxn13849	[0.36870072836775086]
rxn05608	[0.45045519342970497]
rJB00222	[0.36870072836775086]
rxn05614	[0.4857692523026201]
rxn05613	[0.4857692523026201]
rPY00218	[0.17810156130023658]
rxn05149	[np.float64(0.2902525386814938)]
rxn06600	[0.4826248498002372]
rxn00165	[0.390227791653295]
rxn13803	[0.5380147092652889]
rxn06377	[0.13722432876925955]
rxn12549	[0.4572277526656064]
rxn13814	[0.26372606021127726]
rxn13681	[0.26372606021127726]
rxn13919	[0.26372606021127726]
rPY00172	[np.float64(0.2902525386814938)]
rPY00175	[np.float64(0.2902525386814938)]
rxn00175	[0.06659621102342937]
rxn05187	[0.26928923386933923]
rxn05151	[0.11884166798609827]
rxn06216	[0.22139756498689273]
rxn01199	[0.21631814555996662]
rxn08556	[np.float64(0.2902525386814938)]
rxn37440	[np.float64(0.2902525386814938)]
rxn02789	[0.6770940507168381]
rxn02811	[0.6770940507168381]
rxn03884	[0.27388489906512953]
rxn00214	[0.33677294911278655]
rxn03135	[0.06877310506354058]
rxn13877	[0.368216974136615]
rxn13913	[np.float64(0.2902525386814938)]
rxn00980	[0.27388489906512953]
rxn01639	[np.float64(0.2902525386814938)]
rxn10174	[0.04047348254209493]
rxn05158	[0.04047348254209493]
rxn05147	[0.04047348254209493]
rxn00299	[0.35950939797617026]
rxn05552	[0.26928923386933923]
rxn05585	[0.26928923386933923]
rxn05621	[0.26928923386933923]
rxn05620	[0.26928923386933923]
rxn05656	[0.26928923386933923]
rxn08900	[0.37329639356354116]
rxn36761	[0.37329639356354116]
rxn05215	[0.5380147092652889]
rxn01834	[0.10287777835861608]
rxn01019	[np.float64(0.2902525386814938)]
rxn13805	[np.float64(0.2902525386814938)]
rxn13807	[0.35950939797617026]
rxn13806	[np.float64(0.2902525386814938)]
rJB00225	[0.3420942456552806]
rxn05560	[0.3420942456552806]
rxn00615	[np.float64(0.2902525386814938)]
rxn00533	[0.17253838764217463]
rxn05332	[0.3442711396953918]
rxn05335	[0.3442711396953918]
rxn05373	[0.3442711396953918]
rxn05423	[0.3442711396953918]
rxn05398	[0.3442711396953918]
rxn05377	[0.3442711396953918]
rxn05427	[0.3442711396953918]
rxn05402	[0.3442711396953918]
rxn05381	[0.3442711396953918]
rxn05431	[0.3442711396953918]
rxn05406	[0.3442711396953918]
rxn07980	[0.3442711396953918]
rxn05361	[0.3442711396953918]
rxn05411	[0.3442711396953918]
rxn05386	[0.3442711396953918]
rxn05415	[0.3442711396953918]
rxn05365	[0.3442711396953918]
rxn05390	[0.3442711396953918]
rxn05369	[0.3442711396953918]
rxn05419	[0.3442711396953918]
rxn05394	[0.3442711396953918]
rxn05462	[0.3442711396953918]
rxn08309	[np.float64(0.2902525386814938)]
rPY00163	[np.float64(0.2902525386814938)]
rPY00168	[np.float64(0.2902525386814938)]
rxn05528	[0.19237231111874337]
rxn05485	[0.138675591462667]
rxn05626	[0.37257076221683744]
rxn05209	[0.16213767167275442]
rxn05582	[0.5353540609940418]
rxn05172	[0.23421705211199206]
rxn00539	[0.4591627695901498]
rxn00300	[0.24147336557902943]
rxn00048	[0.37716642741262774]
rxn10559	[0.27388489906512953]
rxn12591	[0.27388489906512953]
rxn06280	[0.5358378152251777]
rxn05190	[np.float64(0.2902525386814938)]
rxn13836	[0.19164667977203964]
rxn13823	[0.24655278500595554]
rxn13801	[0.17689217572239704]
rxn00006	[np.float64(0.2902525386814938)]
rxn00691	[0.2499390646239063]
rxn00148	[0.5561554929328822]
rxn00206	[0.13843371434709908]
rxn02305	[0.5227764509845105]
rxn13689	[0.40522417281850553]
rJB00271	[0.40522417281850553]
rxn09240	[0.47633604479547154]
rxn02320	[0.14278750242732152]
rxn05174	[0.043134130813341956]
rxn05533	[0.043134130813341956]
rxn05540	[0.043134130813341956]
rxn05541	[0.043134130813341956]
rxn05542	[0.043134130813341956]
rxn05543	[0.043134130813341956]
rxn05544	[0.043134130813341956]
rxn05545	[0.043134130813341956]
rxn05539	[0.043134130813341956]
rxn05546	[0.043134130813341956]
rxn05537	[0.043134130813341956]
rxn05547	[0.043134130813341956]
rxn05534	[0.043134130813341956]
rxn05535	[0.043134130813341956]
rxn05538	[0.043134130813341956]
rxn05536	[0.043134130813341956]
rxn12848	[0.043134130813341956]
rxn12849	[0.043134130813341956]
rxn12850	[0.043134130813341956]
rxn12851	[0.043134130813341956]
rxn13792	[0.0037081609757723777]
rxn13793	[0.0037081609757723777]
rxn00470	[0.5227764509845105]
rxn00711	[0.1657658284062731]
rxn08043	[0.3667657114432076]
rxn00003	[0.3667657114432076]
rxn00527	[0.03926409696425537]
rxn00776	[0.022332698874501566]
rxn00414	[np.float64(0.2902525386814938)]
rxn08792	[0.5036681588546454]
rJB00261	[0.5036681588546454]
rxn00405	[0.5227764509845105]
rxn02213	[0.4427151257315318]
rxn00101	[0.24316650538800483]
rxn13859	[0.37329639356354116]
rxn06439	[0.5561554929328822]
rxn13870	[0.2499390646239063]
rxn13888	[0.3827296010706897]
rJB00232	[0.28259247522557435]
rxn00867	[0.1364986974225558]
rxn05347	[0.4724660109463849]
rxn05195	[0.1722965105266067]
rxn13107	[0.1488344303165193]
rxn09044	[0.1488344303165193]
rxn05466	[0.1679427224463843]
rxn09692	[0.5353540609940418]
rxn00283	[0.22744449287609053]
rxn05145	[0.22139756498689273]
rxn00737	[0.06877310506354058]
rxn08103	[0.5380147092652889]
rxn00692	[0.5380147092652889]
rxn00433	[0.15101132435663048]
rxn05229	[0.18342285784273066]
rxn02938	[0.18342285784273066]
rxn13804	[0.27388489906512953]
rxn00162	[0.40619168128077715]
rxn10196	[0.4654515745949155]
rxn10195	[0.4654515745949155]
rxn10194	[0.4654515745949155]
rxn00640	[0.1631051801350261]
rxn00559	[0.1631051801350261]
rxn05605	[np.float64(0.2902525386814938)]
rxn05654	[np.float64(0.2902525386814938)]
rxn01300	[0.012415737136217195]
rxn05150	[0.24147336557902943]
rxn13918	[0.24147336557902943]
rxn05183	[np.float64(0.2902525386814938)]
rxn05219	[np.float64(0.2902525386814938)]
rxn10042	[0.09731460470055414]
rxn03919	[0.4623071720925326]
rxn02303	[0.3420942456552806]
rxn13890	[0.26735421694479594]
rxn00656	[0.7433683803824458]
rxn00927	[0.49133242596068205]
rxn01299	[0.49133242596068205]
rxn00926	[0.11666477394598707]
rxn01137	[0.11666477394598707]
rxn01858	[0.11666477394598707]
rxn00598	[0.5227764509845105]
rxn13865	[0.5380147092652889]
rxn02369	[0.21631814555996662]
rxn02144	[0.7087799528562345]
rxn05673	[np.float64(0.2902525386814938)]
rxn05574	[np.float64(0.2902525386814938)]
rxn01204	[0.45577648997219905]
rxn10132	[0.15488135820571708]
rxn01029	[np.float64(0.2902525386814938)]
rxn00853	[0.2165600226755345]
rxn00856	[0.5380147092652889]
rxn05508	[0.3609606606695777]
rxn00777	[np.float64(0.2902525386814938)]
rxn01520	[0.13843371434709908]
rxn01073	[0.25477660693526455]
rxn00758	[0.25477660693526455]
rxn00898	[0.2569535009753758]
rxn09889	[0.2569535009753758]
rxn02175	[0.35950939797617026]
rxn01303	[0.8705957431711673]
rxn01304	[0.8705957431711673]
rxn00953	[1.0]
rxn00950	[0.22744449287609053]
rxn00742	[0.22744449287609053]
rxn02302	[0.22744449287609053]
rxn01816	[0.22744449287609053]
rxn01018	[0.25719537809094367]
rxn00351	[0.27388489906512953]
rxn02312	[np.float64(0.2902525386814938)]
rxn00141	[0.33919172026846567]
rxn00717	[0.10287777835861608]
rxn01626	[0.4857692523026201]
rxn11268	[0.10650593509213477]
rxn00330	[np.float64(0.2902525386814938)]
rxn00796	[0.14278750242732152]
rxn02297	[0.44053823169142065]
rxn02277	[0.8705957431711673]
rxn00126	[0.6120291066290698]
rxn01200	[0.38321335530182554]
rxn00785	[0.38321335530182554]
rxn01100	[0.7150687578610001]
rxn00786	[0.5152782604019053]
rxn02504	[np.float64(0.2902525386814938)]
rxn00095	[0.2518740815484496]
rxn01116	[0.4717403795996812]
rxn00791	[0.4393288461135811]
rxn02507	[0.21631814555996662]
rxn00127	[0.1722965105266067]
rxn12880	[0.7116824782430494]
rxn12510	[0.27388489906512953]
rxn02934	[0.3401592287307373]
rxn12788	[0.45892089247458184]
rxn05221	[0.33653107199721866]
rxn13819	[np.float64(0.2902525386814938)]
rxn00670	[0.5394659719586965]
rxn00985	[np.float64(0.2902525386814938)]
rxn03236	[0.5152782604019053]
rxn04989	[0.12053480779507365]
rxn01805	[np.float64(0.2902525386814938)]
rxn01734	[0.3420942456552806]
rxn00177	[np.float64(0.2902525386814938)]
rxn01637	[0.40353103300953014]
rxn00467	[0.40353103300953014]
rxn00291	[0.3718451308701337]
rxn00541	[0.23421705211199206]
rxn00337	[0.03926409696425537]
rxn10474	[0.22744449287609053]
rxn00303	[0.24195711981016524]
rxn02937	[0.039505974079823286]
rxn13810	[0.28694626330579676]
rxn02988	[0.5561554929328822]
rxn03147	[0.600660882197378]
rxn13854	[0.5936464458459085]
rxn00019	[0.2569535009753758]
rxn09566	[0.19164667977203964]
rxn00208	[0.19164667977203964]
rxn01252	[0.19164667977203964]
rxn00209	[0.19164667977203964]
rxn01102	[0.40353103300953014]
rxn00455	[0.48504362095591624]
rxn13904	[0.08231822353534363]
rxn01973	[0.450213316314137]
rxn06023	[0.5380147092652889]
rxn13827	[0.5380147092652889]
rxn10090	[np.float64(0.2902525386814938)]
rxn11544	[0.47125662536854535]
rxn03540	[0.27388489906512953]
rxn13861	[0.5561554929328822]
rxn05517	[0.37087762240786204]
rxn02900	[0.21631814555996662]
rxn00537	[0.33604731776608276]
rxn08707	[0.5561554929328822]
rxn05039	[np.float64(0.2902525386814938)]
rxn00361	[0.47633604479547154]
rxn00250	[0.27388489906512953]
rxn01462	[0.3745057791413807]
rxn13855	[0.35950939797617026]
rxn05305	[0.8705957431711673]
rxn09653	[0.4393288461135811]
rxn00010	[np.float64(0.2902525386814938)]
rxn00327	[0.22744449287609053]
rxn01746	[0.2165600226755345]
rxn00139	[0.4591627695901498]
rxn02271	[0.3667657114432076]
rxn02867	[0.3667657114432076]
rxn05241	[0.7274044907549637]
rxn05240	[0.7274044907549637]
rxn05242	[0.7274044907549637]
rxn05375	[0.49133242596068205]
rxn05425	[0.49133242596068205]
rxn05400	[0.49133242596068205]
