reaction	linear_coefficient
rxn03253	0.4592477447546805
rxn02720	0.4592477447546805
rxn00946	0.4592477447546805
rxn02679	0.4592477447546805
rxn02803	0.4592477447546805
rxn03251	0.5470112142266795
rxn00872	0.5470112142266795
rxn01451	0.3689980580171857
rxn03242	0.3689980580171857
rxn03239	0.3689980580171857
rxn06777	0.3689980580171857
rxn03244	0.3689980580171857
rxn03249	0.3689980580171857
rxn03246	0.3689980580171857
rxn02122	0.629802249167687
rxn01387	0.0927793198206109
rxn00616	0.34164966809673275
rxn00501	0.5092207117911445
rxn10125	0.8284510086807954
rxn01851	0.46446880101222143
rxn13812	0.23399646050076797
rxn01297	0.526375610923065
rxn01522	0.526375610923065
rxn00288	0.3568155934162567
rxn10126	0.3568155934162567
rJB00270	0.3568155934162567
rxn06493	0.4997730861822607
rxn13808	0.29192532278681826
rxn00623	0.5552157312028153
rxn00506	0.6218463539181007
rxn00779	0.4493028756926976
rxn13726	1.0
rJB00264	1.0
rxn10122	1.0
rxn00604	0.19173076698734068
rxn10902	0.19173076698734068
rxn00671	0.5092207117911445
rxn01115	0.19570871461213382
rxn00338	0.23399646050076797
rxn00248	0.04479532659654346
rxn05353	0.425186568217389
rxn05356	0.425186568217389
rxn05355	0.425186568217389
rxn05354	0.425186568217389
rxn05357	0.425186568217389
rxn05352	0.425186568217389
rxn05351	0.425186568217389
rxn05338	0.05076224803373319
rxn00611	0.11739287074901857
rxn00612	0.11739287074901857
rxn05436	0.05399433047887763
rxn05448	0.05399433047887763
rxn05442	0.05399433047887763
rxn05437	0.05399433047887763
rxn05449	0.05399433047887763
rxn05443	0.05399433047887763
rxn05438	0.05399433047887763
rxn05450	0.05399433047887763
rxn05444	0.05399433047887763
rxn05433	0.05399433047887763
rxn05445	0.05399433047887763
rxn05439	0.05399433047887763
rxn05446	0.05399433047887763
rxn05434	0.05399433047887763
rxn05440	0.05399433047887763
rxn05435	0.05399433047887763
rxn05447	0.05399433047887763
rxn05441	0.05399433047887763
rxn05322	0.05399433047887763
rxn05327	0.05399433047887763
rxn05324	0.05399433047887763
rxn13838	0.05399433047887763
rxn05328	0.05399433047887763
rxn05326	0.05399433047887763
rxn13850	0.05399433047887763
rxn08396	0.05399433047887763
rxn05325	0.05399433047887763
rxn05323	0.05399433047887763
rxn05464	0.05399433047887763
rxn02866	0.2941629183257644
rxn05339	0.26706315013186105
rxn05337	0.26706315013186105
rxn13844	0.26706315013186105
rxn05341	0.26706315013186105
rxn05336	0.26706315013186105
rxn05372	0.26706315013186105
rxn05422	0.26706315013186105
rxn05397	0.26706315013186105
rxn05376	0.26706315013186105
rxn05426	0.26706315013186105
rxn05401	0.26706315013186105
rxn05380	0.26706315013186105
rxn05430	0.26706315013186105
rxn05405	0.26706315013186105
rxn05461	0.26706315013186105
rxn07993	0.26706315013186105
rxn05340	0.26706315013186105
rxn05342	0.26706315013186105
rxn05360	0.26706315013186105
rxn05410	0.26706315013186105
rxn05385	0.26706315013186105
rxn05414	0.26706315013186105
rxn05364	0.26706315013186105
rxn05389	0.26706315013186105
rxn05368	0.26706315013186105
rxn05418	0.26706315013186105
rxn05393	0.26706315013186105
rxn00083	0.30311330048154905
rxn11245	0.7220409097175783
rxn00781	0.04454670486999389
rxn00199	0.0927793198206109
rxn08398	0.44259008907585906
rxn03532	0.5552157312028153
rxn13839	0.5594423005541581
rxn13790	0.4383635197245164
rxn03897	0.5077289814318471
rxn05289	0.5283645847354614
rxn02842	0.4082802908120181
rxn13909	0.5231435284779204
rxn01643	0.09451967190645791
rJB00277	0.23051575632907398
rxn00211	0.5104638204238923
rxn01480	0.19570871461213382
rxn01053	0.46446880101222143
rxn01867	0.629802249167687
rxn01945	0.2740245584752491
rJB00104	0.2740245584752491
rxn21407	0.6917090590785304
rxn08975	0.600713507161387
rJB00263	0.600713507161387
rxn00371	0.08929861564891689
rxn08094	0.5830613645763674
rxn00154	0.7096098233900997
rxn00085	0.167117216058933
rxn00159	0.2623393373274192
rxn00161	0.2623393373274192
rxn10062	0.5373149668912461
rxn13898	0.0273918057380734
rxn01740	0.2091342878458107
rxn00962	0.1330560395216416
rxn00979	0.22678643043083038
rxn00509	0.22678643043083038
rxn01101	0.5378122103443452
rxn00686	0.06170160400191438
rxn00931	0.11192319276492799
rxn04954	0.44035249353691297
rxn01802	0.15443750800490483
rxn01331	0.34164966809673275
rxn03951	0.04653567868239046
rxn02465	0.11789011420211772
rxn00183	0.3041077873877473
rxn13895	0.3041077873877473
rxn01452	0.210128774752009
rxn02270	0.0972545108985032
rxn00508	0.6668468864235733
rxn00500	0.2417037340238047
rxn02939	0.3620366496737977
rxn13682	0.04628705695584089
rxn01241	0.42245172922534374
rxn02933	0.21236637029095518
rxn00907	0.4236948378580916
rxn00992	0.47292193971490687
rxn00086	0.44880563223959846
rxn01475	0.33245066421439856
rxn13834	0.3520917806118148
rxn00629	0.09551415881265621
rxn00546	0.09551415881265621
rxn42682	0.45228633641129246
rxn13925	0.3033619222080986
rxn02774	0.057475034650571646
rxn00198	0.0927793198206109
rxn03492	0.49803273409641363
rxn02285	0.6844990290085929
rxn00077	0.40803166908546856
rxn01268	0.48684475640168295
rxn13705	0.3518431588852652
rxn09896	0.06667403853290581
rxn01045	0.06667403853290581
rxn00935	0.33319652939404726
rxn00638	0.038579783432804146
rxn00763	0.1800455458395108
rxn03958	0.007999311067206758
rxn13906	0.2879473751620251
rxn01302	0.596735559536594
rxn00834	0.3033619222080986
rxn05293	0.18501798037050224
rxn07967	0.19173076698734068
rxn00105	0.041811865877948586
rxn02373	0.20739393575996373
rxn02474	0.052502600119580196
rxn03055	0.25264308999198587
rxn09953	0.6688358602359699
