reaction	linear_coefficient
rxn03253	0.4037799707681081
rxn02720	0.4037799707681081
rxn00946	0.4037799707681081
rxn02679	0.4037799707681081
rxn02803	0.4037799707681081
rxn03251	0.4037799707681081
rxn00872	0.4037799707681081
rxn01451	0.3827346394254021
rxn03242	0.3827346394254021
rxn03239	0.3827346394254021
rxn06777	0.3827346394254021
rxn03244	0.3827346394254021
rxn03249	0.3827346394254021
rxn03246	0.3827346394254021
rxn02122	0.5211704428448537
rxn01387	0.204911243401253
rxn00616	0.2713295368130959
rxn00501	0.450697544311939
rxn10125	0.3792592636073405
rxn01851	0.4611236717661237
rxn13812	0.1913958929976803
rxn01297	0.3840861744657594
rxn01522	0.3840861744657594
rxn00288	0.3313763078918259
rxn10126	0.3313763078918259
rJB00270	0.3313763078918259
rxn06493	0.46015828959443983
rxn13808	0.2819487407016173
rxn00623	0.22112966388554023
rxn00506	0.4611236717661237
rxn00779	0.4916297483913305
rxn13726	0.38717539741514745
rJB00264	0.38717539741514745
rxn10122	0.38717539741514745
rxn00604	0.11126917274792802
rxn10902	0.11126917274792802
rxn00671	0.450697544311939
rxn01115	0.18232130058385296
rxn00338	0.1913958929976803
rxn00248	0.08443154837511943
rxn05353	0.3715362062338704
rxn05356	0.3715362062338704
rxn05355	0.3715362062338704
rxn05354	0.3715362062338704
rxn05357	0.3715362062338704
rxn05352	0.3715362062338704
rxn05351	0.3715362062338704
rxn05338	0.12130914733343914
rxn00611	0.18154899484650594
rxn00612	0.18154899484650594
rxn05436	0.07535695596129205
rxn05448	0.07535695596129205
rxn05442	0.07535695596129205
rxn05437	0.07535695596129205
rxn05449	0.07535695596129205
rxn05443	0.07535695596129205
rxn05438	0.07535695596129205
rxn05450	0.07535695596129205
rxn05444	0.07535695596129205
rxn05433	0.07535695596129205
rxn05445	0.07535695596129205
rxn05439	0.07535695596129205
rxn05446	0.07535695596129205
rxn05434	0.07535695596129205
rxn05440	0.07535695596129205
rxn05435	0.07535695596129205
rxn05447	0.07535695596129205
rxn05441	0.07535695596129205
rxn05322	0.07535695596129205
rxn05327	0.07535695596129205
rxn05324	0.07535695596129205
rxn13838	0.07535695596129205
rxn05328	0.07535695596129205
rxn05326	0.07535695596129205
rxn13850	0.07535695596129205
rxn08396	0.07535695596129205
rxn05325	0.07535695596129205
rxn05323	0.07535695596129205
rxn05464	0.07535695596129205
rxn02866	0.10335303894012117
rxn05339	0.298553314054578
rxn05337	0.298553314054578
rxn13844	0.298553314054578
rxn05341	0.298553314054578
rxn05336	0.298553314054578
rxn05372	0.298553314054578
rxn05422	0.298553314054578
rxn05397	0.298553314054578
rxn05376	0.298553314054578
rxn05426	0.298553314054578
rxn05401	0.298553314054578
rxn05380	0.298553314054578
rxn05430	0.298553314054578
rxn05405	0.298553314054578
rxn05461	0.298553314054578
rxn07993	0.298553314054578
rxn05340	0.298553314054578
rxn05342	0.298553314054578
rxn05360	0.298553314054578
rxn05410	0.298553314054578
rxn05385	0.298553314054578
rxn05414	0.298553314054578
rxn05364	0.298553314054578
rxn05389	0.298553314054578
rxn05368	0.298553314054578
rxn05418	0.298553314054578
rxn05393	0.298553314054578
rxn00083	1.0
rxn11245	0.33543091301289774
rxn00781	0.07748079673899633
rxn00199	0.204911243401253
rxn08398	0.358600085133308
rxn03532	0.22112966388554023
rxn13839	0.07072312153720998
rxn13790	0.5441465385309272
rxn03897	0.4423952576354586
rxn05289	0.43370681809030476
rxn02842	0.4126614867475987
rxn13909	0.4391129582517338
rxn01643	0.10644226188950921
rJB00277	0.24545729461197105
rxn00211	0.08095617255705786
rxn01480	0.18232130058385296
rxn01053	0.4611236717661237
rxn01867	0.5553449717224589
rxn01945	0.5819895196609307
rJB00104	0.5819895196609307
rxn21407	0.258779568581207
rxn08975	0.4516629264836228
rJB00263	0.4516629264836228
rxn00371	0.8598265086715176
rxn08094	0.41169610457591493
rxn00154	0.4240529963734671
rxn00085	0.1886928229169658
rxn00159	0.2147581415524274
rxn00161	0.2147581415524274
rxn10062	0.5802518317519
rxn13898	0.06319314059807664
rxn01740	0.16088981637247343
rxn00962	0.01839940783195005
rxn00979	0.25704188067217615
rxn00509	0.25704188067217615
rxn01101	0.011062503327153451
rxn00686	0.11339301352563229
rxn00931	0.025543235902409894
rxn04954	0.2240258104005915
rxn01802	0.16726133870558627
rxn01331	0.46672288836188947
rxn03951	0.047940102285473185
rxn02465	0.1218883766364494
rxn00183	0.2954640911051899
