reaction	linear_coefficient
rxn03253	[0.31809923297065434]
rxn02720	[0.31809923297065434]
rxn00946	[0.31809923297065434]
rxn02679	[0.31809923297065434]
rxn02803	[0.31809923297065434]
rxn03251	[0.08211234331930968]
rxn00872	[0.08211234331930968]
rxn01451	[0.04664192125515051]
rxn03242	[0.04664192125515051]
rxn03239	[0.04664192125515051]
rxn06777	[0.04664192125515051]
rxn03244	[0.04664192125515051]
rxn03249	[0.04664192125515051]
rxn03246	[0.04664192125515051]
rxn02122	[0.045194148926001154]
rxn01387	[0.7582220210320579]
rxn00616	[0.045194148926001154]
rxn00501	[0.026011165564772214]
rxn10125	[0.23340455171541716]
rxn01851	[0.06618684769866678]
rxn13812	[0.5993290079079163]
rxn01297	[0.045194148926001154]
rxn01522	[0.045194148926001154]
rxn00288	[np.float64(0.43596044261509914)]
rxn10126	[np.float64(0.43596044261509914)]
rJB00270	[np.float64(0.43596044261509914)]
rxn06493	[0.16753091073912155]
rxn13808	[0.40930888970706364]
rxn00623	[0.5758027075592393]
rxn00506	[0.06618684769866678]
rxn00779	[0.4227007837516951]
rxn13726	[0.09803783893995256]
rJB00264	[0.09803783893995256]
rxn10122	[0.09803783893995256]
rxn00604	[0.7470017854811505]
rxn10902	[0.7470017854811505]
rxn00671	[0.026011165564772214]
rxn01115	[0.7234754851324734]
rxn00338	[0.5993290079079163]
rxn00248	[0.7788527767224362]
rxn05353	[0.3684093214085944]
rxn05356	[0.3684093214085944]
rxn05355	[0.3684093214085944]
rxn05354	[0.3684093214085944]
rxn05357	[0.3684093214085944]
rxn05352	[0.3684093214085944]
rxn05351	[0.3684093214085944]
rxn05338	[0.6851095184100157]
rxn00611	[0.7260090867084849]
rxn00612	[0.7260090867084849]
rxn05436	[0.8414689299581457]
rxn05448	[0.8414689299581457]
rxn05442	[0.8414689299581457]
rxn05437	[0.8414689299581457]
rxn05449	[0.8414689299581457]
rxn05443	[0.8414689299581457]
rxn05438	[0.8414689299581457]
rxn05450	[0.8414689299581457]
rxn05444	[0.8414689299581457]
rxn05433	[0.8414689299581457]
