,genes,T5T0_all2metab.log2FoldChange,T5T0_all2metab.padj,T24T0_all2metab.log2FoldChange,T24T0_all2metab.padj,U5U0_all2metab.log2FoldChange,U5U0_all2metab.padj,U24U0_all2metab.log2FoldChange,U24U0_all2metab.padj
1,PA14_00060,-0.034696909,0.815351527,-0.039499276,0.801256145,0.086686175,0.513804014,0.159907727,0.186930349
2,PA14_00070,-0.364448533,0.006720672,-0.052870271,0.842611272,-0.046181023,0.902388963,0.158440939,0.551142695
3,PA14_00120,0.014318994,0.979288835,-0.064710374,0.910936686,-0.09264853,0.887172724,0.089946255,0.984202384
4,PA14_00250,-1.565876458,0.059767547,-1.918930354,0.016108179,-1.578228785,0.069021702,-0.49673791,0.871273151
5,PA14_00280,-0.531319559,0.480880289,-0.060654244,0.967747441,-0.280583877,0.827370795,0.015951319,0.999076502
6,PA14_00290,0.334083571,0.003491908,0.357606804,0.0018167,-0.220826139,0.107029917,0.212908309,0.218544153
7,PA14_00440,0.015757259,0.926955647,0.063096334,0.607019238,0.036358756,0.848640715,0.107672061,0.449209537
8,PA14_00450,0.320487653,6.12E-12,0.229991325,2.60E-06,0.262101483,1.64E-07,0.183840995,0.003377264
9,PA14_00640,-2.029578,1.01E-09,-3.1489732,2.04E-22,-0.318411381,0.625906639,-0.177740524,0.944371322
10,PA14_01250,-0.609153242,0.410381767,0.430618482,0.625302258,0.292137969,0.821948221,0.081393136,0.999076502
11,PA14_01460,-0.397615163,0.000950641,-0.334271877,0.008167102,0.325622927,0.012505122,0.266075557,0.121999357
12,PA14_01580,1.192930369,0.060966647,0.719150864,0.338327491,-0.935099095,0.199984812,-1.425058839,0.063355433
13,PA14_01600,-0.710067692,0.352016051,-0.396748985,0.688673071,-0.078084887,0.971469942,-0.182103514,0.996352322
14,PA14_01620,-0.497132103,0.612698662,-0.558930561,0.572775383,1.096169984,0.179737232,1.10189676,0.28845413
15,PA14_01760,0.282210937,0.842145789,0.147632219,0.940461896,0.667502985,0.622380748,-0.41363425,0.923132543
16,PA14_01830,0.366396009,0.762267371,1.257409548,0.124243466,0.375590396,0.818483797,0.447794113,0.885988954
17,PA14_01900,-0.281113936,0.794758525,-0.596505615,0.491169851,0.170615711,0.924440218,0.586241112,0.687511682
18,PA14_01910,-0.394766192,0.554690588,-0.347175164,0.643899441,-0.799942049,0.164727545,0.016175774,0.999076502
19,PA14_02070,0.01069342,0.990390622,-0.162778688,0.828114325,0.226702503,0.779831912,-0.078389912,0.999076502
20,PA14_02330,0.200078051,0.851290316,0.25993298,0.810557685,0.066352286,0.973863352,0.268384376,0.948689765
21,PA14_02340,-1.590591303,0.082999818,-1.779196052,0.047436433,-0.645159263,0.679305455,-0.487122625,0.905186853
22,PA14_02450,0.464893296,0.780394956,0.596471162,0.715762455,0.490993059,0.826415897,-0.682611759,0.843862979
23,PA14_02470,-0.011533972,0.9334108,0.027567242,0.828404195,0.203960594,0.002027075,0.263164555,0.000358416
24,PA14_02550,-0.205018695,0.882198086,-0.043819649,0.979494677,0.229018732,0.906698307,0.321242498,0.953465299
25,PA14_02570,-1.160540158,0.126860029,-0.435960507,0.695540803,-0.140942895,0.948059568,-0.679707667,0.646168534
26,PA14_02580,-0.363963499,0.688782599,0.012707237,0.995083909,-0.54631378,0.576357514,-0.982254265,0.275397121
27,PA14_02590,-0.467200085,0.522731269,-0.565511698,0.429435422,0.70034111,0.321205254,0.521869129,0.661840944
28,PA14_02630,1.264010856,0.000537225,1.283624601,0.000512605,1.126627506,0.003364445,0.098218474,0.999076502
29,PA14_02640,-0.001063928,0.996734921,0.029373968,0.955810107,0.257232794,0.364605275,0.271100618,0.459869724
30,PA14_02680,0.255098597,0.816540017,-0.049576832,0.977000036,-1.246700848,0.073380379,-0.550988851,0.723190467
31,PA14_02790,0.373372376,0.073927617,0.343937253,0.10944066,0.159569641,0.645701657,0.065664731,0.990151722
32,PA14_02810,-0.226344484,0.680017735,-0.348971123,0.483977316,0.452855836,0.350581593,0.371699308,0.626052478
33,PA14_02830,-2.193414512,0.0027147,-3.089134323,1.01E-05,-0.089186967,0.972331469,0.215383775,0.999076502
34,PA14_02840,0.475281746,0.667783263,0.475186752,0.690161043,0.160857652,0.943932643,-0.113165179,0.999076502
35,PA14_02850,0.290765237,0.440720261,0.291141384,0.458766568,0.513689134,0.127977825,0.241770433,0.756161012
36,PA14_02900,-0.623126206,0.008717876,-0.236926574,0.467104366,0.092463226,0.877838509,-0.169741449,0.835581033
37,PA14_02990,-0.194433789,0.541245507,-0.133237377,0.733915088,-0.266020413,0.415234649,-0.013556262,0.999076502
38,PA14_03000,0.333485497,0.696818755,0.588366643,0.424919565,0.287010524,0.816005068,-1.170575804,0.119290871
39,PA14_03030,0.114263978,0.664324475,-0.026447115,0.951640997,0.29092461,0.165266721,-0.410512103,0.070853545
40,PA14_03050,-1.694036782,0.013706842,-2.426777846,0.000186766,-0.512370551,0.687761171,0.14737274,0.999076502
41,PA14_03130,0.08284922,0.905393432,0.077045532,0.926420291,-0.331043242,0.551463284,-0.006840802,0.999076502
42,PA14_03450,0.733089167,0.047146133,0.747169574,0.04456026,-0.055612781,0.96329296,0.132838022,0.978369267
43,PA14_03550,-0.30169765,0.816697834,-0.394900479,0.761655065,0.688785703,0.569996111,0.70565889,0.676981662
44,PA14_03650,-0.900579298,0.300286435,-1.296552146,0.098071851,-0.71677068,0.520835103,-0.321895973,0.954304455
45,PA14_03670,0.148375647,0.904331461,0.020449554,0.990085152,0.430615476,0.715747574,-0.482308466,0.787959785
46,PA14_03680,0.116636841,0.933356071,0.049542469,0.977514234,0.23122002,0.893269506,-0.821019114,0.479616494
47,PA14_03700,-1.210584229,0.099784345,-2.41000481,0.000157028,-0.069314927,0.976200215,0.21455382,0.994030799
48,PA14_03770,0.10956598,0.932283274,0.087981712,0.951944644,0.020016744,0.991093299,0.133936183,0.999076502
49,PA14_03810,-0.14302202,0.836102211,0.399531977,0.431536046,0.187205794,0.830200989,0.092676285,0.999076502
50,PA14_03830,-0.208467424,0.871534413,-0.051210267,0.977514234,-0.671723078,0.52093047,-0.299813543,0.955526702
51,PA14_03860,-0.027360071,0.963161522,-0.222352703,0.588821712,0.467808782,0.155341676,0.313309202,0.564913279
52,PA14_03880,-1.174115022,0.163235294,-1.475874062,0.06437645,-2.045158081,0.006551407,-1.046561508,0.392609994
