"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PA14_00010",1119.82068129082,-0.273950125682438,0.0668028196251996,-4.10087668783216,4.11587855708658e-05,0.000437779810162846
"PA14_00020",690.807859394379,0.685292869042821,0.124303755133033,5.51305041677465,3.5266715284203e-08,7.46066711159911e-07
"PA14_00030",799.083326803196,-0.652308992524286,0.157972102543642,-4.12926701627001,3.63921566489903e-05,0.000392173372309514
"PA14_00050",1178.21488079228,0.673446572464489,0.0793959036241212,8.48213247439997,2.21103616479501e-17,2.14845259877454e-15
"PA14_00060",1412.96648470534,-0.0214247347041467,0.0683743984849808,-0.313344397594268,0.754019022802901,0.897237499073832
"PA14_00070",930.261472105178,-0.34940658488196,0.110755494995507,-3.15475620325776,0.00160632272437206,0.0104504207967952
"PA14_00080",1272.93039688465,0.254209652414016,0.218413117637677,1.16389370365438,0.244467091537977,0.478991741554075
"PA14_00090",495.104486802126,1.37909914628539,0.279434089627084,4.93532892900024,8.00157898874374e-07,1.33351896344383e-05
"PA14_00100",1171.29259979443,-0.149705402364281,0.380996539657928,-0.392931133964345,0.694370345659829,0.873179467354201
"PA14_00110",934.942226460937,0.473678505653084,0.573028772920946,0.82662255027538,NA,NA
"PA14_00120",1665.43621527153,0.0172160993448743,0.219522677741852,0.0784251518884969,0.937489866829543,0.978272553064029
"PA14_00130",984.272579614495,-0.443430246581007,0.154314462219058,-2.87354950536996,0.00405887460655007,0.0221403692857769
"PA14_00140",895.703896658849,0.131701931416813,0.502308763686585,0.262193178654132,0.793172512134216,0.915002359362655
"PA14_00150",577.974946136396,0.0339607626373796,0.629095525646115,0.0539834750890973,0.956948330010691,0.98389253514191
"PA14_00160",1392.22390507482,0.0877277442223729,0.0666271059354131,1.3166975060783,0.187940039918492,0.405365029666183
"PA14_00170",358.314646720828,0.874759701186913,0.354783086589408,2.46561838557788,0.0136776968295457,0.0589489815935228
"PA14_00180",1217.5245853623,-0.369140984502593,0.538837231570088,-0.685069558810875,0.493300028408843,0.735906599757455
"PA14_00190",1106.43304293892,0.681106658044723,0.154955565986875,4.39549656514057,1.10519811766189e-05,0.000136553896736113
"PA14_00200",808.778209147075,-0.430648720263856,0.104193981701315,-4.13314390363125,3.57834523510267e-05,0.000387068928921577
"PA14_00210",473.401031328207,-1.58563402899905,0.7975960923881,-1.98801629563087,0.0468098877560611,0.15361252805123
"PA14_00230",1480.97168084801,-0.210142114748958,0.537608886299489,-0.390882889223473,0.695883802222197,0.873932494663714
"PA14_00240",1359.66616613924,0.219992559274073,0.0555333090752824,3.96145237763241,7.44952413059937e-05,0.000738894841535055
"PA14_00250",1006.16652324356,-1.58681404721275,0.680538758430845,-2.33170268049325,0.01971633771276,0.0782782299911726
"PA14_00280",1214.10612481056,-0.627736631617568,0.490811638898553,-1.27897666205776,0.200905274357231,0.42453799142768
"PA14_00290",1117.76352026123,0.332768974349551,0.101954474415474,3.26389769804008,0.00109890836689633,0.00754496008073849
"PA14_00300",799.496371074567,0.00414268124319796,0.154452229264196,0.0268217640038835,0.978601894296485,0.992450850875951
"PA14_00310",992.896580009716,0.088743280962092,0.225574664006785,0.393409788962038,0.694016840806019,0.87292640376062
"PA14_00320",1272.12715977623,-0.0126946628293711,0.322752555076106,-0.0393324936695782,0.96862530045065,0.988804994210038
"PA14_00340",616.017659468598,-0.499908907345651,0.776122446626161,-0.644110873894677,0.519503539590492,0.757097564441197
"PA14_00360",537.405707810476,-1.12920388942977,0.628091618857347,-1.79783307964541,0.0722034635208288,0.211087433128461
"PA14_00380",559.271739594883,-0.663036886999368,0.749801313499132,-0.884283442909887,0.376543223827149,0.626320869066593
"PA14_00400",716.480834082916,0.785349564857553,0.198524586551033,3.95593099324082,7.62371670600666e-05,0.000752267949664995
"PA14_00410",1610.69169538894,0.288201945017067,0.463309493636057,0.622050592478163,0.533908601412964,0.766374064071237
"PA14_00420",884.341339385022,-0.0593544847686182,0.20711449303361,-0.286578133182531,0.774435359641977,0.907942314279642
"PA14_00430",1229.03495495473,-0.0572531754276849,0.172171492486844,-0.332535744452931,0.739484753662762,0.89206113048436
"PA14_00440",1586.71327422513,0.00561738020473778,0.0676307550022601,0.0830595518939579,0.933804187581172,0.9776699878025
"PA14_00450",1336.56934008877,0.329336078866375,0.0441265120176805,7.46345142200266,8.42849605158024e-14,4.69131726832131e-12
"PA14_00460",585.100861018351,-0.17741389568119,0.301907039477771,-0.58764411716956,0.556771192287546,0.785039165121619
"PA14_00470",1350.37335121701,-0.772468961516569,0.243666285094298,-3.17019222096165,0.00152338124370576,0.00996979985178665
"PA14_00480",873.52611977094,0.74534818544244,0.547821560343484,1.3605674537072,0.173650422688845,0.386917168004333
"PA14_00490",1119.44704982028,-0.961131927926402,0.468251740014012,-2.05259659664616,0.0401117179071864,0.135589904930365
"PA14_00510",380.394701049023,-0.0670015852187427,0.251494275482002,-0.266413957495973,0.789920417018715,0.914479102650425
"PA14_00520",1091.46953210768,-0.832445502649569,0.210215229494679,-3.95996762294826,7.49599256123432e-05,0.000742219781581285
"PA14_00530",1497.59338598228,-0.325520797829008,0.0681867666518834,-4.7739585525576,1.80639573926414e-06,2.78388891752724e-05
"PA14_00550",1089.84792835119,0.323931731248154,0.111181109832361,2.91355007821543,0.00357344517008555,0.0199821835672687
"PA14_00560",1191.6382425625,-0.593881251434206,0.584048393643491,-1.01683569015467,0.309231600639163,0.556093088602359
"PA14_00570",1330.1529106974,-1.94593706474447,0.44519244621479,-4.37100198192856,1.23677670161931e-05,0.000151505145948365
