"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PA14_00010",1119.82068129082,-0.0826449955718215,0.0645379790963561,-1.28056373516796,0.200346944672191,0.792045919719114
"PA14_00020",690.807859394379,0.223911057559024,0.12062740801371,1.8562204166202,0.0634221471370292,0.49436980604267
"PA14_00030",799.083326803196,-0.191289301001473,0.152330757259525,-1.25574968865661,0.209206737772328,0.802663819241627
"PA14_00050",1178.21488079228,-0.0968455919217618,0.0774538743926612,-1.25036471940438,0.211166346370814,0.802672207765978
"PA14_00060",1412.96648470534,0.0715740047821496,0.0661049861826854,1.0827323159005,0.278927255743031,0.884729772331375
"PA14_00070",930.261472105178,-0.0523981068466775,0.106860968574344,-0.490339059674758,0.623893991754388,0.999660284501562
"PA14_00080",1272.93039688465,-0.0359754286092298,0.21100633413606,-0.170494543476748,0.864621225217125,0.999660284501562
"PA14_00090",495.104486802126,-0.00587421846514959,0.270671944614305,-0.0217023543888898,0.982685385685375,NA
"PA14_00100",1171.29259979443,0.0605529935318529,0.367763104192618,0.164652171034911,0.869217765023477,0.999660284501562
"PA14_00110",934.942226460937,-0.649599200519561,0.553395728787536,-1.17384209296809,NA,NA
"PA14_00120",1665.43621527153,0.117722418128648,0.211928989180518,0.555480487043581,0.578566053269834,0.999660284501562
"PA14_00130",984.272579614495,-0.226490255188324,0.148977016092766,-1.52030334026352,0.128434754924131,0.660881357970948
"PA14_00140",895.703896658849,-0.375621751879065,0.48499621744864,-0.774483879183743,0.438644697777566,0.997031517795177
"PA14_00150",577.974946136396,0.632311726567166,0.607169964881846,1.04140811163183,0.29768617943255,0.904915801361186
"PA14_00160",1392.22390507482,-0.0313152883953492,0.0645902130655162,-0.484830238345629,0.627796771185517,0.999660284501562
"PA14_00170",358.314646720828,-0.402545395108769,0.343569153341263,-1.17165755771132,0.241334569425801,NA
"PA14_00180",1217.5245853623,-0.372497927427212,0.520141454900724,-0.716147355527177,0.473900365601702,0.999660284501562
"PA14_00190",1106.43304293892,-0.239433640189087,0.15008019105783,-1.59537137114135,0.110629214093797,0.622810513273591
