"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PA14_00010",1119.82068129082,0.00964870463910485,0.0708691437179437,0.136148175819738,0.891704143271498,0.995829170778993
"PA14_00020",690.807859394379,0.464031154757356,0.132388176871845,3.50508002845715,0.000456470048435499,0.0121154758688922
"PA14_00030",799.083326803196,0.391019196525302,0.166248727136177,2.35201317484382,0.0186721135724891,0.144658415014973
"PA14_00050",1178.21488079228,0.0911486621278777,0.0851779987985775,1.07009630906473,0.284575960321774,0.688967052586458
"PA14_00060",1412.96648470534,0.228157044702174,0.0727070317667313,3.13803272060643,0.00170085888907303,0.0298196452937483
"PA14_00070",930.261472105178,0.27365986813196,0.116933089796651,2.34031161417065,0.0192676561341347,0.147478601624825
"PA14_00080",1272.93039688465,0.154176495249726,0.229218344806877,0.672618482519906,0.501190040210284,0.875380391322764
"PA14_00090",495.104486802126,0.759583177387169,0.295793466478008,2.56795116684446,0.0102301566518369,0.0999139490374465
"PA14_00100",1171.29259979443,-0.0318502827035194,0.399097868004598,-0.0798056949358408,0.936391794870224,0.995829170778993
"PA14_00110",934.942226460937,-2.11581675046877,0.600128412873091,-3.52560669530607,NA,NA
"PA14_00120",1665.43621527153,0.108565371792802,0.230082875828428,0.471853332856283,0.637031479986564,0.943938061841916
"PA14_00130",984.272579614495,0.036973401812438,0.162119482442821,0.228062668689301,0.819597521407225,0.991847216088761
"PA14_00140",895.703896658849,-0.845984777098896,0.526178962931009,-1.60778905410139,0.107881386548712,0.415853012520881
"PA14_00150",577.974946136396,0.757047191877067,0.658967294400765,1.14883879413999,0.250622459449865,0.648953275091984
"PA14_00160",1392.22390507482,-0.00971435978492927,0.0709301143041624,-0.136956776120114,0.891064960743468,0.995829170778993
"PA14_00170",358.314646720828,0.363293891291284,0.374427613175144,0.97026468804091,0.331914573906002,0.737462007905271
"PA14_00180",1217.5245853623,-0.281466242917541,0.564381559751727,-0.498716228505691,0.617979310240933,0.933444446984578
"PA14_00190",1106.43304293892,-0.00437037203831889,0.163514234605136,-0.0267277772413681,0.978676858008066,0.998561849686075
"PA14_00200",808.778209147075,-0.00395714921457579,0.110134596991551,-0.0359301193509552,0.971338079597885,0.998561849686075
"PA14_00210",473.401031328207,-0.0854999026429756,0.835168146771907,-0.10237447749109,0.918459441228839,0.995829170778993
"PA14_00230",1480.97168084801,0.0729229782243377,0.563064767500485,0.129510817286707,0.896953466080964,0.995829170778993
"PA14_00240",1359.66616613924,0.0764555260987052,0.0596065564538804,1.28266973714312,0.199607806653627,0.573996971962777
"PA14_00250",1006.16652324356,-0.394418797123628,0.712360288620032,-0.553678810321793,0.579798679455722,0.91556032936345
"PA14_00280",1214.10612481056,-0.0205401249194063,0.514008314791467,-0.0399606860985107,0.968124469189669,0.998068257842901
"PA14_00290",1117.76352026123,0.255599830688606,0.108367026997823,2.35864946902845,0.0183415717626439,0.14267602566518
"PA14_00300",799.496371074567,0.202413275581839,0.162933193191217,1.24230840639261,0.214122794936054,0.597065167007975
"PA14_00310",992.896580009716,-0.217660974833191,0.236885782737718,-0.918843555394742,0.358177406955124,0.761658410264734
"PA14_00320",1272.12715977623,-0.132030653268203,0.338181379478884,-0.390413728489883,0.696230637864438,0.965293892835991
"PA14_00340",616.017659468598,-0.769160245418736,0.812809219455558,-0.946298623352158,0.34399629533217,0.748720866036191
"PA14_00360",537.405707810476,-1.79197576409527,0.658208041308156,-2.72250664172046,0.00647887311115854,0.0741384821282873
"PA14_00380",559.271739594883,0.51179342146175,0.785451548861634,0.651591332658901,0.514664840553467,0.880424766062021
"PA14_00400",716.480834082916,0.497070525006847,0.209414770866631,2.37361730956129,0.0176147965874679,0.139711722304861
"PA14_00410",1610.69169538894,0.182348193835481,0.485177073663297,0.375838438652249,0.70703700937727,0.971815673641787
"PA14_00420",884.341339385022,0.134621626737161,0.217994961079245,0.617544671999203,0.536875525537753,0.889568609221947
"PA14_00430",1229.03495495473,0.0856253252692761,0.180807746493695,0.47357111036314,0.635805780809752,0.943098199581452
"PA14_00440",1586.71327422513,0.152177120285194,0.0716992153932935,2.12243773450592,0.0338009962535774,0.203980117391325
"PA14_00450",1336.56934008877,0.221397189143862,0.04800019014806,4.61242316876136,3.98001679012819e-06,0.000447400710937351
"PA14_00460",585.100861018351,-0.119630011302283,0.316997506516397,-0.37738470758632,0.705887729775129,0.970701452338886
"PA14_00470",1350.37335121701,0.0527546945388985,0.255127519869215,0.20677775006766,0.836183433486509,0.993529082107812
"PA14_00480",873.52611977094,-0.177148650763946,0.574021071215506,-0.308610013895183,0.757618202480175,0.981190567373703
"PA14_00490",1119.44704982028,-0.0919770166750774,0.490375500385985,-0.18756446152526,0.851218087331267,0.994212556556914
"PA14_00510",380.394701049023,-0.0491581702168467,0.264495230437351,-0.185856546961403,0.852557258908462,0.994805380417494
"PA14_00520",1091.46953210768,-0.523245948465861,0.22023269133806,-2.37587773770912,0.0175072626758388,0.139709668765631
"PA14_00530",1497.59338598228,-0.0221740761373279,0.0718949459360126,-0.308423295248919,0.757760258331775,0.981190567373703
"PA14_00550",1089.84792835119,0.0478148710002533,0.117630625365176,0.406483182860037,0.684387611095692,0.962640889906758
"PA14_00560",1191.6382425625,-0.232948439263482,0.611661837113103,-0.380845142085277,0.703318160427301,0.970051465857705
"PA14_00570",1330.1529106974,-0.0148924417524749,0.465871297253716,-0.0319668583153009,0.974498480615702,0.998561849686075
"PA14_00580",1466.70406724175,0.215075556889218,0.363788697135117,0.591210113406396,0.554379647280327,0.900174900812853
"PA14_00590",1323.58422962221,0.0500627838176983,0.633093914219963,0.0790763940281765,0.936971859541844,0.995829170778993
"PA14_00600",1143.59238289369,-0.125056833874032,0.734820851851061,-0.170186833374428,0.864863206113385,0.995829170778993
"PA14_00620",1133.76737237088,0.47170646039918,0.58187078034221,0.810672191034854,0.417553947335129,0.816955100646569
"PA14_00630",866.495469656956,-0.733764443081395,0.797309224421001,-0.920300958030743,0.357415508580643,0.760782536106329
"PA14_00640",1109.2566539054,-0.166196669020316,0.342636476882252,-0.485052468822315,0.627639127140131,0.939386508269863
"PA14_00650",735.338470863827,-1.44687451730695,0.521992086348382,-2.77183228471647,0.00557417481785686,0.0674192916261042
"PA14_00660",1184.11993853812,-0.339088534711701,0.565313443446655,-0.599823935981984,0.548623579422418,0.896926560188289
"PA14_00670",732.543440622713,0.13043027479789,0.254654980478641,0.51218426811342,0.608522052271408,0.927665032845072
"PA14_00680",1068.78537829009,-0.26073675091986,0.876304101213148,-0.297541402075944,0.766053204097402,0.982792045106262
"PA14_00690",1419.42818591213,-0.118593123407181,0.530360448302259,-0.223608536018872,NA,NA
"PA14_00700",1555.3982386173,0.0261528627209302,0.470930318384666,0.0555344638048297,0.955712674158229,0.996726413504703
"PA14_00710",1098.11142538462,0.378175265762274,0.251748665234379,1.50219372726442,0.133047084349395,0.465530346722823
"PA14_00720",1035.75933925676,-2.50714964264962,0.685171102489897,-3.65915846937895,0.000253044834131775,0.00797091227515093
"PA14_00730",1415.62995160196,-0.757426366425851,0.835869143585989,-0.906154237464003,0.36485422102627,0.766271439058265
"PA14_00740",1085.68847274062,0.0186143834908961,0.15177651838723,0.122643368609925,0.902389510472362,0.995829170778993
"PA14_00750",1434.07698144443,0.110971752030351,0.0633037048055455,1.7530056474772,0.0796010376944794,0.348095155684554
"PA14_00760",1254.61624774475,0.0725121499870846,0.0647045742774432,1.12066497302283,0.262430497133817,0.666894521306814
"PA14_00770",446.928698403072,0.468146421941297,0.373279618834417,1.25414407409412,0.20978964307311,0.591077203930608
"PA14_00780",1398.22037709981,0.0731986498957211,0.0559198415490417,1.30899244110922,0.190536911222086,0.560613706128643
"PA14_00790",1090.46802616951,0.261992639350049,0.582635777073941,0.449667956653475,0.652949879617683,0.952811445854928
"PA14_00800",1325.44932860343,0.0697133781225662,0.388034292987384,0.179657776084324,0.857421243790478,0.995775738517545
"PA14_00810",1549.2731674661,0.144710730576017,0.395827826913524,0.365590089267858,0.71467097153147,0.972683411911498
"PA14_00820",1204.36611439782,0.0803871147577831,0.0844976773132055,0.951352952103217,0.341425234965062,0.744920108776127
"PA14_00830",852.461172266567,-0.0311172139523117,0.734005313928136,-0.0423937175410672,0.96618483652462,0.997539242797435
"PA14_00850",1078.68791028503,-0.552546273316025,0.178975221305573,-3.08727805606474,0.00201998551166009,0.0332775199377796
"PA14_00860",847.815456483014,-0.629893311172617,0.284810837375784,-2.21161988418835,0.0269929403313233,0.179942473162182
"PA14_00875",1065.40638635866,0.482109566629561,0.786615786853312,0.61289078440459,0.539948557155851,0.891613135488555
"PA14_00890",932.05868899403,-0.338970995197496,0.512227597120004,-0.66175855635924,0.508125970408786,0.877847177195747
"PA14_00900",1543.13587613415,-0.162408351917775,0.248644163597056,-0.653175805811266,0.513642945925561,0.879544506867158
"PA14_00910",881.517225536997,-0.0627457709625423,0.147818693813273,-0.424477915099181,0.671217308353393,0.961161272941088
"PA14_00925",1419.04390360871,-0.0345950937212783,0.594483788574348,-0.0581935023059957,0.95359449636169,0.996726413504703
"PA14_00940",1276.25073831774,-0.149382654693171,0.717733912672489,-0.208130968950517,0.835126706871825,0.993529082107812
"PA14_00960",1441.76569854431,0.0702277348347987,0.0857034505204849,0.819427157346633,0.412542745831712,0.812495406968832
"PA14_00970",506.324273268445,-0.413100557476395,0.61310561386179,-0.673783681206871,0.500448851200783,0.875380391322764
"PA14_00980",704.526881702771,0.148732659103733,0.226095498275767,0.657831138779797,0.510646643005659,0.878632358364503
"PA14_00990",1453.55481146774,-0.218106793719649,0.660340284272763,-0.33029454497063,0.741177414359544,0.980334903051948
"PA14_01010",1126.46542712457,-0.206932392955158,0.768220817196281,-0.269365771303078,0.787648223547289,0.985443592330858
"PA14_01020",1339.11028570192,0.0563192481426383,0.0718032343733755,0.784355309814865,0.432831653579972,0.827850509638781
"PA14_01030",1211.95851100463,0.174858183918552,0.0837930315102659,2.08678670250913,0.0369074196814191,0.216571378744704
"PA14_01040",503.356074787453,-1.03022704571532,0.593320653025762,-1.73637482609355,0.0824975804555167,0.35421480742688
"PA14_01060",934.527302019203,-0.552857526354308,0.301651555218393,-1.83276869218872,0.0668369768961331,0.313052605020859
"PA14_01070",1536.9095593254,0.189518587600001,0.462352865074708,0.409900320547117,0.681879070229603,0.962640889906758
"PA14_01080",1193.31242495497,-0.195221145497905,0.16067663184549,-1.21499401160982,0.224368375368436,0.609333915673731
"PA14_01100",1485.80540635521,-0.0573387331159318,0.0599720507322923,-0.95609091928313,0.339026302154503,0.742696901127919
"PA14_01110",411.69061359478,-1.77064720025311,0.578787113086716,-3.05923742982133,0.00221901209219955,0.035222520194255
"PA14_01120",1417.38157417637,0.23385369687267,0.43194150127227,0.541401315187037,0.588231000892315,0.918640241927443
"PA14_01130",1622.75612279878,0.154823546316447,0.520973385926878,0.297181296585806,0.766328100352714,0.982792045106262
"PA14_01140",375.400469102523,0.0735286482329718,0.316071591585675,0.232632891377841,0.816046484293879,0.991417990843513
"PA14_01150",533.866773989672,0.27599720776666,0.27505172230029,1.00343748244317,0.315649826817873,0.719817206502332
"PA14_01160",1139.52387265743,0.370729664864344,0.0856901698931705,4.32639666050996,1.5156837750355e-05,0.00128833666700025
"PA14_01170",1256.89468982902,-0.254122870666315,0.199911329090121,-1.27117793585253,0.203665354143747,0.580116872073383
"PA14_01180",1107.73627567615,0.643408554423516,1.02492411590723,0.62776213813058,0.530159772447117,0.885887464807601
"PA14_01190",1623.85666095346,-0.13817827212193,0.607000389201494,-0.227641159017546,0.819925219624714,0.991847216088761
"PA14_01200",558.077415052916,0.0166368553085721,0.61727454430799,0.0269521163021929,0.978497925796872,0.998561849686075
"PA14_01220",815.377553686094,0.313841662274075,0.115054841446947,2.72775711414795,0.00637665411932545,0.0734083495303069
"PA14_01230",564.714506414222,-0.699503722917882,0.333903901926102,-2.09492527305863,0.0361776358220822,0.213821016668038
"PA14_01240",1151.70567000934,0.201604300640172,0.523940001204149,0.384785090233296,0.700396646495885,0.969099625675886
"PA14_01250",1337.17673520782,0.0391111277380898,0.457607437516835,0.0854687326550521,0.931888752217108,0.995829170778993
"PA14_01270",1016.76087563145,0.199765554395137,0.109541346869346,1.82365435613463,0.0682043434011449,0.316355583105796
"PA14_01290",1338.4258658431,0.125368632539718,0.571936446577447,0.219200285783399,0.826494032873147,0.991979193391101
"PA14_01300",752.449421379108,-1.4770459961746,0.848650500198533,-1.7404644147727,0.0817775033158736,0.353081635030821
"PA14_01310",836.19708849429,0.290346218480895,0.226325947099282,1.28286757308268,0.199538475175265,0.573996971962777
"PA14_01320",858.589537952993,-1.57021132297421,0.691648718654304,-2.27024395567343,0.0231927853950106,0.164907771330558
"PA14_01330",582.578899152698,0.427403827153801,0.441631439595159,0.967783968337036,0.333152272000059,0.738577716696187
"PA14_01340",1583.84332816936,-0.0958674769509785,0.437186542458443,-0.219282772090569,0.826429781215143,0.991979193391101
"PA14_01350",866.646958162129,0.3171636401523,0.248477354244778,1.27642875591736,0.201803996480747,0.577604748788877
"PA14_01360",573.78319903157,1.11278474272771,0.48444215554882,2.29704357885009,0.0216162838558905,0.157067370527022
"PA14_01380",583.542725261556,-1.94161252915052,0.681640495280235,-2.84844069945153,0.00439340401460409,0.0576835249807969
"PA14_01390",1266.04061025367,-0.0124285057455237,0.147079590627993,-0.0845019060255548,0.932657387474147,0.995829170778993
"PA14_01400",1045.41726939636,0.110675826525531,0.0937192178122239,1.18092990006896,0.237630572145105,0.628964021287112
"PA14_01410",1410.34771012952,-0.000252755115148345,0.659214490883685,-0.00038341862723546,NA,NA
"PA14_01430",663.154091260883,-0.303241845104518,0.395500126515392,-0.766730083694971,0.443242013221249,0.834130046667521
"PA14_01440",513.482614174438,0.117177845593956,0.447189847210752,0.262031542810793,0.793297123911902,0.986439912279853
"PA14_01460",793.842422456993,0.260988857616108,0.104215105770572,2.50432848181021,0.0122684073232418,0.113443192232492
"PA14_01470",1694.3291610117,0.0806094178668696,0.527377356505979,0.152849599764634,0.878516882304508,0.995829170778993
"PA14_01480",687.804182866896,0.035499709004291,0.140964207950375,0.251834912709107,0.801168670365607,0.986709391100052
"PA14_01490",996.261392201277,0.354178113075426,0.567925018386234,0.62363534200664,0.532867094862627,0.886771278620447
"PA14_01500",1232.97775647807,-0.0722845582758713,0.0913638298153751,-0.791172594471373,0.42884328153517,0.822961360018111
"PA14_01510",1503.18820983101,0.134790432798452,0.652521947088109,0.206568427927914,0.83634691929144,0.993529082107812
"PA14_01520",825.769023253967,-0.194496070310803,0.542479922873126,-0.358531370673955,0.719945695712816,0.975064652379299
"PA14_01540",575.773377162231,-0.249542497186001,0.67118283684065,-0.371795110793703,0.710045404188125,0.972329159009816
"PA14_01550",525.047721430259,0.864067953736054,0.314812792905535,2.74470406923816,0.0060565485637622,0.0718885981698731
"PA14_01560",619.788607031803,0.497272878063245,0.57763975003149,0.860870253538015,0.389309506523776,0.789531589894062
"PA14_01580",654.447826136606,-1.70999306564817,0.511622148665826,-3.34229679091763,0.000830881681271797,0.0178406167742742
"PA14_01600",1418.88908688292,-0.226542249588477,0.524667682808519,-0.431782358646158,0.665899602431261,0.959895843470752
"PA14_01610",1031.67905050177,-0.37295400302817,0.172057203925211,-2.16761631899054,0.0301878910747724,0.1922968661463
"PA14_01620",1251.03359861512,1.18224376604526,0.55023702043185,2.14860818546412,0.0316654722772261,0.19668272217263
"PA14_01640",872.283853430867,0.0885624737014022,0.157040374092851,0.563947164625572,0.572790090318248,0.913182866461212
"PA14_01660",1431.40137669412,-0.10928732975992,0.730396584557852,-0.149627383356505,NA,NA
"PA14_01670",1431.59439855031,0.109967245757945,0.117705100316504,0.934260668928096,0.35016944734365,0.755911280994868
"PA14_01680",1394.30439026279,0.0855418017024555,0.333775371895586,0.256285540831381,0.797730361254171,0.986709391100052
"PA14_01690",460.187039794669,-1.06518734960269,0.524167724550561,-2.03214982478369,0.04213849063139,0.235356392113152
"PA14_01710",1471.46023695035,-0.149964128063318,0.511001535026793,-0.293470993302311,0.769162167908779,0.982792045106262
"PA14_01720",1240.87109951809,1.07726518216936,0.525294748142165,2.05078231979164,0.0402881500797496,0.228007862198622
"PA14_01730",972.134268867162,0.320933342611545,0.286822109663473,1.11892818509735,0.263170777624917,0.668479427613492
"PA14_01750",1526.22071802166,0.179024536426681,0.607658572455128,0.294613693514381,0.768289000329344,0.982792045106262
"PA14_01760",1141.43133138123,-0.458986628867553,0.694462769057113,-0.660923305493726,0.508661499297178,0.877847177195747
"PA14_01770",497.214109296927,0.214859237368423,0.24361388639831,0.881966297344506,0.377795033069104,0.777980935555019
"PA14_01780",1406.36035131424,-0.312033402730756,0.684602680616481,-0.455787585362317,0.648542732290162,0.950676421431731
"PA14_01790",1261.35366482898,0.118673404657649,0.0718630434641575,1.6513829492462,0.0986604042292561,0.39299918922881
"PA14_01800",971.177815030959,-0.286663770918031,0.851472817559061,-0.336668141373928,0.736367082215127,0.979896806539878
"PA14_01810",1179.69241663349,0.199986695060261,0.0676773481776978,2.95500193853878,0.00312667086311719,0.0444794145366026
"PA14_01830",1428.3572696088,0.432228102104126,0.667431447796934,0.647599245631638,0.51724418532541,0.88149848824928
"PA14_01840",1141.72376067372,0.756732199958942,0.479785223879302,1.57723114905538,0.114742348147286,0.431073317122142
"PA14_01860",905.187632738178,-0.127666691870768,0.479559989350758,-0.266216312256589,0.790072620828062,0.985742401568504
"PA14_01870",617.516122640717,-0.885334555841592,0.535705810740677,-1.65265064908949,0.0984019836522537,0.392580774028093
"PA14_01890",758.00735527618,0.17910557884911,0.154007573236368,1.16296604826194,0.244843277816144,0.641538625100528
"PA14_01900",852.548551749113,0.740447204727389,0.572086841271825,1.29429162027443,0.195564709862504,0.56941212881754
"PA14_01910",1196.51783207099,-0.0907827425085103,0.431952315760381,-0.210168435718887,0.833536214018325,0.993529082107812
"PA14_01930",767.992924385869,-1.06117500710119,0.90612622746564,-1.17111167841285,0.241553890242979,0.634907337517568
"PA14_01940",912.119864681546,0.192665235402304,0.196646952523477,0.979751951046904,0.327208575208882,0.732416922073462
"PA14_01960",1011.81596697682,-0.158608590777265,0.790158033608057,-0.200730213490356,0.840909533571329,0.993529082107812
"PA14_01970",1301.04809370419,0.104621296803986,0.0952605488467378,1.09826468638459,0.272088927293318,0.674922768224245
"PA14_01980",1537.36172498616,0.0286271070984554,0.0715542234960599,0.40007571460868,0.689100750764747,0.962640889906758
"PA14_01990",1445.91880655509,-0.77085930260535,0.767448422454279,-1.00444444219478,0.315164437715079,0.719338878222959
"PA14_02010",658.755296600138,-0.397250527035938,0.611342261296388,-0.649800532673048,0.515821074830372,0.880643901727969
"PA14_02020",893.675555718821,-0.101686247774655,0.118746405603087,-0.856331164368406,0.391814627936533,0.792824170379359
"PA14_02030",855.266567570107,0.179002338785975,0.138558982014464,1.29188549297576,0.19639680235692,0.571254626033597
"PA14_02050",985.657563586204,-0.0199169497531576,0.096731970135581,-0.205898315988413,0.836870340913436,0.993529082107812
"PA14_02060",1445.87692681142,0.214164129136986,0.532538268269886,0.402157256853604,0.687568296781433,0.962640889906758
"PA14_02070",1181.97194094922,-0.0445354404941966,0.355594474932899,-0.125242217283045,0.900331795786438,0.995829170778993
"PA14_02090",998.978581602808,0.424864176542431,0.101274514285539,4.19517367760012,2.72662579791774e-05,0.00183902890581911
"PA14_02100",1111.73596717031,-0.0145706990284342,0.13724003241413,-0.106169451960389,0.915447907733679,0.995829170778993
"PA14_02110",1714.84120834457,-0.0825643473423678,0.256927579670778,-0.321352606240887,0.747943194628505,0.980334903051948
"PA14_02130",734.821579660305,-0.602188288294328,0.322209479146167,-1.86893411668113,0.0616319810585138,0.298678062052797
"PA14_02140",628.606878826308,-0.927052512372465,0.832981537345808,-1.11293284521816,0.26573727232519,0.669669561694879
"PA14_02150",1084.72602956797,0.168292821126161,0.099416728625727,1.69280183981643,0.0904931923812429,0.37549569296673
"PA14_02180",962.840451753558,-0.732305873556657,0.67294171536351,-1.08821589869946,0.276499807658312,0.678875116618887
"PA14_02190",1160.33441688867,0.107084071187521,0.68390957686563,0.156576358644207,0.875578735769235,0.995829170778993
"PA14_02200",1371.0859391988,0.161600765317439,0.166783247642175,0.968926841286514,0.332581692191823,0.737883452529304
"PA14_02220",1138.99709739732,-0.0256931869896106,0.533284485760566,-0.0481791382942017,0.961573476106336,0.99744304288966
"PA14_02230",1087.86890270612,0.462420723293942,0.717620642656723,0.644380464840032,0.519328749075912,0.882166901646218
"PA14_02250",1130.48207421798,0.216571035543963,0.236353234659947,0.916302397365344,0.359508310961728,0.763193978463948
"PA14_02260",1494.70040460369,0.103741500122221,0.158760275966243,0.65344746657079,0.513467846373893,0.879507368766516
"PA14_02270",1042.64653538886,0.369939654917166,0.302015583227364,1.22490253967679,0.220611943429788,0.605215189483671
"PA14_02290",1009.10045762123,-0.0298509024198252,0.0958930069821906,-0.311293840492134,0.755577249413507,0.981190567373703
"PA14_02300",512.136051555187,-0.219964219052227,0.303631873387215,-0.724443770011298,0.468793336479247,0.854268200804006
"PA14_02310",880.368595586794,0.815148131347562,0.827239322107786,0.985383684700317,0.324435640643221,0.729980191447248
"PA14_02330",1195.46634766772,0.264389339302418,0.526786072966773,0.501891285419565,0.615743995670295,0.931745164010916
"PA14_02340",1020.28001434764,-0.294613962666409,0.769454786277785,-0.382886646389706,0.701803812918891,0.969737589651483
"PA14_02360",590.118912840468,-1.18585924236087,0.716165147568671,-1.6558460662136,0.0977529961332966,0.391363057697891
"PA14_02370",1418.29698020798,0.0994807747259851,0.454017946989464,0.219111987501,0.826562812982608,0.991979193391101
"PA14_02380",436.003120153105,-1.60965251232331,0.73989945297588,-2.17550169262767,0.0295925414128245,0.190408574545144
"PA14_02390",610.165385329313,0.714489569614288,0.308794188952065,2.31380510118732,0.0206784154323364,0.154160410498809
"PA14_02410",1166.68964588212,0.509740496842725,0.383715705482345,1.32843271609631,0.184035197473371,0.551720701930062
"PA14_02420",866.001439046828,0.563651155645162,0.392005554687574,1.43786522641086,0.150472297880418,0.49661565548834
"PA14_02435",1406.18184769412,-0.0358144890354485,0.125080278391924,-0.28633202208927,0.774623834274414,0.983364063932502
"PA14_02450",985.091775318592,-0.757955297409144,0.857496166704373,-0.883916834663185,0.376741108806331,0.777980935555019
"PA14_02460",614.083557284886,-0.35064782255351,0.699085959888528,-0.501580410239425,0.615962702180598,0.931745164010916
"PA14_02470",1553.95154744705,0.288198309283922,0.0576604216890262,4.99819981959603,5.78680029644389e-07,0.000110585753665043
"PA14_02490",793.956270215104,0.403433070593226,0.530235939463141,0.760855763571399,0.446743223010775,0.834865270936562
"PA14_02500",667.259851416604,-0.158197286809278,0.763729107007145,-0.207137956845997,0.835902119589678,0.993529082107812
"PA14_02510",1122.80701504241,-0.523028771705702,0.84972648067631,-0.615526035259506,0.538207380958454,0.890727822703428
"PA14_02520",967.959062097964,-0.0839901194659284,0.6357832199665,-0.132104964126536,0.894901269522595,0.995829170778993
"PA14_02530",980.827491521989,0.477650565642559,0.439590437604619,1.08658088252632,0.277222077645764,0.679502899703464
"PA14_02550",1357.64053805447,0.213090729262792,0.645292072328333,0.330223690016711,0.741230947879008,0.980334903051948
"PA14_02560",778.192064414453,-0.154681555308594,0.580171786387082,-0.266613370277528,0.789766860172082,0.985698301217378
"PA14_02570",970.416843700308,-0.731649436669669,0.581727418440615,-1.25771867282951,0.208493516736254,0.588814448989629
"PA14_02580",940.846124469934,-1.00175605656393,0.494683395903069,-2.02504483647602,0.0428627604710934,0.237136086057856
"PA14_02590",1041.89129490354,0.435254069759091,0.477766439853285,0.911018509154286,0.362285621351069,0.765567072320559
"PA14_02610",972.964455807486,-0.796894366308151,0.551391762409137,-1.4452416968044,0.148390008071339,0.493700255878827
"PA14_02620",1039.31094145246,-1.0098737316235,0.508162668322658,-1.98730405552398,0.046888712527536,0.251227092448938
"PA14_02630",801.84845117774,-0.0253922560837983,0.343953317441593,-0.0738247163093876,0.941149859914148,0.995829170778993
"PA14_02640",1157.58405001827,0.253173609722842,0.191413124084979,1.32265543929184,0.185949988667772,0.553505340099864
"PA14_02650",746.58048762885,0.383188670375994,0.14411101717981,2.65898248360763,0.00783770377654044,0.0835412671057443
"PA14_02660",694.762287273074,0.394598794202183,0.22186318575687,1.7785681425967,0.0753105909053301,0.335735316998645
"PA14_02680",395.651788174391,-0.873080620854505,0.521057331707084,-1.67559415773716,0.0938177139422908,0.383635487896686
"PA14_02690",1451.50382228325,0.230784806196531,0.326666837215487,0.706483731754788,0.47988736608899,0.863177153894319
"PA14_02700",1680.33495113659,-0.114049934367901,0.108050012155343,-1.05552912112525,0.291183398144611,0.695240497308135
"PA14_02720",1504.83085495324,-0.211609438859211,0.109034002062477,-1.94076558556438,0.0522867170780207,0.268410013607832
"PA14_02730",1509.12263024097,0.0695864034669329,0.27394959609516,0.254011703097241,0.799486516802016,0.986709391100052
"PA14_02740",1258.73444930523,-0.0158504488041622,0.636620989146592,-0.0248977791722044,0.980136498650205,0.998561849686075
"PA14_02750",1269.1801688653,0.0804234132058231,0.0630505858057074,1.27553792210037,0.202118910555979,0.577929034522406
"PA14_02760",1261.45112429513,-0.172977076047261,0.681704473384205,-0.253742028695434,0.799694862190697,0.986709391100052
"PA14_02770",975.545095979493,0.906566858898099,0.877251178867922,1.03341765817631,0.301408486346729,0.705663171099336
"PA14_02790",995.284164851869,0.0496193507951516,0.175729453437543,0.282362175631457,0.777665814902957,0.98349990918363
"PA14_02810",687.90091692122,0.379536691331107,0.317360934167873,1.19591496768895,0.231729743567569,0.620917577609175
"PA14_02830",1235.86633023593,0.0156980082998749,0.614058074964725,0.0255643707653819,0.979604804786483,0.998561849686075
