"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"1","PA14_00010",1119.82068129082,-0.266551409732277,0.0712007006455215,-3.74366273527735,0.000181357049604556,0.00220279653682822,"U24U0"
"2","PA14_00310",992.896580009716,-1.04652625037149,0.237380377900115,-4.40864682931732,1.04018488918627e-05,0.000200787204367168,"U24U0"
"3","PA14_01400",1045.41726939636,-0.504394660494705,0.0942746414835981,-5.35026866776746,8.78237510729848e-08,3.42512629184641e-06,"U24U0"
"4","PA14_01610",1031.67905050177,-0.776272049372766,0.172315905186968,-4.50493556314773,6.63930857458864e-06,0.000137909985717814,"U24U0"
"5","PA14_02750",1269.1801688653,-0.336046375677162,0.0635216921412102,-5.29026170981282,1.22141460123962e-07,4.54699344734203e-06,"U24U0"
"6","PA14_03490",989.81149285495,-1.95416219885882,0.481568037416084,-4.05791507539441,4.95127651403649e-05,0.000746991269867663,"U24U0"
"7","PA14_03880",883.081627982908,-2.21522173439461,0.639638450290026,-3.46324041869306,0.000533711286305183,0.00533990716298013,"U24U0"
"8","PA14_04030",1647.10277047576,-0.145823912591133,0.031957162007822,-4.56310584010683,5.04023891966146e-06,0.000108223557027787,"U24U0"
"9","PA14_04510",1648.1150528174,-0.241613843109644,0.0723490243150023,-3.33955910804927,0.000839114917922437,0.00775910616846667,"U24U0"
"10","PA14_04590",1494.25759219061,-0.227956411361645,0.0543164293508565,-4.196822473163,2.70685944531725e-05,0.000442120376068484,"U24U0"
"11","PA14_04900",714.351869898334,-0.708570306975681,0.196417839653106,-3.60746410930437,0.000309204292802666,0.00343540350898776,"U24U0"
"12","PA14_05300",963.427565744725,-0.531086919893232,0.157335774799544,-3.37550007663464,0.000736816715459576,0.00697057793684777,"U24U0"
"13","PA14_05340",1402.8195309059,-0.531145640809596,0.14719388753526,-3.60847620579598,0.000308000756641895,0.00343305343405245,"U24U0"
"14","PA14_05360",715.853868004057,-1.11083293289557,0.24215661254599,-4.58725004952985,4.49122639946756e-06,9.71630224458397e-05,"U24U0"
"15","PA14_05560",1477.92228968552,-0.513722197573062,0.0568369730086218,-9.03852141272783,1.58805218966186e-19,4.13831963787792e-17,"U24U0"
"16","PA14_05990",1633.2688535811,-0.164061456734227,0.0374519900192606,-4.38058048850953,1.18363559793959e-05,0.000223216542203542,"U24U0"
"17","PA14_06770",1213.18718943753,-3.01792406650562,0.537901188978989,-5.61055474191099,2.01679061504464e-08,9.17639729845311e-07,"U24U0"
"18","PA14_06930",715.935420322901,-0.661928694887064,0.196034953820352,-3.37658505275372,0.000733916773526532,0.00695461960764894,"U24U0"
"19","PA14_07110",1170.50500205895,-0.575012320818085,0.133649243403671,-4.30239862324796,1.6895898356195e-05,0.00029804364700328,"U24U0"
"20","PA14_07280",1323.87676922419,-0.41361483692744,0.065772972964885,-6.2885227515603,3.20501102979235e-10,2.13654979462785e-08,"U24U0"
"21","PA14_07380",957.718855406668,-0.472916771707851,0.0892388359307477,-5.29945025364126,1.16151876789961e-07,4.3809125634003e-06,"U24U0"
"22","PA14_07550",842.748322197712,-1.33418967518919,0.349588749428104,-3.81645484121501,0.000135382839487989,0.00172861875007715,"U24U0"
"23","PA14_07730",1034.98917310652,-0.465912894635672,0.10520621482122,-4.42856817372826,9.48607352151713e-06,0.000187529860340889,"U24U0"
"24","PA14_07930",1243.43236278214,-0.389495094874593,0.102237022754411,-3.80972650005878,0.00013912060457586,0.00176455403989692,"U24U0"
"25","PA14_07940",877.013555882525,-0.760190891002599,0.119950121001356,-6.33755835055811,2.33434816063371e-10,1.63205097620891e-08,"U24U0"
"26","PA14_07960",411.060709075889,-1.92257750248329,0.458259174166981,-4.19539337314553,2.72398410586482e-05,0.000443653434060312,"U24U0"
"27","PA14_08380",1572.04758406234,-0.186542472679079,0.0439365972242567,-4.24571961563041,2.17892968476245e-05,0.000366328559611236,"U24U0"
"28","PA14_08630",1562.12228755525,-0.268357119011413,0.0540785905993383,-4.96235415970135,6.96438565309995e-07,2.0267422816864e-05,"U24U0"
"29","PA14_08820",1002.24384374272,-0.552757376359096,0.119677885068004,-4.61870943027614,3.86134127047781e-06,8.64729277486299e-05,"U24U0"
"30","PA14_08850",1396.50493768793,-0.218550867216743,0.0644684687596427,-3.39004278248898,0.000698817168812008,0.00668953609534891,"U24U0"
"31","PA14_08860",958.070531823952,-0.322714781622972,0.0921624409336963,-3.50158674568028,0.000462496384243898,0.00473480673369691,"U24U0"
"32","PA14_08880",1114.14144591371,-0.239367317159966,0.0671613907043557,-3.56406135503745,0.000365160541231939,0.00389119959643625,"U24U0"
"33","PA14_08890",1151.94928533715,-0.725636932905464,0.120219248634614,-6.03594633261194,1.58033773113526e-09,8.7961904976684e-08,"U24U0"
"34","PA14_08900",888.101014987182,-1.08536297608314,0.150334984798957,-7.21963006504838,5.21291886179949e-13,5.63880449711254e-11,"U24U0"
"35","PA14_08910",1265.99998551538,-0.328252496495804,0.0732787541031244,-4.47950433264542,7.48165716448009e-06,0.00015318693044273,"U24U0"
"36","PA14_08930",1530.4313032425,-0.2906826893761,0.0669480922527365,-4.34191146595694,1.41248453237781e-05,0.000257890886118534,"U24U0"
"37","PA14_09000",1345.15791259324,-0.282715847225691,0.0708808279390932,-3.98860813912366,6.64621043835359e-05,0.000952568111077029,"U24U0"
"38","PA14_09040",1341.29478931903,-0.317253412790072,0.0665417085035539,-4.76773770804409,1.8630611522198e-06,4.66416139112494e-05,"U24U0"
"39","PA14_10130",1442.28460748746,-0.414174363025166,0.0659991033406159,-6.27545439348844,3.48614658151476e-10,2.28975332065691e-08,"U24U0"
"40","PA14_10540",1354.05849947754,-0.949298229499112,0.103697244002892,-9.15451744766364,5.46012876459061e-20,1.49061515273324e-17,"U24U0"
"41","PA14_10560",1368.02704924543,-1.11153433937042,0.115526329702563,-9.62148059435632,6.48903021596501e-22,2.06675612378485e-19,"U24U0"
"42","PA14_10600",491.039247368561,-1.73662795122009,0.458349275177421,-3.78887465360966,0.000151331240474278,0.00189842888761277,"U24U0"
"43","PA14_10710",1129.39645163636,-0.49068993572631,0.137137830207337,-3.57807860153863,0.000346129370329929,0.00375115251436953,"U24U0"
