"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"1","PA14_00010",1119.82068129082,-0.258783431952022,0.0645059326379216,-4.01177723302754,6.02633528780174e-05,0.000687094089937019,"T5T0"
"2","PA14_00030",799.083326803196,-0.516815880707831,0.152406540303529,-3.39103479206703,0.000696292612810627,0.00550599386102527,"T5T0"
"3","PA14_00130",984.272579614495,-0.650224209572506,0.149108118106111,-4.36075659616186,1.29613485887448e-05,0.000183023180934172,"T5T0"
"4","PA14_00520",1091.46953210768,-1.11915403909773,0.203042242380623,-5.51192710431048,3.54925925408304e-08,8.92451899283249e-07,"T5T0"
"5","PA14_00530",1497.59338598228,-0.242441550908165,0.0657613817743535,-3.68668577768108,0.000227193600656446,0.00210878251793784,"T5T0"
"6","PA14_00570",1330.1529106974,-1.51919436276574,0.4295669488694,-3.53657181206372,0.000405356281751122,0.00349459783951756,"T5T0"
"7","PA14_00640",1109.2566539054,-3.14598518684882,0.317404805804151,-9.91158649560584,3.70712124102955e-23,8.17420233647016e-21,"T5T0"
"8","PA14_00660",1184.11993853812,-1.67739824005004,0.521316879160442,-3.21761735923728,0.00129260133712474,0.00916005372773314,"T5T0"
"9","PA14_00980",704.526881702771,-1.88546485443179,0.209421802010218,-9.00319277330923,2.192469088534e-19,2.99272030584892e-17,"T5T0"
"10","PA14_01240",1151.70567000934,-2.6269894696857,0.483652243377677,-5.43156680374233,5.58613960657033e-08,1.32885221429327e-06,"T5T0"
"11","PA14_01310",836.19708849429,-0.830351798658358,0.208709730344897,-3.97850065392823,6.93512206346109e-05,0.000778063694517073,"T5T0"
"12","PA14_01400",1045.41726939636,-0.530676181653811,0.0862452725569316,-6.15310458093231,7.5980665157118e-10,2.77708758007834e-08,"T5T0"
"13","PA14_01460",793.842422456993,-0.33505690341109,0.0951258908844407,-3.52224720626394,0.000427904924551743,0.00365010488574132,"T5T0"
"14","PA14_02750",1269.1801688653,-0.530872100924749,0.0576574868074574,-9.20734028344929,3.34305540942021e-20,5.32381573950168e-18,"T5T0"
"15","PA14_02830",1235.86633023593,-3.11165522387867,0.567006623286831,-5.487863979156,4.06823131443247e-08,9.96716672035956e-07,"T5T0"
"16","PA14_03010",1415.90834998073,-0.309844685424654,0.0548217048404986,-5.65186154509666,1.58719419415319e-08,4.35377239955991e-07,"T5T0"
"17","PA14_03050",1213.58387298478,-2.42693451874541,0.557525978038524,-4.35304293314511,1.34260844396534e-05,0.000188194968441401,"T5T0"
"18","PA14_03080",994.16123225103,-1.39509753608872,0.325327751661132,-4.28828321274565,1.80059417753643e-05,0.000241751906787268,"T5T0"
"19","PA14_03180",1473.69619969316,-0.828791285684572,0.072935755080059,-11.3633057582641,6.36881387263391e-30,3.04270082765085e-27,"T5T0"
"20","PA14_03285",894.89978220667,-0.852179871026123,0.103928742337061,-8.1996553779352,2.41077137854608e-16,2.2291858569685e-14,"T5T0"
"21","PA14_03320",1407.56079845211,-0.578846412381899,0.0625719805601639,-9.25088845198579,2.22634311908709e-20,3.64675002906466e-18,"T5T0"
"22","PA14_03420",1261.88725128882,-0.532056839782222,0.117474639522801,-4.52912085487995,5.92296149461437e-06,9.48501068397324e-05,"T5T0"
"23","PA14_03490",989.81149285495,-2.09080528035998,0.443963117309502,-4.70941210844414,2.48432312765406e-06,4.35554265774947e-05,"T5T0"
"24","PA14_03700",1237.23555624038,-2.40553329462032,0.536487227091917,-4.4838593971002,7.33049736840266e-06,0.000113583084900142,"T5T0"
"25","PA14_04220",1548.26234267681,-0.376410144216167,0.0750196547549431,-5.01748702317728,5.23517364639325e-07,1.04941435366338e-05,"T5T0"
"26","PA14_04390",1299.49409156568,-0.593384540800307,0.0513021004940229,-11.5664765201854,6.09339893048746e-31,3.49334560684846e-28,"T5T0"
"27","PA14_04530",1336.63116360765,-0.298462458853249,0.0798379552071534,-3.73835299362109,0.000185229751597412,0.0017610649517545,"T5T0"
"28","PA14_04750",1426.356861448,-0.741800781804188,0.060695617680745,-12.2216530640814,2.38191422320324e-34,1.95078774880346e-31,"T5T0"
"29","PA14_04790",1300.42331556062,-2.14207257145158,0.63590665482799,-3.36853303104841,0.00075569341513112,0.00590243916750233,"T5T0"
"30","PA14_04930",964.323037977936,-1.13072029629353,0.158826819025531,-7.11920255805014,1.08553278490661e-12,6.41583449058719e-11,"T5T0"
"31","PA14_05190",1123.96048945458,-0.463603048245937,0.113938198124584,-4.06889924429923,4.7235766762358e-05,0.000554923464853685,"T5T0"
"32","PA14_05210",853.969756316642,-0.646157657669518,0.171195100101519,-3.77439341012882,0.000160397469595716,0.00157458680341137,"T5T0"
"33","PA14_05320",913.745614172293,-1.28517777313644,0.251158610029943,-5.11699667784917,3.10439087336583e-07,6.44835973804577e-06,"T5T0"
"34","PA14_05500",1318.70841153523,-0.469147947775034,0.0683543333256499,-6.86347046265444,6.72074263075542e-12,3.60093621515148e-10,"T5T0"
"35","PA14_05600",1266.70034673142,-1.68176213145754,0.436312091706917,-3.85449352292355,0.000115969453529553,0.00117711766435595,"T5T0"
"36","PA14_05880",1223.60153971488,-1.99526223062885,0.575609168380873,-3.46634893992622,0.000527578100037338,0.00436450973667252,"T5T0"
"37","PA14_05990",1633.2688535811,-0.233245764110707,0.0334326564702549,-6.97658483459807,3.02441743683591e-12,1.68339661799808e-10,"T5T0"
"38","PA14_06150",1155.06616730076,-2.0350078801246,0.626205213959959,-3.24974598543462,0.00115508132590189,0.00837178412312965,"T5T0"
"39","PA14_06250",1247.78982117254,-0.371690845123432,0.0788469056275145,-4.7140828440289,2.42801871506151e-06,4.26988689983056e-05,"T5T0"
"40","PA14_06290",1237.86809416122,-1.72578359706507,0.464510710084356,-3.7152719185994,0.000202985289886018,0.00191400438637589,"T5T0"
"41","PA14_06300",1057.66566226314,-0.583052643504899,0.134749267085794,-4.3269448221464,1.51191816677898e-05,0.000209874742134234,"T5T0"
"42","PA14_06430",894.016031826526,-0.926221393941585,0.169845363485832,-5.45332162699188,4.94375341452589e-08,1.19086295485197e-06,"T5T0"
"43","PA14_06580",510.828942398992,-0.90133087269586,0.259242925593948,-3.47678097919484,0.000507472182537506,0.00422868898617373,"T5T0"
"44","PA14_07060",782.589788271575,-0.770288793209228,0.169591462065547,-4.54202578259223,5.57162249285293e-06,8.9725033009904e-05,"T5T0"
"45","PA14_07280",1323.87676922419,-0.264368830493848,0.0595695636964916,-4.43798500591366,9.08049430368446e-06,0.000137463432007216,"T5T0"
"46","PA14_07380",957.718855406668,-0.342757818289709,0.0811771147062177,-4.22234541754975,2.41773210176787e-05,0.000314305173229823,"T5T0"
"47","PA14_07700",1289.7986311039,-1.52660695501738,0.387778413071375,-3.93680231688501,8.25745747735339e-05,0.000894896100523006,"T5T0"
"48","PA14_07980",1453.38015293125,-3.4554778864355,0.441198407595754,-7.83202710378223,4.80066003929492e-15,3.77016219250381e-13,"T5T0"
"49","PA14_08000",1102.28618085558,-2.24022070135337,0.685127487420493,-3.2697866345836,0.00107628633121944,0.00788039532168713,"T5T0"
"50","PA14_08360",972.294507357657,-2.94888091124097,0.70421342377509,-4.18748182253165,2.82066603876131e-05,0.000356186748903493,"T5T0"
"51","PA14_08380",1572.04758406234,-0.187408153412174,0.0390921227303376,-4.79401322626911,1.6347748902082e-06,2.98476574699478e-05,"T5T0"
"52","PA14_08420",1555.05747874243,-0.189653538301605,0.0588139804465594,-3.22463361366829,0.00126133981624986,0.00899410592855778,"T5T0"
"53","PA14_08510",1272.47769751789,-0.651648242577449,0.105258712011763,-6.1909197834819,5.98141453623214e-10,2.2560164168565e-08,"T5T0"
"54","PA14_08560",584.289499376888,-0.840338785963527,0.193147901856202,-4.35075285772018,1.35670901280581e-05,0.000189707628546725,"T5T0"
"55","PA14_08640",1321.018378596,-0.616851174029127,0.133768009632143,-4.6113504695588,4.00061384816805e-06,6.66804225288534e-05,"T5T0"
"56","PA14_08710",991.448965676925,-0.788475293988372,0.225603697366895,-3.49495732202513,0.000474137563693267,0.00397402142200804,"T5T0"
"57","PA14_08980",1137.40201599772,-0.413723609277339,0.114574287698782,-3.61096383479186,0.00030506120295652,0.00272841790413375,"T5T0"
"58","PA14_09130",1086.78704856481,-0.406883553919075,0.104128989325767,-3.90749546839584,9.32577900435521e-05,0.000979206795457297,"T5T0"
"59","PA14_09410",1284.79852240695,-1.86251982085565,0.468255725347661,-3.97756977658481,6.96231955654886e-05,0.000779589414408097,"T5T0"
"60","PA14_09450",1302.97634609747,-1.58697623040703,0.174759751641435,-9.08090229873479,1.07678447207807e-19,1.505659848396e-17,"T5T0"
"61","PA14_09480",680.368293953863,-1.76769097290411,0.483195038883261,-3.65833841545543,0.000253855709438212,0.00233229933046358,"T5T0"
"62","PA14_09740",1409.49995075595,-1.32909224850176,0.406474068873949,-3.26980821232638,0.00107620423937388,0.00788039532168713,"T5T0"
"63","PA14_09810",1161.35757347411,-1.76513190964905,0.336771685305717,-5.24133110551348,1.59422355922666e-07,3.50179450768064e-06,"T5T0"
"64","PA14_09870",1369.19279129868,-0.599561033640699,0.177298271090453,-3.38165189064263,0.00072051387246686,0.00565498894256844,"T5T0"
"65","PA14_10040",966.016474480463,-2.28912620402088,0.666132894963581,-3.43644071825342,0.000589411326243589,0.00477273323920127,"T5T0"
"66","PA14_10540",1354.05849947754,-0.316235523462607,0.0948378546315649,-3.33448626280243,0.000854571214187344,0.00654106377962088,"T5T0"
"67","PA14_10610",1111.47676488116,-0.463400146323227,0.143293257112467,-3.23392848806219,0.00122100024433131,0.00876094418116569,"T5T0"
"68","PA14_10800",1406.85186044066,-0.165253955489597,0.0497981879504148,-3.3184732676246,0.000905109856554174,0.00687284080480143,"T5T0"
"69","PA14_11210",536.088212320172,-2.19805021846736,0.587629644356509,-3.74053664510809,0.00018362777026331,0.00174873423076338,"T5T0"
"70","PA14_11960",1230.80967527738,-1.7631929604832,0.550164674539702,-3.2048458254038,0.00135134843875541,0.00951754373388791,"T5T0"
"71","PA14_12010",1023.77694804292,-0.698036844151932,0.0981455251861637,-7.11226357827203,1.14154980341165e-12,6.67806634995814e-11,"T5T0"
"72","PA14_12090",1172.89072257483,-0.249488571444159,0.0595908486725791,-4.18669270536772,2.8304862652966e-05,0.00035662579547333,"T5T0"
"73","PA14_12280",1730.83084955902,-0.157550641930402,0.0379039469138278,-4.15657615521103,3.23052518430069e-05,0.000400012978004231,"T5T0"
"74","PA14_12810",1563.30953229464,-0.296291667771651,0.0443478531714553,-6.68108254589335,2.37183573484538e-11,1.12377969155938e-09,"T5T0"
