term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
2-oxocarboxylic acid metabolism	0	23	30	5976	1.0	1.0
abc transporters	1	23	191	5976	0.526930215539118	1.0
acarbose and validamycin biosynthesis	0	23	2	5976	1.0	1.0
alanine, aspartate and glutamate metabolism	0	23	36	5976	1.0	1.0
alpha-linolenic acid metabolism	0	23	3	5976	1.0	1.0
amino sugar and nucleotide sugar metabolism	0	23	31	5976	1.0	1.0
aminoacyl-trna biosynthesis	0	23	27	5976	1.0	1.0
aminobenzoate degradation	0	23	17	5976	1.0	1.0
arachidonic acid metabolism	0	23	4	5976	1.0	1.0
arginine and proline metabolism	0	23	46	5976	1.0	1.0
arginine biosynthesis	0	23	29	5976	1.0	1.0
ascorbate and aldarate metabolism	0	23	6	5976	1.0	1.0
bacterial chemotaxis	0	23	46	5976	1.0	1.0
bacterial secretion system	1	23	92	5976	0.3005776271629463	1.0
base excision repair	0	23	13	5976	1.0	1.0
benzoate degradation	0	23	35	5976	1.0	1.0
beta-alanine metabolism	0	23	27	5976	1.0	1.0
beta-lactam resistance	0	23	27	5976	1.0	1.0
biofilm formation - pseudomonas aeruginosa	0	23	103	5976	1.0	1.0
biosynthesis of amino acids	0	23	141	5976	1.0	1.0
biosynthesis of antibiotics	2	23	247	5976	0.24557823340876275	1.0
biosynthesis of secondary metabolites	3	23	335	5976	0.13525056467436083	1.0
biosynthesis of siderophore group nonribosomal peptides	0	23	8	5976	1.0	1.0
biosynthesis of unsaturated fatty acids	0	23	13	5976	1.0	1.0
biotin metabolism	0	23	21	5976	1.0	1.0
butanoate metabolism	0	23	40	5976	1.0	1.0
c5-branched dibasic acid metabolism	0	23	13	5976	1.0	1.0
caprolactam degradation	0	23	8	5976	1.0	1.0
carbapenem biosynthesis	0	23	2	5976	1.0	1.0
carbon metabolism	2	23	128	5976	0.08598887629674333	1.0
cationic antimicrobial peptide (camp) resistance	0	23	28	5976	1.0	1.0
chloroalkane and chloroalkene degradation	0	23	8	5976	1.0	1.0
chlorocyclohexane and chlorobenzene degradation	0	23	5	5976	1.0	1.0
citrate cycle (tca cycle)	1	23	33	5976	0.11979080482453797	1.0
cyanoamino acid metabolism	0	23	11	5976	1.0	1.0
cysteine and methionine metabolism	0	23	39	5976	1.0	1.0
d-alanine metabolism	0	23	4	5976	1.0	1.0
