term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
2-oxocarboxylic acid metabolism	0	20	30	5976	1.0	1.0
abc transporters	1	20	191	5976	0.4783267211292186	1.0
acarbose and validamycin biosynthesis	0	20	2	5976	1.0	1.0
alanine, aspartate and glutamate metabolism	1	20	36	5976	0.11400094994194415	0.7600063329462944
alpha-linolenic acid metabolism	0	20	3	5976	1.0	1.0
amino sugar and nucleotide sugar metabolism	0	20	31	5976	1.0	1.0
aminoacyl-trna biosynthesis	0	20	27	5976	1.0	1.0
aminobenzoate degradation	0	20	17	5976	1.0	1.0
arachidonic acid metabolism	0	20	4	5976	1.0	1.0
arginine and proline metabolism	0	20	46	5976	1.0	1.0
arginine biosynthesis	1	20	29	5976	0.09284914603714696	0.7600063329462944
ascorbate and aldarate metabolism	0	20	6	5976	1.0	1.0
bacterial chemotaxis	0	20	46	5976	1.0	1.0
bacterial secretion system	0	20	92	5976	1.0	1.0
base excision repair	0	20	13	5976	1.0	1.0
benzoate degradation	1	20	35	5976	0.11100821543744128	0.7600063329462944
beta-alanine metabolism	0	20	27	5976	1.0	1.0
beta-lactam resistance	1	20	27	5976	0.08671821232485971	0.7600063329462944
biofilm formation - pseudomonas aeruginosa	0	20	103	5976	1.0	1.0
biosynthesis of amino acids	2	20	141	5976	0.07963674840820369	0.7600063329462944
biosynthesis of antibiotics	2	20	247	5976	0.1992784277515398	0.996392138757699
biosynthesis of secondary metabolites	2	20	335	5976	0.3099528984554569	1.0
biosynthesis of siderophore group nonribosomal peptides	0	20	8	5976	1.0	1.0
biosynthesis of unsaturated fatty acids	0	20	13	5976	1.0	1.0
biotin metabolism	1	20	21	5976	0.06808834982386407	0.7600063329462944
butanoate metabolism	1	20	40	5976	0.12587645047817456	0.7950091609147867
c5-branched dibasic acid metabolism	0	20	13	5976	1.0	1.0
caprolactam degradation	0	20	8	5976	1.0	1.0
carbapenem biosynthesis	0	20	2	5976	1.0	1.0
carbon metabolism	1	20	128	5976	0.35191404181274033	1.0
cationic antimicrobial peptide (camp) resistance	0	20	28	5976	1.0	1.0
chloroalkane and chloroalkene degradation	0	20	8	5976	1.0	1.0
chlorocyclohexane and chlorobenzene degradation	0	20	5	5976	1.0	1.0
citrate cycle (tca cycle)	0	20	33	5976	1.0	1.0
cyanoamino acid metabolism	0	20	11	5976	1.0	1.0
cysteine and methionine metabolism	0	20	39	5976	1.0	1.0
d-alanine metabolism	0	20	4	5976	1.0	1.0
d-arginine and d-ornithine metabolism	0	20	2	5976	1.0	1.0
d-glutamine and d-glutamate metabolism	0	20	5	5976	1.0	1.0
degradation of aromatic compounds	0	20	26	5976	1.0	1.0
dna replication	0	20	17	5976	1.0	1.0
ether lipid metabolism	0	20	3	5976	1.0	1.0
fatty acid biosynthesis	0	20	26	5976	1.0	1.0
fatty acid degradation	1	20	33	5976	0.10499391179988642	0.7600063329462944
fatty acid metabolism	1	20	49	5976	0.15204585907823528	0.8082114035916428
flagellar assembly	2	20	35	5976	0.0059264442125525505	0.6921808390846681
fluorobenzoate degradation	0	20	8	5976	1.0	1.0
folate biosynthesis	0	20	25	5976	1.0	1.0
fructose and mannose metabolism	0	20	18	5976	1.0	1.0
galactose metabolism	0	20	4	5976	1.0	1.0
geraniol degradation	0	20	16	5976	1.0	1.0
glutathione metabolism	0	20	26	5976	1.0	1.0
glycerolipid metabolism	0	20	14	5976	1.0	1.0
glycerophospholipid metabolism	0	20	28	5976	1.0	1.0
glycine, serine and threonine metabolism	1	20	50	5976	0.1549071856883982	0.8082114035916428
glycolysis / gluconeogenesis	0	20	37	5976	1.0	1.0
glyoxylate and dicarboxylate metabolism	2	20	56	5976	0.014708320428752461	0.6921808390846681
histidine metabolism	0	20	23	5976	1.0	1.0
homologous recombination	0	20	24	5976	1.0	1.0
inositol phosphate metabolism	0	20	7	5976	1.0	1.0
limonene and pinene degradation	0	20	7	5976	1.0	1.0
lipoic acid metabolism	0	20	2	5976	1.0	1.0
