term,genes_in_set,total_genes_in_set,genes_in_universe,total_genes_in_universe,pvalue,adj_pvalue
2-oxocarboxylic acid metabolism,0,457,30,5893,1,1
abc transporters,14,457,191,5893,0.628720021,1
acarbose and validamycin biosynthesis,0,457,2,5893,1,1
"alanine, aspartate and glutamate metabolism",3,457,36,5893,0.536781028,1
alpha-linolenic acid metabolism,0,457,3,5893,1,1
amino sugar and nucleotide sugar metabolism,2,457,31,5893,0.705474293,1
aminoacyl-trna biosynthesis,4,457,27,5893,0.152619321,1
aminobenzoate degradation,1,457,17,5893,0.746961344,1
arachidonic acid metabolism,0,457,4,5893,1,1
arginine and proline metabolism,2,457,47,5893,0.88952865,1
arginine biosynthesis,0,457,29,5893,1,1
ascorbate and aldarate metabolism,0,457,6,5893,1,1
bacterial chemotaxis,0,457,46,5893,1,1
bacterial secretion system,4,457,95,5893,0.944018904,1
base excision repair,1,457,13,5893,0.65023599,1
benzoate degradation,3,457,35,5893,0.517382254,1
beta-alanine metabolism,2,457,28,5893,0.650756499,1
beta-lactam resistance,3,457,27,5893,0.349618961,1
biofilm formation - pseudomonas aeruginosa,7,457,105,5893,0.716198192,1
biosynthesis of amino acids,15,457,141,5893,0.129604463,1
biosynthesis of antibiotics,16,457,247,5893,0.811185737,1
biosynthesis of secondary metabolites,29,457,336,5893,0.297230489,1
biosynthesis of siderophore group nonribosomal peptides,0,457,8,5893,1,1
biosynthesis of unsaturated fatty acids,3,457,13,5893,0.073922712,1
biotin metabolism,1,457,21,5893,0.816979847,1
butanoate metabolism,2,457,40,5893,0.828193602,1
c5-branched dibasic acid metabolism,0,457,13,5893,1,1
caprolactam degradation,3,457,8,5893,0.019322097,0.82025205
carbapenem biosynthesis,1,457,2,5893,0.149097466,1
carbon metabolism,5,457,129,5893,0.976255063,1
cationic antimicrobial peptide (camp) resistance,5,457,28,5893,0.061138411,1
chloroalkane and chloroalkene degradation,0,457,8,5893,1,1
chlorocyclohexane and chlorobenzene degradation,0,457,5,5893,1,1
citrate cycle (tca cycle),0,457,33,5893,1,1
cyanoamino acid metabolism,0,457,11,5893,1,1
cysteine and methionine metabolism,1,457,40,5893,0.960837981,1
d-alanine metabolism,1,457,4,5893,0.276006214,1
d-arginine and d-ornithine metabolism,0,457,2,5893,1,1
d-glutamine and d-glutamate metabolism,1,457,5,5893,0.332189804,1
degradation of aromatic compounds,1,457,26,5893,0.87796103,1
dna replication,0,457,17,5893,1,1
ether lipid metabolism,0,457,3,5893,1,1
fatty acid biosynthesis,1,457,26,5893,0.87796103,1
fatty acid degradation,3,457,33,5893,0.477327376,1
fatty acid metabolism,3,457,49,5893,0.743964833,1
flagellar assembly,1,457,35,5893,0.941209955,1
fluorobenzoate degradation,0,457,8,5893,1,1
folate biosynthesis,3,457,25,5893,0.305830376,1
fructose and mannose metabolism,1,457,18,5893,0.766641172,1
galactose metabolism,0,457,4,5893,1,1
geraniol degradation,2,457,16,5893,0.355542017,1
glutathione metabolism,1,457,27,5893,0.887467049,1
glycerolipid metabolism,1,457,14,5893,0.67742003,1
glycerophospholipid metabolism,1,457,28,5893,0.896234106,1
"glycine, serine and threonine metabolism",3,457,50,5893,0.756339489,1
glycolysis / gluconeogenesis,1,457,37,5893,0.950025652,1
glyoxylate and dicarboxylate metabolism,3,457,57,5893,0.829938114,1
histidine metabolism,3,457,23,5893,0.262297296,1
homologous recombination,2,457,24,5893,0.56567002,1
inositol phosphate metabolism,1,457,7,5893,0.431839757,1
limonene and pinene degradation,2,457,7,5893,0.097116991,1
lipoic acid metabolism,0,457,2,5893,1,1
lipopolysaccharide biosynthesis,0,457,22,5893,1,1
lysine biosynthesis,2,457,15,5893,0.326362597,1
lysine degradation,2,457,19,5893,0.439899091,1
metabolic pathways,50,457,800,5893,0.965525306,1
methane metabolism,1,457,26,5893,0.87796103,1
microbial metabolism in diverse environments,11,457,264,5893,0.9942789,1
mismatch repair,3,457,19,5893,0.178698373,1
monobactam biosynthesis,0,457,9,5893,1,1
naphthalene degradation,0,457,2,5893,1,1
nicotinate and nicotinamide metabolism,1,457,21,5893,0.816979847,1
nitrogen metabolism,2,457,36,5893,0.780686438,1
nitrotoluene degradation,0,457,2,5893,1,1
non-homologous end-joining,0,457,2,5893,1,1
novobiocin biosynthesis,1,457,5,5893,0.332189804,1
nucleotide excision repair,1,457,8,5893,0.475952776,1
one carbon pool by folate,1,457,18,5893,0.766641172,1
oxidative phosphorylation,1,457,55,5893,0.988449379,1
pantothenate and coa biosynthesis,2,457,22,5893,0.517857843,1
pentose and glucuronate interconversions,0,457,7,5893,1,1
pentose phosphate pathway,0,457,26,5893,1,1
peptidoglycan biosynthesis,6,457,21,5893,0.004176649,0.501197832
phenylalanine metabolism,2,457,25,5893,0.588264772,1
"phenylalanine, tyrosine and tryptophan biosynthesis",6,457,30,5893,0.025255353,0.82025205
phosphonate and phosphinate metabolism,1,457,10,5893,0.554188821,1
phosphotransferase system (pts),0,457,5,5893,1,1
polyketide sugar unit biosynthesis,1,457,5,5893,0.332189804,1
porphyrin and chlorophyll metabolism,4,457,43,5893,0.430439808,1
propanoate metabolism,3,457,48,5893,0.73109549,1
protein export,0,457,17,5893,1,1
purine metabolism,6,457,79,5893,0.582743676,1
pyrimidine metabolism,1,457,47,5893,0.977839124,1
pyruvate metabolism,3,457,62,5893,0.870068901,1
quorum sensing,11,457,101,5893,0.157535238,1
riboflavin metabolism,1,457,10,5893,0.554188821,1
ribosome,6,457,55,5893,0.251825469,1
rna degradation,3,457,16,5893,0.122106656,1
rna polymerase,1,457,4,5893,0.276006214,1
selenocompound metabolism,0,457,10,5893,1,1
sphingolipid metabolism,0,457,2,5893,1,1
starch and sucrose metabolism,0,457,16,5893,1,1
