term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
2-oxocarboxylic acid metabolism	7	387	30	5893	0.0027111066002971336	0.029575708366877822
abc transporters	12	387	191	5893	0.607351191064559	0.9957660382370271
acarbose and validamycin biosynthesis	0	387	2	5893	1.0	1.0
alanine, aspartate and glutamate metabolism	3	387	36	5893	0.4243642181833623	0.7956829090938043
alpha-linolenic acid metabolism	3	387	3	5893	0.00028117117591102043	0.011246847036440816
amino sugar and nucleotide sugar metabolism	5	387	31	5893	0.049237677415341886	0.26856914953822847
aminoacyl-trna biosynthesis	4	387	27	5893	0.0972527291942824	0.3890109167771296
aminobenzoate degradation	2	387	17	5893	0.30834561984501974	0.7255191055176935
arachidonic acid metabolism	1	387	4	5893	0.23797718976667545	0.6746169762324216
arginine and proline metabolism	5	387	47	5893	0.1932752790927175	0.626838743003408
arginine biosynthesis	3	387	29	5893	0.2963725082410872	0.7255191055176935
ascorbate and aldarate metabolism	0	387	6	5893	1.0	1.0
bacterial chemotaxis	2	387	46	5893	0.8150761918875075	1.0
bacterial secretion system	5	387	95	5893	0.7571978191057023	1.0
base excision repair	2	387	13	5893	0.20854581263743088	0.6585657241182028
benzoate degradation	5	387	35	5893	0.07616204568435347	0.3384979808193488
beta-alanine metabolism	0	387	28	5893	1.0	1.0
beta-lactam resistance	1	387	27	5893	0.840900113845648	1.0
biofilm formation - pseudomonas aeruginosa	8	387	105	5893	0.38487881668342594	0.7956829090938043
biosynthesis of amino acids	19	387	141	5893	0.0020177893071251277	0.024213471685501534
biosynthesis of antibiotics	30	387	247	5893	0.0006958018778605515	0.014541337652609572
biosynthesis of secondary metabolites	37	387	336	5893	0.0011319729016488348	0.015092972021984464
biosynthesis of siderophore group nonribosomal peptides	1	387	8	5893	0.41943217639156505	0.7956829090938043
biosynthesis of unsaturated fatty acids	0	387	13	5893	1.0	1.0
biotin metabolism	2	387	21	5893	0.40556725381932984	0.7956829090938043
butanoate metabolism	2	387	40	5893	0.7492134293449676	1.0
c5-branched dibasic acid metabolism	0	387	13	5893	1.0	1.0
caprolactam degradation	0	387	8	5893	1.0	1.0
carbapenem biosynthesis	1	387	2	5893	0.12703998634197267	0.44837642238343295
carbon metabolism	19	387	129	5893	0.0006820898478544117	0.014541337652609572
cationic antimicrobial peptide (camp) resistance	5	387	28	5893	0.03340936515528313	0.21100651677020926
chloroalkane and chloroalkene degradation	1	387	8	5893	0.41943217639156505	0.7956829090938043
chlorocyclohexane and chlorobenzene degradation	0	387	5	5893	1.0	1.0
citrate cycle (tca cycle)	3	387	33	5893	0.36999996013249087	0.7956829090938043
cyanoamino acid metabolism	4	387	11	5893	0.004172183832936048	0.0385124661501789
cysteine and methionine metabolism	5	387	40	5893	0.11887944024413481	0.44837642238343295
d-alanine metabolism	1	387	4	5893	0.23797718976667545	0.6746169762324216
d-arginine and d-ornithine metabolism	0	387	2	5893	1.0	1.0
d-glutamine and d-glutamate metabolism	0	387	5	5893	1.0	1.0
degradation of aromatic compounds	1	387	26	5893	0.8296644102077185	1.0
dna replication	2	387	17	5893	0.30834561984501974	0.7255191055176935
ether lipid metabolism	0	387	3	5893	1.0	1.0
fatty acid biosynthesis	5	387	26	5893	0.024886217129771376	0.18664662847328534
fatty acid degradation	5	387	33	5893	0.06186888887279644	0.3093444443639822
fatty acid metabolism	9	387	49	5893	0.004054033719784612	0.0385124661501789
flagellar assembly	5	387	35	5893	0.07616204568435347	0.3384979808193488
fluorobenzoate degradation	0	387	8	5893	1.0	1.0
folate biosynthesis	0	387	25	5893	1.0	1.0
fructose and mannose metabolism	6	387	18	5893	0.0007270668826304786	0.014541337652609572
galactose metabolism	1	387	4	5893	0.23797718976667545	0.6746169762324216
geraniol degradation	4	387	16	5893	0.01771426109312165	0.15183652365532843
glutathione metabolism	3	387	27	5893	0.25979837739511136	0.6927956730536303
glycerolipid metabolism	1	387	14	5893	0.6140557235795001	0.9957660382370271
glycerophospholipid metabolism	3	387	28	5893	0.27802698790123587	0.7235758828005882
glycine, serine and threonine metabolism	7	387	50	5893	0.04320922382885222	0.24690985045058414
glycolysis / gluconeogenesis	6	387	37	5893	0.03169261042593579	0.21100651677020926
glyoxylate and dicarboxylate metabolism	4	387	57	5893	0.5207755731389301	0.8801840672770649
histidine metabolism	0	387	23	5893	1.0	1.0
homologous recombination	1	387	24	5893	0.8047636049432928	1.0
inositol phosphate metabolism	0	387	7	5893	1.0	1.0
limonene and pinene degradation	0	387	7	5893	1.0	1.0
lipoic acid metabolism	1	387	2	5893	0.12703998634197267	0.44837642238343295
lipopolysaccharide biosynthesis	1	387	22	5893	0.7762333966201077	1.0
lysine biosynthesis	2	387	15	5893	0.2583751504262741	0.6927956730536303
lysine degradation	2	387	19	5893	0.35761911783754946	0.7956829090938043
metabolic pathways	74	387	800	5893	0.0009991804712720957	0.015092972021984464
methane metabolism	3	387	26	5893	0.24173774981661775	0.6746169762324216
microbial metabolism in diverse environments	33	387	264	5893	0.00022063649115813762	0.011246847036440816
mismatch repair	2	387	19	5893	0.35761911783754946	0.7956829090938043
monobactam biosynthesis	1	387	9	5893	0.4576105532397469	0.8196009908771587
naphthalene degradation	1	387	2	5893	0.12703998634197267	0.44837642238343295
nicotinate and nicotinamide metabolism	2	387	21	5893	0.40556725381932984	0.7956829090938043
nitrogen metabolism	3	387	36	5893	0.4243642181833623	0.7956829090938043
nitrotoluene degradation	0	387	2	5893	1.0	1.0
non-homologous end-joining	0	387	2	5893	1.0	1.0
novobiocin biosynthesis	0	387	5	5893	1.0	1.0
nucleotide excision repair	2	387	8	5893	0.09256584035578667	0.3830310635411862
one carbon pool by folate	1	387	18	5893	0.7060986151624175	1.0
oxidative phosphorylation	1	387	55	5893	0.9765714448572905	1.0
pantothenate and coa biosynthesis	1	387	22	5893	0.7762333966201077	1.0
pentose and glucuronate interconversions	0	387	7	5893	1.0	1.0
pentose phosphate pathway	7	387	26	5893	0.0011004766501192874	0.015092972021984464
peptidoglycan biosynthesis	1	387	21	5893	0.7604453062833294	1.0
phenylalanine metabolism	2	387	25	5893	0.4957917805819498	0.8499287667119139
phenylalanine, tyrosine and tryptophan biosynthesis	2	387	30	5893	0.5955591821667163	0.9925986369445272
phosphonate and phosphinate metabolism	2	387	10	5893	0.13654623593017967	0.46815852318918744
phosphotransferase system (pts)	2	387	5	5893	0.03766961458667178	0.22601768752003068
polyketide sugar unit biosynthesis	0	387	5	5893	1.0	1.0
porphyrin and chlorophyll metabolism	6	387	43	5893	0.05994596294702365	0.3093444443639822
propanoate metabolism	4	387	48	5893	0.3880003995670119	0.7956829090938043
protein export	2	387	17	5893	0.30834561984501974	0.7255191055176935
purine metabolism	9	387	79	5893	0.07276923746171955	0.3384979808193488
pyrimidine metabolism	4	387	47	5893	0.37275317897734794	0.7956829090938043
pyruvate metabolism	13	387	62	5893	0.000149221387347059	0.011246847036440816
quorum sensing	5	387	101	5893	0.802616631884268	1.0
riboflavin metabolism	0	387	10	5893	1.0	1.0
ribosome	2	387	55	5893	0.8851046810820248	1.0
rna degradation	1	387	16	5893	0.6631988737972088	1.0
rna polymerase	2	387	4	5893	0.023619328557375262	0.18664662847328534
selenocompound metabolism	1	387	10	5893	0.4932843662752342	0.8499287667119139
sphingolipid metabolism	0	387	2	5893	1.0	1.0
starch and sucrose metabolism	2	387	16	5893	0.283400554096897	0.7235758828005882
streptomycin biosynthesis	1	387	8	5893	0.41943217639156505	0.7956829090938043
styrene degradation	2	387	11	5893	0.15995281731751163	0.5331760577250387
sulfur metabolism	2	387	49	5893	0.8418416795641694	1.0
sulfur relay system	0	387	18	5893	1.0	1.0
synthesis and degradation of ketone bodies	1	387	10	5893	0.4932843662752342	0.8499287667119139
taurine and hypotaurine metabolism	1	387	9	5893	0.4576105532397469	0.8196009908771587
terpenoid backbone biosynthesis	1	387	16	5893	0.6631988737972088	1.0
thiamine metabolism	0	387	13	5893	1.0	1.0
toluene degradation	0	387	3	5893	1.0	1.0
tryptophan metabolism	3	387	26	5893	0.24173774981661775	0.6746169762324216
two-component system	12	387	204	5893	0.6976257303061322	1.0
tyrosine metabolism	1	387	27	5893	0.840900113845648	1.0
ubiquinone and other terpenoid-quinone biosynthesis	1	387	17	5893	0.6853772021662105	1.0
valine, leucine and isoleucine biosynthesis	4	387	19	5893	0.03229797382655	0.21100651677020926
valine, leucine and isoleucine degradation	6	387	47	5893	0.08508269003162942	0.36464010013555465
vancomycin resistance	1	387	9	5893	0.4576105532397469	0.8196009908771587
vitamin b6 metabolism	0	387	9	5893	1.0	1.0
xylene degradation	0	387	5	5893	1.0	1.0
