term,genes_in_set,total_genes_in_set,genes_in_universe,total_genes_in_universe,pvalue,adj_pvalue
2-oxocarboxylic acid metabolism,0,20,30,5893,1,1
abc transporters,1,20,191,5893,0.48317282,1
acarbose and validamycin biosynthesis,0,20,2,5893,1,1
"alanine, aspartate and glutamate metabolism",1,20,36,5893,0.115517179,0.770114525
alpha-linolenic acid metabolism,0,20,3,5893,1,1
amino sugar and nucleotide sugar metabolism,0,20,31,5893,1,1
aminoacyl-trna biosynthesis,0,20,27,5893,1,1
aminobenzoate degradation,0,20,17,5893,1,1
arachidonic acid metabolism,0,20,4,5893,1,1
arginine and proline metabolism,0,20,47,5893,1,1
arginine biosynthesis,1,20,29,5893,0.094098436,0.770114525
ascorbate and aldarate metabolism,0,20,6,5893,1,1
bacterial chemotaxis,0,20,46,5893,1,1
bacterial secretion system,0,20,95,5893,1,1
base excision repair,0,20,13,5893,1,1
benzoate degradation,1,20,35,5893,0.11248709,0.770114525
beta-alanine metabolism,0,20,28,5893,1,1
beta-lactam resistance,1,20,27,5893,0.087888864,0.770114525
biofilm formation - pseudomonas aeruginosa,0,20,105,5893,1,1
biosynthesis of amino acids,2,20,141,5893,0.081580186,0.770114525
biosynthesis of antibiotics,2,20,247,5893,0.203566554,1
biosynthesis of secondary metabolites,2,20,336,5893,0.317194191,1
biosynthesis of siderophore group nonribosomal peptides,0,20,8,5893,1,1
biosynthesis of unsaturated fatty acids,0,20,13,5893,1,1
biotin metabolism,1,20,21,5893,0.069016618,0.770114525
butanoate metabolism,1,20,40,5893,0.127539539,0.805512876
c5-branched dibasic acid metabolism,0,20,13,5893,1,1
caprolactam degradation,0,20,8,5893,1,1
carbapenem biosynthesis,0,20,2,5893,1,1
carbon metabolism,1,20,129,5893,0.35814557,1
cationic antimicrobial peptide (camp) resistance,0,20,28,5893,1,1
chloroalkane and chloroalkene degradation,0,20,8,5893,1,1
chlorocyclohexane and chlorobenzene degradation,0,20,5,5893,1,1
citrate cycle (tca cycle),0,20,33,5893,1,1
cyanoamino acid metabolism,0,20,11,5893,1,1
cysteine and methionine metabolism,0,20,40,5893,1,1
d-alanine metabolism,0,20,4,5893,1,1
d-arginine and d-ornithine metabolism,0,20,2,5893,1,1
d-glutamine and d-glutamate metabolism,0,20,5,5893,1,1
degradation of aromatic compounds,0,20,26,5893,1,1
dna replication,0,20,17,5893,1,1
