term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
2-oxocarboxylic acid metabolism	0	457	30	5976	1.0	1.0
abc transporters	14	457	191	5976	0.6072494734926299	1.0
acarbose and validamycin biosynthesis	0	457	2	5976	1.0	1.0
alanine, aspartate and glutamate metabolism	3	457	36	5976	0.5270307394012479	1.0
alpha-linolenic acid metabolism	0	457	3	5976	1.0	1.0
amino sugar and nucleotide sugar metabolism	2	457	31	5976	0.6979090626057779	1.0
aminoacyl-trna biosynthesis	4	457	27	5976	0.14715271567521576	1.0
aminobenzoate degradation	1	457	17	5976	0.741876995311349	1.0
arachidonic acid metabolism	0	457	4	5976	1.0	1.0
arginine and proline metabolism	2	457	46	5976	0.8771698057139747	1.0
arginine biosynthesis	0	457	29	5976	1.0	1.0
ascorbate and aldarate metabolism	0	457	6	5976	1.0	1.0
bacterial chemotaxis	0	457	46	5976	1.0	1.0
bacterial secretion system	4	457	92	5976	0.929517395282603	1.0
base excision repair	1	457	13	5976	0.6448781404987204	1.0
benzoate degradation	3	457	35	5976	0.5076992345702434	1.0
beta-alanine metabolism	2	457	27	5976	0.6229347889369103	1.0
beta-lactam resistance	3	457	27	5976	0.3414104717179931	1.0
biofilm formation - pseudomonas aeruginosa	7	457	103	5976	0.6827994263491144	1.0
biosynthesis of amino acids	15	457	141	5976	0.11914152095012824	1.0
biosynthesis of antibiotics	16	457	247	5976	0.7936127049377495	1.0
biosynthesis of secondary metabolites	29	457	335	5976	0.2655285384817	1.0
biosynthesis of siderophore group nonribosomal peptides	0	457	8	5976	1.0	1.0
biosynthesis of unsaturated fatty acids	3	457	13	5976	0.07146725463742641	1.0
biotin metabolism	1	457	21	5976	0.8124231758487458	1.0
butanoate metabolism	2	457	40	5976	0.8220317042782143	1.0
c5-branched dibasic acid metabolism	0	457	13	5976	1.0	1.0
caprolactam degradation	3	457	8	5976	0.018605778908591476	0.7904874351469677
carbapenem biosynthesis	1	457	2	5976	0.14710888183137008	1.0
carbon metabolism	5	457	128	5976	0.9723758781319779	1.0
cationic antimicrobial peptide (camp) resistance	5	457	28	5976	0.058203627179581906	1.0
chloroalkane and chloroalkene degradation	0	457	8	5976	1.0	1.0
chlorocyclohexane and chlorobenzene degradation	0	457	5	5976	1.0	1.0
citrate cycle (tca cycle)	0	457	33	5976	1.0	1.0
cyanoamino acid metabolism	0	457	11	5976	1.0	1.0
