term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
2-oxocarboxylic acid metabolism	7	388	30	5976	0.002541749214002654	0.02772817324366532
abc transporters	12	388	191	5976	0.5910849169059796	0.9716464387495557
acarbose and validamycin biosynthesis	0	388	2	5976	1.0	1.0
alanine, aspartate and glutamate metabolism	3	388	36	5976	0.4170143797658569	0.7819019620609817
alpha-linolenic acid metabolism	3	388	3	5976	0.0002717166669319129	0.010868666677276515
amino sugar and nucleotide sugar metabolism	5	388	31	5976	0.047263002993240946	0.25779819814495064
aminoacyl-trna biosynthesis	4	388	27	5976	0.09417966184094971	0.37671864736379884
aminobenzoate degradation	2	388	17	5976	0.30353504007428805	0.7142000942924425
arachidonic acid metabolism	1	388	4	5976	0.23554320347477364	0.6449727005696327
arginine and proline metabolism	5	388	46	5976	0.17593929520132845	0.5706139303826868
arginine biosynthesis	3	388	29	5976	0.29034557496331004	0.7142000942924425
ascorbate and aldarate metabolism	0	388	6	5976	1.0	1.0
bacterial chemotaxis	2	388	46	5976	0.8099092942755073	1.0
bacterial secretion system	5	388	92	5976	0.7223334367154359	1.0
base excision repair	2	388	13	5976	0.20493413977089042	0.6449727005696327
benzoate degradation	5	388	35	5976	0.0732761338708918	0.3256717060928524
beta-alanine metabolism	0	388	27	5976	1.0	1.0
beta-lactam resistance	1	388	27	5976	0.8374225740157096	1.0
biofilm formation - pseudomonas aeruginosa	8	388	103	5976	0.3526776340008402	0.7813102018409652
biosynthesis of amino acids	19	388	141	5976	0.0017721220681456078	0.021265464817747295
biosynthesis of antibiotics	30	388	247	5976	0.0005778517390563333	0.011732273450394794
biosynthesis of secondary metabolites	37	388	335	5976	0.0008709426791835297	0.013064140187752945
biosynthesis of siderophore group nonribosomal peptides	1	388	8	5976	0.4157145681578145	0.7819019620609817
biosynthesis of unsaturated fatty acids	0	388	13	5976	1.0	1.0
biotin metabolism	2	388	21	5976	0.39989388447677165	0.7819019620609817
