term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
2-oxocarboxylic acid metabolism	2	394	30	5976	0.5977598145295051	1.0
abc transporters	8	394	191	5976	0.9425279570868488	1.0
acarbose and validamycin biosynthesis	0	394	2	5976	1.0	1.0
alanine, aspartate and glutamate metabolism	3	394	36	5976	0.42691186462987835	1.0
alpha-linolenic acid metabolism	0	394	3	5976	1.0	1.0
amino sugar and nucleotide sugar metabolism	2	394	31	5976	0.6158480314945146	1.0
aminoacyl-trna biosynthesis	6	394	27	5976	0.007142932364292409	0.07792289851955356
aminobenzoate degradation	1	394	17	5976	0.6868530512031988	1.0
arachidonic acid metabolism	0	394	4	5976	1.0	1.0
arginine and proline metabolism	3	394	46	5976	0.5927930222217579	1.0
arginine biosynthesis	2	394	29	5976	0.5790404314773834	1.0
ascorbate and aldarate metabolism	0	394	6	5976	1.0	1.0
bacterial chemotaxis	3	394	46	5976	0.5927930222217579	1.0
bacterial secretion system	7	394	92	5976	0.4045326539800023	1.0
base excision repair	2	394	13	5976	0.20980689804628613	0.8671213393093034
benzoate degradation	2	394	35	5976	0.6819581167755048	1.0
beta-alanine metabolism	2	394	27	5976	0.5397164403866338	1.0
beta-lactam resistance	1	394	27	5976	0.8420812981837802	1.0
biofilm formation - pseudomonas aeruginosa	7	394	103	5976	0.5238188609114393	1.0
biosynthesis of amino acids	20	394	141	5976	0.0008545120640294969	0.020508289536707927
biosynthesis of antibiotics	31	394	247	5976	0.0003434131129482315	0.010764629422523821
biosynthesis of secondary metabolites	34	394	335	5976	0.007099948500851947	0.07792289851955356
biosynthesis of siderophore group nonribosomal peptides	0	394	8	5976	1.0	1.0
biosynthesis of unsaturated fatty acids	1	394	13	5976	0.5883487113840076	1.0
biotin metabolism	0	394	21	5976	1.0	1.0
butanoate metabolism	4	394	40	5976	0.26894315666693447	0.8671213393093034
c5-branched dibasic acid metabolism	0	394	13	5976	1.0	1.0
caprolactam degradation	2	394	8	5976	0.09320253200612491	0.4867360800681014
carbapenem biosynthesis	2	394	2	5976	0.004336509216783451	0.06504763825175176
carbon metabolism	15	394	128	5976	0.02056729555903575	0.18985195900648386
cationic antimicrobial peptide (camp) resistance	2	394	28	5976	0.5596911233777715	1.0
chloroalkane and chloroalkene degradation	0	394	8	5976	1.0	1.0
chlorocyclohexane and chlorobenzene degradation	0	394	5	5976	1.0	1.0
citrate cycle (tca cycle)	1	394	33	5976	0.8953362205088363	1.0
cyanoamino acid metabolism	0	394	11	5976	1.0	1.0
cysteine and methionine metabolism	5	394	39	5976	0.11096476421942554	0.5297067996391871
d-alanine metabolism	1	394	4	5976	0.23882207710978598	0.8671213393093034
d-arginine and d-ornithine metabolism	0	394	2	5976	1.0	1.0
d-glutamine and d-glutamate metabolism	2	394	5	5976	0.03794859980319235	0.28461449852394266
degradation of aromatic compounds	1	394	26	5976	0.8308825997468487	1.0
dna replication	5	394	17	5976	0.0038753458404509646	0.06504763825175176
ether lipid metabolism	0	394	3	5976	1.0	1.0
fatty acid biosynthesis	0	394	26	5976	1.0	1.0
fatty acid degradation	3	394	33	5976	0.3723895705547718	0.9907262060904112
fatty acid metabolism	3	394	49	5976	0.6361316758890216	1.0
flagellar assembly	2	394	35	5976	0.6819581167755048	1.0
