term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
2-oxocarboxylic acid metabolism	10	420	30	5893	2.4963183179546538e-05	0.0003744477476931981
abc transporters	13	420	191	5893	0.6113678048952396	1.0
acarbose and validamycin biosynthesis	0	420	2	5893	1.0	1.0
alanine, aspartate and glutamate metabolism	3	420	36	5893	0.4786205472923276	0.8836071642319895
alpha-linolenic acid metabolism	3	420	3	5893	0.0003596262572075668	0.003923195533173457
amino sugar and nucleotide sugar metabolism	5	420	31	5893	0.06573597631038998	0.2867169731773577
aminoacyl-trna biosynthesis	6	420	27	5893	0.010349076637146437	0.07761807477859828
aminobenzoate degradation	2	420	17	5893	0.3443747787814857	0.7513631537050598
arachidonic acid metabolism	1	420	4	5893	0.25608711470010276	0.6680533426959202
arginine and proline metabolism	4	420	47	5893	0.4336801689208907	0.8645981716072063
arginine biosynthesis	3	420	29	5893	0.34197177363358083	0.7513631537050598
ascorbate and aldarate metabolism	0	420	6	5893	1.0	1.0
bacterial chemotaxis	2	420	46	5893	0.8500627071469963	1.0
bacterial secretion system	4	420	95	5893	0.9152684795198147	1.0
base excision repair	1	420	13	5893	0.6179543025345938	1.0
benzoate degradation	6	420	35	5893	0.03512490009239623	0.17562450046198114
beta-alanine metabolism	0	420	28	5893	1.0	1.0
beta-lactam resistance	1	420	27	5893	0.864789037154444	1.0
biofilm formation - pseudomonas aeruginosa	9	420	105	5893	0.3322714206196776	0.7513631537050598
biosynthesis of amino acids	24	420	141	5893	4.773134175531151e-05	0.0006364178900708201
biosynthesis of antibiotics	37	420	247	5893	9.70381139194573e-06	0.0001940762278389146
biosynthesis of secondary metabolites	46	420	336	5893	9.361030209923958e-06	0.0001940762278389146
biosynthesis of siderophore group nonribosomal peptides	1	420	8	5893	0.44670905533038996	0.8645981716072063
biosynthesis of unsaturated fatty acids	0	420	13	5893	1.0	1.0
biotin metabolism	3	420	21	5893	0.18515934902781872	0.5419298020326402
butanoate metabolism	5	420	40	5893	0.15271952923155194	0.46835519317693297
c5-branched dibasic acid metabolism	2	420	13	5893	0.23597856400617273	0.6585448297846681
caprolactam degradation	0	420	8	5893	1.0	1.0
carbapenem biosynthesis	0	420	2	5893	1.0	1.0
carbon metabolism	26	420	129	5893	8.98895216083088e-07	0.00010786742592997056
cationic antimicrobial peptide (camp) resistance	3	420	28	5893	0.32190969861837243	0.7513631537050598
chloroalkane and chloroalkene degradation	1	420	8	5893	0.44670905533038996	0.8645981716072063
