term,genes_in_set,total_genes_in_set,genes_in_universe,total_genes_in_universe,pvalue,adj_pvalue
2-oxocarboxylic acid metabolism,7,387,30,5893,0.002711107,0.029575708
abc transporters,12,387,191,5893,0.607351191,0.995766038
acarbose and validamycin biosynthesis,0,387,2,5893,1,1
"alanine, aspartate and glutamate metabolism",3,387,36,5893,0.424364218,0.795682909
alpha-linolenic acid metabolism,3,387,3,5893,0.000281171,0.011246847
amino sugar and nucleotide sugar metabolism,5,387,31,5893,0.049237677,0.26856915
aminoacyl-trna biosynthesis,4,387,27,5893,0.097252729,0.389010917
aminobenzoate degradation,2,387,17,5893,0.30834562,0.725519106
arachidonic acid metabolism,1,387,4,5893,0.23797719,0.674616976
arginine and proline metabolism,5,387,47,5893,0.193275279,0.626838743
arginine biosynthesis,3,387,29,5893,0.296372508,0.725519106
ascorbate and aldarate metabolism,0,387,6,5893,1,1
bacterial chemotaxis,2,387,46,5893,0.815076192,1
bacterial secretion system,5,387,95,5893,0.757197819,1
base excision repair,2,387,13,5893,0.208545813,0.658565724
benzoate degradation,5,387,35,5893,0.076162046,0.338497981
beta-alanine metabolism,0,387,28,5893,1,1
beta-lactam resistance,1,387,27,5893,0.840900114,1
biofilm formation - pseudomonas aeruginosa,8,387,105,5893,0.384878817,0.795682909
biosynthesis of amino acids,19,387,141,5893,0.002017789,0.024213472
biosynthesis of antibiotics,30,387,247,5893,0.000695802,0.014541338
biosynthesis of secondary metabolites,37,387,336,5893,0.001131973,0.015092972
biosynthesis of siderophore group nonribosomal peptides,1,387,8,5893,0.419432176,0.795682909
biosynthesis of unsaturated fatty acids,0,387,13,5893,1,1
biotin metabolism,2,387,21,5893,0.405567254,0.795682909
butanoate metabolism,2,387,40,5893,0.749213429,1
c5-branched dibasic acid metabolism,0,387,13,5893,1,1
caprolactam degradation,0,387,8,5893,1,1
carbapenem biosynthesis,1,387,2,5893,0.127039986,0.448376422
carbon metabolism,19,387,129,5893,0.00068209,0.014541338
cationic antimicrobial peptide (camp) resistance,5,387,28,5893,0.033409365,0.211006517
chloroalkane and chloroalkene degradation,1,387,8,5893,0.419432176,0.795682909
chlorocyclohexane and chlorobenzene degradation,0,387,5,5893,1,1
citrate cycle (tca cycle),3,387,33,5893,0.36999996,0.795682909
cyanoamino acid metabolism,4,387,11,5893,0.004172184,0.038512466
cysteine and methionine metabolism,5,387,40,5893,0.11887944,0.448376422
d-alanine metabolism,1,387,4,5893,0.23797719,0.674616976
d-arginine and d-ornithine metabolism,0,387,2,5893,1,1
d-glutamine and d-glutamate metabolism,0,387,5,5893,1,1
degradation of aromatic compounds,1,387,26,5893,0.82966441,1
dna replication,2,387,17,5893,0.30834562,0.725519106
