term,genes_in_set,total_genes_in_set,genes_in_universe,total_genes_in_universe,pvalue,adj_pvalue
2-oxocarboxylic acid metabolism,0,274,30,5893,1,1
abc transporters,7,274,191,5893,0.793071668,1
acarbose and validamycin biosynthesis,0,274,2,5893,1,1
"alanine, aspartate and glutamate metabolism",2,274,36,5893,0.504245402,1
alpha-linolenic acid metabolism,0,274,3,5893,1,1
amino sugar and nucleotide sugar metabolism,3,274,31,5893,0.172820667,0.847631416
aminoacyl-trna biosynthesis,3,274,27,5893,0.128248043,0.847631416
aminobenzoate degradation,1,274,17,5893,0.555374497,1
arachidonic acid metabolism,0,274,4,5893,1,1
arginine and proline metabolism,4,274,47,5893,0.173203065,0.847631416
arginine biosynthesis,1,274,29,5893,0.749451811,1
ascorbate and aldarate metabolism,0,274,6,5893,1,1
bacterial chemotaxis,8,274,46,5893,0.0011009,0.06605401
bacterial secretion system,4,274,95,5893,0.651353904,1
base excision repair,0,274,13,5893,1,1
benzoate degradation,2,274,35,5893,0.489201774,1
beta-alanine metabolism,0,274,28,5893,1,1
beta-lactam resistance,1,274,27,5893,0.724294971,1
biofilm formation - pseudomonas aeruginosa,6,274,105,5893,0.362552525,1
biosynthesis of amino acids,4,274,141,5893,0.90029994,1
biosynthesis of antibiotics,13,274,247,5893,0.362447787,1
biosynthesis of secondary metabolites,15,274,336,5893,0.604971201,1
biosynthesis of siderophore group nonribosomal peptides,1,274,8,5893,0.316906713,1
biosynthesis of unsaturated fatty acids,1,274,13,5893,0.461838074,1
biotin metabolism,1,274,21,5893,0.632702527,1
butanoate metabolism,3,274,40,5893,0.28430849,1
c5-branched dibasic acid metabolism,0,274,13,5893,1,1
caprolactam degradation,0,274,8,5893,1,1
carbapenem biosynthesis,0,274,2,5893,1,1
carbon metabolism,10,274,129,5893,0.076612217,0.83176545
cationic antimicrobial peptide (camp) resistance,2,274,28,5893,0.376585151,1
chloroalkane and chloroalkene degradation,1,274,8,5893,0.316906713,1
chlorocyclohexane and chlorobenzene degradation,0,274,5,5893,1,1
citrate cycle (tca cycle),0,274,33,5893,1,1
cyanoamino acid metabolism,1,274,11,5893,0.407960603,1
cysteine and methionine metabolism,0,274,40,5893,1,1
d-alanine metabolism,1,274,4,5893,0.173450641,0.847631416
d-arginine and d-ornithine metabolism,0,274,2,5893,1,1
d-glutamine and d-glutamate metabolism,0,274,5,5893,1,1
degradation of aromatic compounds,0,274,26,5893,1,1
dna replication,2,274,17,5893,0.185739373,0.847631416
ether lipid metabolism,0,274,3,5893,1,1
fatty acid biosynthesis,2,274,26,5893,0.342474931,1
fatty acid degradation,1,274,33,5893,0.79310935,1
fatty acid metabolism,3,274,49,5893,0.400198282,1
flagellar assembly,11,274,35,5893,2.77E-07,3.32E-05
fluorobenzoate degradation,0,274,8,5893,1,1
folate biosynthesis,0,274,25,5893,1,1
fructose and mannose metabolism,4,274,18,5893,0.008343093,0.333723705
galactose metabolism,0,274,4,5893,1,1
geraniol degradation,2,274,16,5893,0.16879175,0.847631416
