term,genes_in_set,total_genes_in_set,genes_in_universe,total_genes_in_universe,pvalue,adj_pvalue
2-oxocarboxylic acid metabolism,0,23,30,5893,1,1
abc transporters,1,23,191,5893,0.531983061,1
acarbose and validamycin biosynthesis,0,23,2,5893,1,1
"alanine, aspartate and glutamate metabolism",0,23,36,5893,1,1
alpha-linolenic acid metabolism,0,23,3,5893,1,1
amino sugar and nucleotide sugar metabolism,0,23,31,5893,1,1
aminoacyl-trna biosynthesis,0,23,27,5893,1,1
aminobenzoate degradation,0,23,17,5893,1,1
arachidonic acid metabolism,0,23,4,5893,1,1
arginine and proline metabolism,0,23,47,5893,1,1
arginine biosynthesis,0,23,29,5893,1,1
ascorbate and aldarate metabolism,0,23,6,5893,1,1
bacterial chemotaxis,0,23,46,5893,1,1
bacterial secretion system,1,23,95,5893,0.312370627,1
base excision repair,0,23,13,5893,1,1
benzoate degradation,0,23,35,5893,1,1
beta-alanine metabolism,0,23,28,5893,1,1
beta-lactam resistance,0,23,27,5893,1,1
biofilm formation - pseudomonas aeruginosa,0,23,105,5893,1,1
biosynthesis of amino acids,0,23,141,5893,1,1
biosynthesis of antibiotics,2,23,247,5893,0.250607417,1
biosynthesis of secondary metabolites,3,23,336,5893,0.140337179,1
biosynthesis of siderophore group nonribosomal peptides,0,23,8,5893,1,1
biosynthesis of unsaturated fatty acids,0,23,13,5893,1,1
biotin metabolism,0,23,21,5893,1,1
butanoate metabolism,0,23,40,5893,1,1
c5-branched dibasic acid metabolism,0,23,13,5893,1,1
caprolactam degradation,0,23,8,5893,1,1
carbapenem biosynthesis,0,23,2,5893,1,1
carbon metabolism,2,23,129,5893,0.089248379,1
cationic antimicrobial peptide (camp) resistance,0,23,28,5893,1,1
chloroalkane and chloroalkene degradation,0,23,8,5893,1,1
chlorocyclohexane and chlorobenzene degradation,0,23,5,5893,1,1
citrate cycle (tca cycle),1,23,33,5893,0.121378643,1
cyanoamino acid metabolism,0,23,11,5893,1,1
cysteine and methionine metabolism,0,23,40,5893,1,1
d-alanine metabolism,0,23,4,5893,1,1
d-arginine and d-ornithine metabolism,0,23,2,5893,1,1
d-glutamine and d-glutamate metabolism,1,23,5,5893,0.019369466,1
degradation of aromatic compounds,0,23,26,5893,1,1
dna replication,0,23,17,5893,1,1
ether lipid metabolism,0,23,3,5893,1,1
fatty acid biosynthesis,0,23,26,5893,1,1
fatty acid degradation,0,23,33,5893,1,1
fatty acid metabolism,0,23,49,5893,1,1
flagellar assembly,1,23,35,5893,0.128262722,1
fluorobenzoate degradation,0,23,8,5893,1,1
folate biosynthesis,0,23,25,5893,1,1
fructose and mannose metabolism,0,23,18,5893,1,1
galactose metabolism,0,23,4,5893,1,1
geraniol degradation,0,23,16,5893,1,1
glutathione metabolism,0,23,27,5893,1,1
glycerolipid metabolism,1,23,14,5893,0.053333684,1
glycerophospholipid metabolism,1,23,28,5893,0.103940205,1
"glycine, serine and threonine metabolism",0,23,50,5893,1,1
glycolysis / gluconeogenesis,1,23,37,5893,0.135095191,1
glyoxylate and dicarboxylate metabolism,1,23,57,5893,0.200661384,1
histidine metabolism,0,23,23,5893,1,1
homologous recombination,0,23,24,5893,1,1
inositol phosphate metabolism,0,23,7,5893,1,1
limonene and pinene degradation,0,23,7,5893,1,1
lipoic acid metabolism,0,23,2,5893,1,1
lipopolysaccharide biosynthesis,1,23,22,5893,0.08257693,1
lysine biosynthesis,0,23,15,5893,1,1
lysine degradation,0,23,19,5893,1,1
metabolic pathways,4,23,800,5893,0.381838559,1
methane metabolism,0,23,26,5893,1,1
microbial metabolism in diverse environments,1,23,264,5893,0.652220622,1
mismatch repair,0,23,19,5893,1,1
monobactam biosynthesis,0,23,9,5893,1,1
naphthalene degradation,0,23,2,5893,1,1
nicotinate and nicotinamide metabolism,0,23,21,5893,1,1
nitrogen metabolism,0,23,36,5893,1,1
nitrotoluene degradation,0,23,2,5893,1,1
non-homologous end-joining,0,23,2,5893,1,1
novobiocin biosynthesis,0,23,5,5893,1,1
nucleotide excision repair,0,23,8,5893,1,1
one carbon pool by folate,0,23,18,5893,1,1
oxidative phosphorylation,0,23,55,5893,1,1
pantothenate and coa biosynthesis,0,23,22,5893,1,1
pentose and glucuronate interconversions,0,23,7,5893,1,1
pentose phosphate pathway,0,23,26,5893,1,1
peptidoglycan biosynthesis,0,23,21,5893,1,1
phenylalanine metabolism,0,23,25,5893,1,1
"phenylalanine, tyrosine and tryptophan biosynthesis",0,23,30,5893,1,1
phosphonate and phosphinate metabolism,0,23,10,5893,1,1
phosphotransferase system (pts),0,23,5,5893,1,1
polyketide sugar unit biosynthesis,0,23,5,5893,1,1
porphyrin and chlorophyll metabolism,0,23,43,5893,1,1
propanoate metabolism,0,23,48,5893,1,1
protein export,0,23,17,5893,1,1
purine metabolism,0,23,79,5893,1,1
pyrimidine metabolism,0,23,47,5893,1,1
pyruvate metabolism,1,23,62,5893,0.216294225,1
quorum sensing,0,23,101,5893,1,1
riboflavin metabolism,0,23,10,5893,1,1
ribosome,0,23,55,5893,1,1
rna degradation,0,23,16,5893,1,1
rna polymerase,0,23,4,5893,1,1
selenocompound metabolism,0,23,10,5893,1,1
sphingolipid metabolism,0,23,2,5893,1,1
starch and sucrose metabolism,0,23,16,5893,1,1
streptomycin biosynthesis,0,23,8,5893,1,1
styrene degradation,0,23,11,5893,1,1
sulfur metabolism,0,23,49,5893,1,1
sulfur relay system,0,23,18,5893,1,1
synthesis and degradation of ketone bodies,0,23,10,5893,1,1
taurine and hypotaurine metabolism,0,23,9,5893,1,1
terpenoid backbone biosynthesis,0,23,16,5893,1,1
thiamine metabolism,0,23,13,5893,1,1
toluene degradation,0,23,3,5893,1,1
tryptophan metabolism,1,23,26,5893,0.096872546,1
two-component system,1,23,204,5893,0.555964186,1
tyrosine metabolism,0,23,27,5893,1,1
ubiquinone and other terpenoid-quinone biosynthesis,0,23,17,5893,1,1
"valine, leucine and isoleucine biosynthesis",0,23,19,5893,1,1
"valine, leucine and isoleucine degradation",0,23,47,5893,1,1
vancomycin resistance,0,23,9,5893,1,1
vitamin b6 metabolism,0,23,9,5893,1,1
xylene degradation,0,23,5,5893,1,1
